Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,7608,43,1,6745,5,1
1,391707,128,1,391090,5,1
1,476915,38,1,476025,5,0
0,346408,210,0,346178,4,1
1,216862,129,1,214952,5,0
1,100170,26,1,98553,5,1
1,453362,136,1,452610,5,0
1,557,95,1,3,5,1
0,12665,71,0,11931,1,1
0,346850,209,0,346512,2,1
1,890682,195,1,889150,5,0
0,1130987,150,0,1130442,1,0
1,2216,42,1,1884,5,0
1,56787,226,1,55507,5,1
0,45867,21,0,45670,2,1
1,929,178,1,3,5,0
1,25397,155,1,23602,5,1
1,36817,153,1,35931,5,1
1,578507,190,1,577500,5,0
1,30441,201,1,27628,5,1
1,1839347,135,1,1836461,5,0
0,71748,34,0,71398,0,1
0,586872,183,0,586129,2,0
1,1122061,148,1,1121249,5,0
1,752571,48,1,750136,5,0
1,33312,82,1,32212,5,1
1,17807,29,1,16818,5,1
1,17424,194,1,14611,5,1
1,119855,185,1,118959,5,1
1,498493,237,1,497942,5,0
1,57738,227,1,56893,5,1
0,870832,54,0,869711,2,0
1,12423,131,1,10753,5,1
1,3521,179,1,564,5,0
1,46358,96,1,44298,5,1
1,120508,119,1,119957,5,1
1,351059,66,1,348930,5,0
1,4441,72,1,1115,5,1
0,218,158,0,3,1,0
1,615828,189,1,612868,5,0
1,835,4,1,1,5,0
1,71222,132,1,69540,5,1
1,101201,25,1,100433,5,1
1,76293,27,1,74227,5,1
1,17384,127,1,15111,5,1
1,395,206,1,3,5,1
1,1444050,22,1,1442287,5,0
1,122795,35,1,121053,5,0
1,64517,125,1,64071,5,1
0,747484,172,0,746714,0,0
1,58454,117,1,55821,5,1
1,10805,110,1,10074,5,0
1,805101,146,1,802591,5,0
0,4265,68,0,3411,2,0
1,8105,61,1,5802,5,1
1,42976,231,1,42014,5,1
0,157631,188,0,157230,2,0
1,7838,219,1,7741,5,1
1,794,8,1,3,5,0
0,1231,13,0,899,1,1
1,74182,14,1,73355,5,1
1,2332647,204,1,2330257,5,0
1,114401,65,1,112584,5,1
1,41471,160,1,39177,5,1
0,1415811,19,0,1415230,1,0
1,6985,85,1,4031,5,1
1,74451,232,1,72187,5,1
1,1129891,149,1,1128836,5,0
1,535,6,1,1,5,0
1,11717,180,1,11061,5,0
1,1338938,198,1,1337487,5,0
0,36096,30,0,35452,1,1
1,56420,161,1,55923,5,1
1,20561,123,1,20007,5,1
1,2400,171,1,211,5,0
1,3058,142,1,647,5,0
1,33980,169,1,31590,5,1
1,358301,176,1,355485,5,0
0,202126,79,0,201683,2,0
1,83691,202,1,83233,5,1
1,1034156,76,1,1031220,5,0
1,393196,84,1,390821,5,1
1,368350,51,1,367493,5,0
1,66037,98,1,63011,5,1
1,877,16,1,2,5,0
1,1381,107,1,2,5,0
1,1153652,151,1,1152030,5,0
1,45746,31,1,45168,5,1
1,80177,233,1,78453,5,1
1,35665,154,1,33647,5,1
1,2035,133,1,1445,5,0
1,921959,67,1,919047,5,0
0,282,121,0,1,2,1
1,903359,164,1,902475,5,0
1,3364,175,1,1112,5,0
1,8634,62,1,6310,5,0
1,6051,114,1,3256,5,0
1,223303,159,1,221369,5,0
1,147,10,1,1,5,0
1,706956,36,1,704473,5,0
1,15156,24,1,14362,5,1
1,944659,165,1,941918,5,1
1,478396,139,1,477242,5,0
1,46181,187,1,45609,5,1
1,47107,234,1,46339,5,1
1,1050263,162,1,1049748,5,0
1,1991,182,1,321,5,1
1,7580,90,1,6150,5,1
1,317768,197,1,315381,5,0
0,587282,70,0,586959,2,0
1,10942,205,1,10619,5,1
1,929,17,1,492,5,0
1,6341,63,1,3546,5,0
1,50252,214,1,48096,5,1
1,751195,193,1,748829,5,0
0,2270,60,0,1968,0,1
1,629366,212,1,627348,5,0
1,585603,192,1,583600,5,0
1,2735,220,1,1362,5,1
1,4117,228,1,1346,5,1
1,6226,11,1,4295,5,0
1,481120,112,1,478592,5,0
1,215,5,1,3,5,0
1,2208,147,1,1,5,1
1,857583,113,1,854629,5,0
1,4959,104,1,2632,5,0
1,38673,94,1,38134,5,1
1,2184398,89,1,2181870,5,1
1,821170,103,1,818471,5,0
1,640889,126,1,638082,5,0
1,699100,74,1,696140,5,0
0,2029693,143,0,2028950,3,0
1,4564,46,1,2810,5,1
