Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,301826,243,243,2,0,89,299487,0
1,0,32772,97,97,1,1,116,29866,1
0,0,373899,28,28,2,0,27,371611,1
0,0,736453,78,78,3,0,71,733583,0
0,1,190552,79,79,2,0,51,188093,1
0,0,1516533,42,42,2,0,61,1514173,1
0,0,465591,162,162,2,0,112,462814,0
0,0,54199,31,31,2,0,46,51578,1
0,0,988200,207,207,2,0,35,985546,1
0,0,1062895,234,234,2,0,85,1060310,1
0,0,246580,86,86,2,0,6,243767,0
0,0,758419,44,44,2,0,22,756089,0
0,0,488327,203,203,3,0,23,485541,0
1,0,322020,237,237,1,1,93,319249,0
0,0,33755,26,26,2,0,55,30969,0
0,0,355891,245,245,2,0,116,353552,0
0,0,993191,43,43,2,0,61,990858,1
1,0,1150558,193,193,1,1,88,1147775,1
0,0,1152306,222,222,2,0,115,1149583,0
0,0,1161129,166,166,2,0,111,1158613,0
1,0,32977,216,216,1,1,114,30248,1
0,0,33431,25,25,2,0,98,30843,1
0,0,184674,5,5,2,0,95,182293,0
0,0,1757922,189,189,2,0,34,1755496,1
0,0,553480,174,174,3,0,65,550610,0
0,0,16153,29,29,2,0,46,13502,0
0,0,292921,246,246,2,0,119,290183,1
0,0,256062,179,179,2,0,121,253732,0
0,0,25495,49,49,2,0,98,22811,0
0,0,8691,196,196,2,0,30,6085,1
0,0,180436,213,213,2,0,44,177890,1
0,0,15222,212,212,2,0,8,12538,1
0,0,867065,116,116,2,0,71,864531,0
0,0,1966199,103,103,2,0,40,1963551,1
0,0,557682,143,143,2,0,106,555076,0
0,0,1024944,233,233,2,0,85,1022305,0
0,0,519004,252,252,2,0,74,516413,0
0,0,1176004,165,165,2,0,105,1173581,0
0,0,156435,33,33,3,0,85,153649,1
0,0,447956,177,177,2,0,64,445458,1
0,0,735391,128,128,2,0,73,733043,0
0,0,1102343,226,226,2,0,77,1099539,0
0,0,1314205,89,89,2,0,111,1311887,0
0,0,1034195,209,209,2,0,5,1031508,1
0,0,204433,61,61,2,0,45,201761,1
0,0,1800605,108,108,2,0,73,1797939,1
0,0,125132,80,80,2,0,47,122370,1
1,0,17633,21,21,1,1,64,14982,0
0,0,4209,121,121,2,0,67,1423,0
0,0,187941,232,232,2,0,37,185287,0
0,0,1065877,199,199,2,0,110,1063010,0
0,0,432191,135,135,2,0,18,429708,0
0,0,513629,258,258,3,0,82,510834,0
0,0,568671,173,173,2,0,2,566338,1
1,0,1123469,221,221,1,1,94,1120611,0
1,0,432436,159,159,1,1,61,429818,0
0,0,422008,201,201,2,0,33,419294,0
1,0,86749,153,153,1,1,68,84020,1
0,0,50888,152,152,2,0,52,48174,1
1,0,107074,255,255,1,1,72,104540,0
0,0,622377,40,40,2,0,10,620053,0
1,0,389747,164,164,1,1,128,387120,0
0,0,352788,250,250,2,0,110,350182,1
0,0,185153,23,23,2,0,130,182502,0
0,0,378614,163,163,2,0,87,375975,0
0,0,309384,110,110,2,0,121,306937,0
0,0,585607,81,81,2,0,119,583331,1
0,0,7162,19,19,2,0,46,4697,0
0,0,650434,38,38,3,0,38,647633,1
0,0,23290,218,218,2,0,73,20606,1
0,0,9867,59,59,2,0,98,7462,0
0,0,473501,202,202,3,0,122,470631,0
0,0,1713823,7,7,2,0,86,1711409,0
0,0,381075,238,238,2,0,18,378301,0
0,0,14845,46,46,3,0,51,11996,0
0,0,8092,214,214,2,0,43,5759,0
1,0,13979,198,198,1,1,0,11352,1
0,0,1053239,112,112,2,0,3,1050549,0
0,0,15062,85,85,2,0,46,12438,0
1,0,1100880,195,195,1,1,39,1098211,1
0,0,8115,172,172,3,0,45,5269,1
0,0,379418,170,170,2,0,52,376740,1
0,0,2047179,185,185,2,0,80,2044399,1
0,0,665447,73,73,3,0,23,662586,1
0,0,475012,142,142,2,0,113,472298,0
0,0,1324430,88,88,2,0,61,1322082,0
0,0,1156973,236,236,2,0,31,1154469,0
1,0,9580,197,197,1,1,38,6749,1
0,0,428427,87,87,3,0,83,425755,0
0,0,1096585,235,235,2,0,101,1093946,1
0,0,810651,169,169,2,0,124,808318,0
0,0,12594,151,151,2,0,46,9967,0
0,0,9089,217,217,2,0,24,6579,1
1,0,45075,124,124,1,1,26,42286,0
1,0,1611964,100,100,1,1,81,1609262,1
0,0,1828534,107,107,2,0,85,1825916,0
0,0,483376,96,96,2,0,107,480707,1
0,0,1865809,105,105,2,0,73,1862957,0
0,0,139709,254,254,2,0,90,138117,0
0,0,404584,118,118,2,0,92,402206,0
0,0,1731005,191,191,3,0,9,1728183,0
0,0,2060220,184,184,2,0,101,2057611,1
1,0,255561,17,17,1,1,39,253126,0
0,0,12158,10,10,2,0,54,9363,1
0,0,21771,83,83,2,0,46,19363,0
0,0,506933,18,18,3,0,71,504105,0
0,0,454333,158,158,2,0,106,451748,0
0,0,262330,244,244,2,0,83,259847,0
0,0,579976,259,259,2,0,87,577358,0
0,0,16377,145,145,2,0,46,13513,1
1,0,199898,35,35,1,1,93,197364,1
1,0,1633076,187,187,1,1,29,1630521,0
0,0,602587,41,41,2,0,85,600077,0
0,0,768058,75,75,2,0,71,765323,0
0,0,1129346,168,168,2,0,61,1126764,1
0,0,20976,56,56,2,0,10,18310,0
0,0,5331,150,150,2,0,98,2932,0
0,0,629809,113,113,3,0,7,627020,1
0,0,1825289,188,188,2,0,61,1822929,0
0,0,700388,14,14,2,0,106,697620,0
0,0,6553,120,120,2,0,62,4166,1
0,0,1169591,223,223,3,0,107,1166769,0
0,0,13678,156,156,2,0,17,10931,1
0,0,468388,67,67,3,0,79,465485,0
1,0,476059,149,149,1,1,104,473501,0
0,0,1251196,181,181,2,0,120,1248512,0
0,0,1015945,208,208,2,0,71,1013150,1
0,0,1147282,167,167,2,0,61,1144757,1
0,0,721934,74,74,2,0,35,719244,1
1,0,1582479,186,186,1,1,96,1579936,0
0,0,221070,141,141,2,0,85,218443,1
0,0,218715,54,54,2,0,70,215884,1
0,0,11062,4,4,2,0,36,8450,0
0,0,1570228,99,99,5,0,41,1568267,1
1,0,308185,64,64,1,1,88,306188,0
0,0,546370,45,45,2,0,95,543824,0
0,0,410579,136,136,2,0,18,407808,0
0,0,57145,55,55,3,0,91,54284,0
0,0,849988,205,205,2,0,79,847319,0
1,0,408107,16,16,1,1,24,405750,0
0,0,60414,227,227,2,0,14,57859,1
0,0,1007699,206,206,2,0,71,1005114,1
0,0,7898,9,9,2,0,63,5274,1
0,0,245264,47,47,2,0,2,242583,0
0,0,4732,123,123,2,0,98,2051,0
0,0,21506,57,57,2,0,98,18858,0
0,0,23129,126,126,3,0,98,20358,1
0,0,472189,69,69,2,0,49,469499,0
1,0,1014233,134,134,1,1,29,1011738,0
0,0,34218,58,58,2,0,98,31414,0
0,0,2102129,102,102,2,0,101,2099463,1
0,0,82609,138,138,3,0,42,79808,1
0,0,1317329,98,98,2,0,86,1314768,0
1,0,396615,251,251,1,1,11,394090,1
0,0,565683,140,140,2,0,116,563344,1
0,0,10603,6,6,3,0,1,7772,1
0,0,212927,0,0,5,0,25,211077,1
1,0,276688,210,210,1,1,96,274223,0
0,0,652210,95,95,2,0,13,649424,0
0,0,10893,90,90,2,0,59,8359,1
0,0,4709,30,30,2,0,51,2067,1
0,0,119436,256,256,2,0,15,116878,0
0,0,14331,230,230,2,0,25,11776,1
0,0,1650945,11,11,2,0,127,1648582,1
0,0,7054,122,122,2,0,51,4541,0
0,0,456596,15,15,2,0,37,453903,1
0,0,3590,211,211,2,0,30,942,1
0,0,1816759,190,190,2,0,111,1814429,0
0,0,2010450,109,109,2,0,112,2008033,1
