Longitude,Mapycz_Id,Latitude,Commons_Category,Nl_Cr_Aut_Id
14.4069444444,481,50.01,306,353
14.47778,587,50.1075,239,135
15.2883,621,49.9606,431,229
14.1890496045,307,50.156020273,45,47
14.2747568717,294,49.9275726632,82,58
13.2713973462,131,50.3760855352,169,96
12.8076577083,105,50.1387450371,127,76
12.9472764199,322,49.8783973774,192,447
14.3289,498,49.7319,568,0
12.9961,615,49.7119,369,541
14.3433,646,48.6603,406,459
14.1961111111,120,50.7736111111,101,65
16.7337522372,397,49.0879107814,609,429
15.394680128,345,49.3143090176,4,392
17.3167994722,381,48.9010299565,463,243
12.6166952461,74,49.942283298,501,559
14.3717,637,50.5844,336,480
14.7308739514,291,50.0740119,566,314
16.3632009311,415,48.943090458,468,514
17.0027985998,211,50.3907858868,149,334
13.3792,543,49.7544,525,0
14.311814549,431,48.6160628345,545,282
15.0208,598,50.5267,80,563
14.2618169206,295,49.8665766104,287,161
16.3089817746,204,50.0821228579,367,382
18.2702173348,323,49.9260099303,600,448
16.6082105268,394,49.0514079762,529,475
15.8519,602,50.4125,611,391
17.3405555556,617,49.6297222222,471,368
12.9297980393,68,49.4406056805,92,60
16.816048532,377,48.9047155563,517,366
13.3825,73,49.7413888889,354,190
14.39556,6,50.08917,385,556
14.4741934957,266,50.3505706797,299,166
16.5825,475,49.2525,34,0
17.3927777778,34,49.2983333333,210,118
14.5627777778,0,50.1338888889,306,545
14.4868437691,411,48.8556936265,597,310
15.190299026,620,49.121248853,306,0
17.3281028358,327,49.6304321592,430,369
17.266852937,378,48.9733762491,46,48
12.6248069504,72,50.0106993077,265,147
16.7606062765,223,50.0838622945,214,327
15.005,530,49.1439,159,0
16.2218179207,409,48.8728903371,231,427
14.5566666667,469,50.0466666667,377,328
16.6585706503,418,49.3005262992,1,32
14.9609189527,336,49.3727193573,569,299
15.7277623528,354,49.0297508617,100,463
12.5469,622,50.1033,170,533
15.8319444444,171,50.2091666667,134,79
16.5238888889,473,49.2247222222,28,359
15.2130431173,174,50.3860676096,454,363
14.4747222222,356,48.9747222222,577,305
15.2686,519,49.9492,223,0
15.4678,569,49.1892,605,573
16.2907427607,206,50.1175913526,510,269
16.233596891,198,50.5369017998,364,194
13.636578856,163,50.5879530999,256,484
14.8328887187,283,50.2014967767,262,145
16.9157763266,124,50.4419636697,47,386
16.3365410911,389,49.1233802085,334,362
15.4372,532,49.0817,75,0
12.7837973022,83,50.3657995443,347,423
14.657835974,538,49.414485338,306,0
13.9975330037,450,49.0130133688,371,198
16.1902314433,361,49.114159377,290,370
16.5752777778,465,49.2144444444,35,291
13.2317994,628,49.9916881,272,0
16.8033863042,400,48.7999432528,232,132
12.7294436683,81,50.3225324838,303,167
12.9391535165,82,50.3060350048,335,184
15.0894649536,142,50.6257939855,474,250
14.3094,576,48.8014,352,577
14.0024004369,258,50.2581357779,225,495
14.1259971794,144,50.4043543561,43,46
16.1585035027,364,49.2073013661,318,176
14.01,50,49.6897222222,403,211
14.4181858874,448,49.4287280475,435,389
15.9392783398,350,49.5626754879,617,298
15.5951798705,424,48.9041370481,537,339
13.9023968746,453,49.2614978971,459,242
13.5947222222,12,49.7422222222,416,217
13.8704338116,305,50.0379392337,229,15
17.5062809684,328,49.7539548095,307,531
16.1433408577,351,49.4401414552,293,517
16.6137943354,395,49.3092842644,534,420
16.6218,564,49.1753,196,481
14.9027777778,46,50.4108333333,283,158
15.8833333333,573,49.2,150,0
13.3702777778,477,49.7666666667,355,6
18.542778,54,49.854167,177,101
12.8725,75,50.2305555556,172,98
14.49528,592,50.1125,542,280
14.0358585748,446,49.515638019,281,157
12.8076577083,105,50.1387450371,127,76
14.3808831376,280,49.5960891662,370,555
12.8281,600,50.3811,142,468
16.182393097,608,50.479716909,139,0
12.6737099976,110,49.6749957518,400,9
14.4833,647,48.6681,427,409
14.6905660784,244,49.8297210449,297,3
17.3942715646,235,49.1054368463,512,270
14.485,527,48.9644,580,535
16.6390467179,422,49.410967423,429,228
16.3319047635,192,50.5856901357,37,41
15.912798548,216,50.5610457375,489,257
15.3516528,181,50.4370452,163,92
14.0358585748,446,49.515638019,281,157
17.7494541263,325,49.7744498419,547,283
15.905,611,50.6219,3,485
17.2508333333,60,49.5938888889,327,180
13.0028290601,212,50.3449541478,217,378
12.7837973022,83,50.3657995443,347,423
13.8582568099,167,50.6845768391,211,120
14.9133,520,50.4183,284,0
12.62480695,625,50.010699307,306,0
14.37444,512,50.10472,78,344
14.4213888889,240,50.0875,374,12
15.9392783398,350,49.5626754879,617,298
16.3108,557,49.8711,251,0
15.6083131663,187,50.4803825193,345,398
14.4319,627,50.4325,155,0
14.1225,491,49.9317,191,579
14.538265768,500,50.41262451,306,0
14.6381303254,248,49.6401990664,532,276
13.6859578688,170,50.6228012849,333,183
13.4804615058,89,49.0872850674,449,239
15.8141087416,218,50.4317638008,99,558
14.3152077107,427,48.8109904416,585,307
13.80371824,455,49.1679149555,587,436
14.8967947189,265,49.871708476,475,251
