Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,301826,243,1,299487,0
0,125132,82,1,122370,1
1,387675,27,0,385183,0
0,736453,80,2,733583,0
0,190552,81,1,188093,1
0,1516533,42,1,1514173,1
0,476728,161,1,474101,0
0,54199,30,1,51578,1
0,988200,209,1,985546,1
0,1062895,234,1,1060310,1
0,246580,88,1,243767,0
0,758419,46,1,756089,0
0,488327,205,2,485541,0
1,322020,237,0,319249,0
0,33755,24,1,30969,0
0,423886,68,1,421607,1
0,993191,43,1,990858,1
1,1150558,195,0,1147775,1
0,1152306,223,1,1149583,0
0,1161129,168,1,1158613,0
1,32977,217,0,30248,1
0,33431,23,1,30843,1
0,504459,248,1,501763,1
0,1757922,191,1,1755496,1
0,560388,176,2,557518,0
0,16153,28,1,13502,0
0,355891,245,1,353552,0
0,309384,109,1,306937,0
0,25495,52,1,22811,0
0,8691,198,1,6085,1
0,200907,151,1,198367,0
0,15222,214,1,12538,1
0,867065,115,1,864531,0
0,1966199,102,1,1963551,1
0,557682,143,1,555076,0
0,1024944,233,1,1022305,0
0,556640,255,1,553878,0
0,1176004,167,1,1173581,0
0,156435,32,2,153649,1
0,447956,179,1,445458,1
0,735391,127,1,733043,0
0,1102343,227,1,1099539,0
0,1314205,91,1,1311887,0
0,1034195,211,1,1031508,1
0,650434,38,2,647633,1
0,1800605,107,1,1797939,1
0,187941,232,1,185287,0
1,17633,19,0,14982,0
0,4209,120,1,1423,0
0,198843,126,1,196225,0
0,1065877,201,1,1063010,0
0,432191,134,1,429708,0
0,536061,258,1,533287,0
0,568671,175,1,566338,1
1,1123469,222,0,1120611,0
0,443238,159,1,440629,0
0,422008,203,1,419294,0
0,125047,37,1,122324,1
0,50888,153,1,48174,1
0,119436,257,1,116878,0
0,622377,40,1,620053,0
0,404953,163,1,402317,0
0,352788,252,1,350182,1
0,185153,21,1,182502,0
1,389747,166,0,387120,0
0,373899,26,1,371611,1
0,475012,141,1,472298,0
0,7162,17,1,4697,0
0,378614,165,1,375975,0
0,23290,219,1,20606,1
0,9867,62,1,7462,0
0,473501,204,2,470631,0
0,1713823,7,1,1711409,0
0,381075,238,1,378301,0
0,14845,49,2,11996,0
0,8092,215,1,5759,0
1,13979,200,0,11352,1
0,1053239,111,1,1050549,0
0,15062,87,1,12438,0
1,1100880,197,0,1098211,1
0,8115,174,2,5269,1
0,379418,172,1,376740,1
0,2047179,187,1,2044399,1
0,665447,75,2,662586,1
0,519004,254,1,516413,0
0,1324430,90,1,1322082,0
0,1156973,236,1,1154469,0
1,9580,199,0,6749,1
0,428427,89,2,425755,0
0,1096585,235,1,1093946,1
0,810651,171,1,808318,0
0,12594,152,1,9967,0
0,9089,218,1,6579,1
1,45075,123,0,42286,0
1,1611964,99,0,1609262,1
0,1828534,106,1,1825916,0
0,483376,96,1,480707,1
0,1865809,104,1,1862957,0
0,474706,45,1,471839,0
0,404584,117,1,402206,0
0,1731005,193,2,1728183,0
0,2060220,186,1,2057611,1
1,255561,15,0,253126,0
0,12158,10,1,9363,1
0,21771,85,1,19363,0
0,506933,16,2,504105,0
0,465591,164,1,462814,0
0,292921,246,1,290183,1
0,579976,259,1,577358,0
0,16377,145,1,13513,1
1,199898,34,0,197364,1
1,1633076,189,0,1630521,0
0,602587,41,1,600077,0
0,768058,77,1,765323,0
0,1129346,170,1,1126764,1
0,20976,59,1,18310,0
0,5331,150,1,2932,0
0,204433,64,1,201761,1
0,1825289,190,1,1822929,0
0,700388,13,1,697620,0
0,6553,119,1,4166,1
0,1169591,224,2,1166769,0
0,21057,156,1,18763,1
0,565683,139,1,563344,1
0,262330,244,1,259847,0
0,1251196,183,1,1248512,0
0,1015945,210,1,1013150,1
0,1147282,169,1,1144757,1
0,721934,76,1,719244,1
1,1582479,188,0,1579936,0
0,237391,72,1,234584,1
0,218715,57,1,215884,1
0,11062,4,1,8450,0
0,1570228,98,4,1568267,1
1,308185,67,0,306188,0
0,561205,47,1,558770,0
0,410579,135,1,407808,0
0,57145,58,2,54284,0
0,849988,207,1,847319,0
0,456596,14,1,453903,1
0,60414,228,1,57859,1
0,1007699,208,1,1005114,1
0,7898,9,1,5274,1
0,245264,50,1,242583,0
0,4732,122,1,2051,0
0,21506,60,1,18858,0
0,23129,125,2,20358,1
0,472189,71,1,469499,0
1,1014233,133,0,1011738,0
0,34218,61,1,31414,0
0,2102129,101,1,2099463,1
0,82609,137,2,79808,1
0,1317329,97,1,1314768,0
1,396615,253,0,394090,1
0,585607,83,1,583331,1
0,10603,6,2,7772,1
0,460231,148,1,457457,1
1,276688,212,0,274223,0
0,187696,250,1,185057,1
0,10893,92,1,8359,1
0,4709,29,1,2067,1
0,13678,157,1,10931,1
0,14331,231,1,11776,1
0,1650945,11,1,1648582,1
0,7054,121,1,4541,0
1,476059,149,0,473501,0
0,3590,213,1,942,1
0,1816759,192,1,1814429,0
0,2010450,108,1,2008033,1
0,543681,177,3,541508,1
0,280853,65,1,278046,0
1,436968,247,0,434224,0
