Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,493953,88,2,493609,0
1,9446,82,2,7647,0
0,5255,74,3,2763,0
0,287968,35,0,286817,0
1,2113129,4,2,2112008,1
1,456990,38,2,456034,0
1,524283,28,2,523744,0
1,446968,56,2,445976,0
1,389254,85,2,388238,1
0,415,78,3,74,0
1,34900,84,2,34403,0
0,1568049,33,3,1567459,1
1,806760,71,2,805210,0
1,752839,23,2,752246,1
1,1050401,93,2,1050087,1
1,435956,9,2,435030,1
1,796791,68,2,795304,0
1,57693,63,2,56791,1
1,1786875,47,2,1786159,1
1,776048,25,2,775092,0
1,155295,91,2,154171,0
0,14817,16,4,14209,0
0,69017,92,5,68592,1
1,1037381,94,2,1036476,1
1,1751697,6,1,1751281,0
1,318778,36,2,318386,0
1,1078009,0,2,1077569,1
1,994934,13,2,993237,0
0,556441,27,0,555500,0
1,1575106,48,2,1574483,0
1,810033,67,2,808633,0
1,1226536,43,2,1225625,1
0,415202,8,0,414870,0
1,520133,89,2,519183,1
0,579,45,4,1,1
1,1605890,80,2,1605162,0
1,1285729,42,2,1284860,1
1,767190,26,2,766081,0
1,145136,59,2,143469,1
0,6256,14,3,4343,1
1,3678,41,2,1996,1
0,434997,7,0,434554,1
0,457660,39,0,457121,0
1,26464,54,2,24623,1
1,60707,64,2,60483,0
0,623355,24,0,622414,1
1,310242,37,2,309811,0
0,409340,96,0,408633,0
0,14261,90,3,11517,1
0,292232,49,0,291777,0
1,1643722,31,2,1642802,1
1,84542,20,2,84111,1
0,2665,12,3,1541,1
1,1180888,79,2,1179752,1
0,309976,52,3,309383,0
0,598,60,4,2,1
0,876723,51,0,875551,0
1,1445532,21,2,1444765,1
1,829655,3,2,828978,1
1,1493,83,2,471,1
1,1115404,70,2,1114712,1
1,2418,11,2,715,1
1,447558,87,2,447142,1
0,1735953,73,0,1735636,0
1,1067748,81,2,1067248,0
0,2026309,10,0,2025506,1
1,483,19,2,1,1
0,1735532,72,3,1734645,0
1,647282,5,2,646296,1
1,787501,69,2,786539,0
0,18905,62,3,17574,1
1,703062,66,2,702091,0
1,1021876,55,2,1021316,0
1,3924,61,2,2239,1
1,302448,34,2,301999,0
1,796821,76,2,795886,0
1,15756,44,2,14755,1
1,232541,29,2,231249,0
0,459577,77,3,458618,0
0,747945,58,3,745645,0
0,43740,65,0,43105,0
1,479784,86,2,478387,1
0,12112,18,0,11726,0
0,3821,15,3,1521,1
1,1680779,32,2,1680060,0
0,11816,46,3,9516,1
1,571767,75,2,570709,1
1,1658775,30,2,1658077,1
1,1430208,22,2,1429318,0
1,1217,97,2,24,0
1,75990,1,2,74263,1
0,828817,2,0,828224,1
1,408301,95,2,407363,0
1,1000,40,2,2,0
1,571876,57,2,570902,0
1,2307,50,2,1621,1
1,322283,53,2,321357,0
0,11716,17,0,11321,0
