Lo_C_And_Marc_Vocabularies_Id,Bhcl_Uuid,Encyclopdia_Britannica_Online_Id,Yso_Id,Museum_Digital_Place_Id,Euro_Voc_Id,Geo_Names_Id,Commons_Category,Unesco_Thesaurus_Id,Wiki_Kids_Id,Quora_Topic_Id,French_Vikidia_Id,World_Cat_Entities_Id,Stw_Thesaurus_For_Economics_Id,Main_Category,Continent,K_Bpedia_Id,National_Library_Of_Israel_J9u_Id,Me_Sh_Descriptor_Id,Library_Of_Congress_Authority_Id,Uk_Parliament_Thesaurus_Id,Nl_Cr_Aut_Id,Gnd_Id,Viaf_Id,Page_Banner,Den_Store_Danske_Id,Freebase_Id,Store_Norske_Leksikon_Id
3,0,3,104968.0,330.0,1085.0,3017382.0,4,7,1,4,3,0,4,4,1,3,9.870075525332051e+17,3,0,10352.0,2,3,264091107.0,6,2,9,2
4,2,4,105087.0,209.0,1318.0,2921044.0,5,8,0,5,0,3,10,5,1,4,9.870075597787052e+17,4,8,10438.0,10,1,189116956.0,10,9,3,9
5,4,5,105111.0,197.0,1519.0,3175395.0,6,9,2,6,4,4,3,6,1,5,9.870075549582052e+17,5,2,11075.0,3,4,152361066.0,4,3,4,3
10,6,1,105841.0,545.0,690.0,357994.0,1,1,6,1,10,7,5,1,0,1,9.870075480443052e+17,1,7,9887.0,0,0,130890862.0,1,0,0,0
4,2,4,105087.0,209.0,1318.0,2921044.0,5,8,0,5,0,3,10,5,1,4,9.870075597787052e+17,4,8,10438.0,10,1,189116956.0,10,9,3,9
1,7,2,109282.0,32394.0,993.0,2205218.0,3,3,6,3,2,2,7,3,2,2,9.870075480689052e+17,2,6,10270.0,1,2,158167302.0,3,1,1,1
4,2,4,105087.0,209.0,1318.0,2921044.0,5,8,0,5,0,3,10,5,1,4,9.870075597787052e+17,4,8,10438.0,10,1,189116956.0,10,9,3,9
1,7,2,109282.0,32394.0,993.0,2205218.0,3,3,6,3,2,2,7,3,2,2,9.870075480689052e+17,2,6,10270.0,1,2,158167302.0,3,1,1,1
10,6,1,105841.0,545.0,690.0,357994.0,1,1,6,1,10,7,5,1,0,1,9.870075480443052e+17,1,7,9887.0,0,0,130890862.0,1,0,0,0
5,4,5,105111.0,197.0,1519.0,3175395.0,6,9,2,6,4,4,3,6,1,5,9.870075549582052e+17,5,2,11075.0,3,4,152361066.0,4,3,4,3
6,8,6,105707.0,5806.0,1649.0,3042058.0,7,0,3,7,5,10,0,7,1,6,9.870075641939052e+17,6,9,11329.0,4,5,133694435.0,5,4,5,4
7,5,8,105384.0,1479.0,2089.0,2186224.0,8,5,5,8,7,9,9,8,2,8,9.870075548099052e+17,7,1,11904.0,6,6,130102165.0,7,6,8,6
7,5,8,105384.0,1479.0,2089.0,2186224.0,8,5,5,8,7,9,9,8,2,8,9.870075548099052e+17,7,1,11904.0,6,6,130102165.0,7,6,8,6
10,6,1,105841.0,545.0,690.0,357994.0,1,1,6,1,10,7,5,1,0,1,9.870075480443052e+17,1,7,9887.0,0,0,130890862.0,1,0,0,0
4,2,4,105087.0,209.0,1318.0,2921044.0,5,8,0,5,0,3,10,5,1,4,9.870075597787052e+17,4,8,10438.0,10,1,189116956.0,10,9,3,9
4,2,4,105087.0,209.0,1318.0,2921044.0,5,8,0,5,0,3,10,5,1,4,9.870075597787052e+17,4,8,10438.0,10,1,189116956.0,10,9,3,9
2,7,7,109172.0,6622.0,1903.0,2081918.0,2,4,4,2,6,1,8,2,2,7,9.870075551021052e+17,10,10,11647.0,5,10,128951635.0,2,5,2,5
5,4,5,105111.0,197.0,1519.0,3175395.0,6,9,2,6,4,4,3,6,1,5,9.870075549582052e+17,5,2,11075.0,3,4,152361066.0,4,3,4,3
5,4,5,105111.0,197.0,1519.0,3175395.0,6,9,2,6,4,4,3,6,1,5,9.870075549582052e+17,5,2,11075.0,3,4,152361066.0,4,3,4,3
3,0,3,104968.0,330.0,1085.0,3017382.0,4,7,1,4,3,0,4,4,1,3,9.870075525332051e+17,3,0,10352.0,2,3,264091107.0,6,2,9,2
8,7,9,109210.0,30482.0,4342.0,3382998.0,9,2,8,9,9,5,6,9,3,9,9.870075549535052e+17,8,3,13140.0,9,9,128955856.0,8,8,7,7
3,0,3,104968.0,330.0,1085.0,3017382.0,4,7,1,4,3,0,4,4,1,3,9.870075525332051e+17,3,0,10352.0,2,3,264091107.0,6,2,9,2
6,8,6,105707.0,5806.0,1649.0,3042058.0,7,0,3,7,5,10,0,7,1,6,9.870075641939052e+17,6,9,11329.0,4,5,133694435.0,5,4,5,4
6,8,6,105707.0,5806.0,1649.0,3042058.0,7,0,3,7,5,10,0,7,1,6,9.870075641939052e+17,6,9,11329.0,4,5,133694435.0,5,4,5,4
1,7,2,109282.0,32394.0,993.0,2205218.0,3,3,6,3,2,2,7,3,2,2,9.870075480689052e+17,2,6,10270.0,1,2,158167302.0,3,1,1,1
1,7,2,109282.0,32394.0,993.0,2205218.0,3,3,6,3,2,2,7,3,2,2,9.870075480689052e+17,2,6,10270.0,1,2,158167302.0,3,1,1,1
10,6,1,105841.0,545.0,690.0,357994.0,1,1,6,1,10,7,5,1,0,1,9.870075480443052e+17,1,7,9887.0,0,0,130890862.0,1,0,0,0
9,3,10,105295.0,589.0,4324.0,2658434.0,10,10,9,10,8,8,2,10,1,10,9.870075643569052e+17,9,5,13167.0,8,8,154323889.0,9,7,6,8
0,1,0,105294.0,236.0,4353.0,2782113.0,0,6,7,0,1,6,1,0,1,0,9.870075596513052e+17,0,4,8475.0,7,7,148842731.0,0,10,10,10
6,8,6,105707.0,5806.0,1649.0,3042058.0,7,0,3,7,5,10,0,7,1,6,9.870075641939052e+17,6,9,11329.0,4,5,133694435.0,5,4,5,4
2,7,7,109172.0,6622.0,1903.0,2081918.0,2,4,4,2,6,1,8,2,2,7,9.870075551021052e+17,10,10,11647.0,5,10,128951635.0,2,5,2,5
2,7,7,109172.0,6622.0,1903.0,2081918.0,2,4,4,2,6,1,8,2,2,7,9.870075551021052e+17,10,10,11647.0,5,10,128951635.0,2,5,2,5
8,7,9,109210.0,30482.0,4342.0,3382998.0,9,2,8,9,9,5,6,9,3,9,9.870075549535052e+17,8,3,13140.0,9,9,128955856.0,8,8,7,7
1,7,2,109282.0,32394.0,993.0,2205218.0,3,3,6,3,2,2,7,3,2,2,9.870075480689052e+17,2,6,10270.0,1,2,158167302.0,3,1,1,1
6,8,6,105707.0,5806.0,1649.0,3042058.0,7,0,3,7,5,10,0,7,1,6,9.870075641939052e+17,6,9,11329.0,4,5,133694435.0,5,4,5,4
7,5,8,105384.0,1479.0,2089.0,2186224.0,8,5,5,8,7,9,9,8,2,8,9.870075548099052e+17,7,1,11904.0,6,6,130102165.0,7,6,8,6
6,8,6,105707.0,5806.0,1649.0,3042058.0,7,0,3,7,5,10,0,7,1,6,9.870075641939052e+17,6,9,11329.0,4,5,133694435.0,5,4,5,4
4,2,4,105087.0,209.0,1318.0,2921044.0,5,8,0,5,0,3,10,5,1,4,9.870075597787052e+17,4,8,10438.0,10,1,189116956.0,10,9,3,9
9,3,10,105295.0,589.0,4324.0,2658434.0,10,10,9,10,8,8,2,10,1,10,9.870075643569052e+17,9,5,13167.0,8,8,154323889.0,9,7,6,8
2,7,7,109172.0,6622.0,1903.0,2081918.0,2,4,4,2,6,1,8,2,2,7,9.870075551021052e+17,10,10,11647.0,5,10,128951635.0,2,5,2,5
10,6,1,105841.0,545.0,690.0,357994.0,1,1,6,1,10,7,5,1,0,1,9.870075480443052e+17,1,7,9887.0,0,0,130890862.0,1,0,0,0
9,3,10,105295.0,589.0,4324.0,2658434.0,10,10,9,10,8,8,2,10,1,10,9.870075643569052e+17,9,5,13167.0,8,8,154323889.0,9,7,6,8
