Lo_C_And_Marc_Vocabularies_Id,Bhcl_Uuid,Encyclopdia_Britannica_Online_Id,Yso_Id,Museum_Digital_Place_Id,Euro_Voc_Id,Geo_Names_Id,Commons_Category,Unesco_Thesaurus_Id,Wiki_Kids_Id,Quora_Topic_Id,French_Vikidia_Id,World_Cat_Entities_Id,Stw_Thesaurus_For_Economics_Id,Main_Category,Continent,K_Bpedia_Id,National_Library_Of_Israel_J9u_Id,Me_Sh_Descriptor_Id,Library_Of_Congress_Authority_Id,Uk_Parliament_Thesaurus_Id,Nl_Cr_Aut_Id,Gnd_Id,Viaf_Id,Page_Banner,Den_Store_Danske_Id,Freebase_Id,Store_Norske_Leksikon_Id
28,14,10,106924.0,21939.0,2362.0,3578932.0,17,0,8,15,23,13,25,17,12,15,9.870072955348051e+17,24,10,,12,6,245630258.0,17,17,1,13
12,14,4,109970.0,,7208.0,615318.0,4,21,12,15,15,11,23,4,12,1,,24,0,,0,30,255510449.0,4,8,26,6
13,19,3,94095.0,,5774.0,,3,26,1,2,25,7,21,3,8,0,9.870072823006052e+17,10,14,8529.0,22,30,304910901.0,3,3,2,3
21,10,23,118209.0,4489.0,357.0,7729889.0,11,5,12,8,3,1,10,11,0,10,9.870072938335052e+17,3,6,9778.0,4,20,315160619.0,14,25,5,28
13,19,3,94095.0,,5774.0,,3,26,1,2,25,7,21,3,8,0,9.870072823006052e+17,10,14,8529.0,22,30,304910901.0,3,3,2,3
32,18,17,105006.0,2562.0,1624.0,6255150.0,26,11,22,22,8,6,16,26,2,23,9.870075609765052e+17,19,25,12887.0,10,23,5.771454245608868e+20,27,18,19,23
18,8,0,110166.0,3573.0,913.0,9408659.0,32,25,21,29,20,5,3,32,8,28,,24,26,13754.0,27,25,245653394.0,10,13,24,26
13,19,3,94095.0,,5774.0,,3,26,1,2,25,7,21,3,8,0,9.870072823006052e+17,10,14,8529.0,22,30,304910901.0,3,3,2,3
6,1,19,105337.0,6328.0,2858.0,7729896.0,28,19,24,23,13,24,7,28,3,24,,9,0,12902.0,6,15,316430153.0,2,20,22,13
6,1,19,105337.0,6328.0,2858.0,7729896.0,28,19,24,23,13,24,7,28,3,24,,9,0,12902.0,6,15,316430153.0,2,20,22,13
26,17,14,105416.0,238.0,1615.0,6255149.0,21,10,13,17,7,21,15,21,2,9,9.870075339721052e+17,17,24,11974.0,21,10,316430133.0,12,14,16,15
7,9,12,105025.0,17227.0,2705.0,6269133.0,19,16,11,26,22,23,25,19,11,16,9.870075628982052e+17,16,23,11660.0,0,17,173199948.0,0,11,15,11
18,8,0,110166.0,3573.0,913.0,9408659.0,32,25,21,29,20,5,3,32,8,28,,24,26,13754.0,27,25,245653394.0,10,13,24,26
15,16,2,105026.0,46239.0,,685608.0,2,0,12,25,14,24,25,2,8,17,9.870072823030052e+17,23,13,8512.0,18,2,252087561.0,19,2,3,2
