Gene_Subclass,Gene_Type,Genomic_Start_Position,Strand_Orientation,Gene_Label,Gene_Db_Id,Genomic_End_Position
1,1,493609,0,86,86,493953
1,1,7647,0,81,81,9446
0,0,2763,0,73,73,5255
0,0,286817,0,35,35,287968
1,1,2112008,1,4,4,2113129
1,1,338613,1,95,95,339503
1,1,570902,0,57,57,571876
1,1,445976,0,56,56,446968
0,0,745645,0,58,58,747945
0,0,74,0,77,77,415
1,1,34403,0,83,83,34900
0,0,1567459,1,33,33,1568049
1,1,805210,0,70,70,806760
1,1,752246,1,23,23,752839
1,1,1050087,1,91,91,1050401
0,0,434554,1,7,7,434997
1,1,795304,0,67,67,796791
1,1,56791,1,63,63,57693
1,1,1786159,1,47,47,1786875
1,1,775092,0,25,25,776048
1,1,154171,0,89,89,155295
0,0,14209,0,15,15,14817
1,1,73803,0,20,20,74492
1,1,1036476,1,92,92,1037381
1,1,1751281,0,6,6,1751697
1,1,318386,0,36,36,318778
1,1,1077569,1,0,0,1078009
1,1,993237,0,12,12,994934
1,1,523744,0,28,28,524283
1,1,1574483,0,48,48,1575106
1,1,808633,0,66,66,810033
1,1,1225625,1,43,43,1226536
0,0,291777,0,49,49,292232
1,1,519183,1,87,87,520133
0,0,1,1,45,45,579
1,1,1605162,0,79,79,1605890
1,1,1284860,1,42,42,1285729
1,1,766081,0,26,26,767190
1,1,623469,1,24,24,624101
0,0,4343,1,13,13,6256
1,1,1996,1,41,41,3678
0,0,414870,0,8,8,415202
1,1,456034,0,38,38,456990
1,1,24623,1,54,54,26464
0,0,43105,0,64,64,43740
0,0,555500,0,27,27,556441
1,1,309811,0,37,37,310242
0,0,408633,0,94,94,409340
0,0,11517,1,88,88,14261
0,0,68592,1,90,90,69017
1,1,1642802,1,31,31,1643722
1,1,84111,1,19,19,84542
0,0,1541,1,11,11,2665
1,1,1179752,1,78,78,1180888
0,0,309383,0,52,52,309976
0,0,2,1,60,60,598
0,0,875551,0,51,51,876723
1,1,1444765,1,21,21,1445532
1,1,828978,1,3,3,829655
1,1,471,1,82,82,1493
1,1,1114712,1,69,69,1115404
1,1,715,1,10,10,2418
1,1,447142,1,85,85,447558
0,0,1735636,0,72,72,1735953
1,1,1067248,0,80,80,1067748
0,0,2025506,1,9,9,2026309
1,1,1,1,18,18,483
0,0,1734645,0,71,71,1735532
1,1,646296,1,5,5,647282
1,1,786539,0,68,68,787501
0,0,17574,1,62,62,18905
1,1,702091,0,65,65,703062
1,1,1021316,0,55,55,1021876
1,1,2239,1,61,61,3924
1,1,301999,0,34,34,302448
1,1,795886,0,75,75,796821
1,1,14755,1,44,44,15756
1,1,231249,0,29,29,232541
0,0,458618,0,76,76,459577
1,1,74263,1,1,1,75990
1,1,155782,0,97,97,156954
1,1,388238,1,84,84,389254
0,0,11726,0,17,17,12112
0,0,1521,1,14,14,3821
1,1,1680060,0,32,32,1680779
0,0,9516,1,46,46,11816
1,1,570709,1,74,74,571767
1,1,1658077,1,30,30,1658775
1,1,1429318,0,22,22,1430208
1,1,24,0,96,96,1217
1,1,143469,1,59,59,145136
0,0,828224,1,2,2,828817
1,1,407363,0,93,93,408301
1,1,2,0,40,40,1000
0,0,457121,0,39,39,457660
1,1,1621,1,50,50,2307
1,1,321357,0,53,53,322283
0,0,11321,0,16,16,11716
