GeneType,GenomicStartPosition,EncodedProteinName,ChromosomeId,StrandOrientation,GeneDbId,GenomicEndPosition
0,312338,17,15,0,145,313057
0,80905,11,45,1,40,81801
1,14340,2,38,1,226,15410
0,2150759,9,20,1,66,2151652
0,749176,17,14,1,92,749937
0,1087412,17,19,1,237,1088191
1,432381,0,14,1,203,432941
1,496932,34,15,1,120,497744
0,32910,20,2,1,166,33929
0,1227118,27,20,1,105,1227756
1,651695,2,8,1,52,652441
0,401243,21,5,0,84,402463
0,16886,23,58,0,107,18040
0,394031,1,14,1,23,394684
0,1097833,3,19,1,238,1098996
0,662936,11,19,1,103,663709
0,1,0,23,0,2,738
0,11053,23,69,1,153,12258
0,2161639,11,20,0,65,2162466
1,936387,2,19,1,156,937169
1,269074,2,20,1,147,269718
0,945539,22,14,1,5,946792
0,3406,22,32,1,135,4632
1,561921,2,14,1,88,563168
1,476525,2,15,1,119,477748
0,730422,11,20,0,56,731234
0,591,22,47,0,60,1832
0,216641,12,5,0,244,217780
0,1032938,13,19,1,239,1034038
1,778437,2,14,0,93,779639
1,9531,2,78,0,218,10709
0,22262,19,74,0,192,23056
1,666610,2,14,1,91,667923
1,496306,2,4,0,34,497406
0,364310,23,4,1,36,365512
0,9303,0,66,0,149,9985
1,2966,2,42,0,29,4174
0,1056725,22,14,0,131,1057942
0,588062,23,14,0,206,589228
0,25351,11,42,1,27,26139
1,181743,2,12,1,42,182780
0,195561,15,5,0,242,196658
0,386064,23,14,0,11,387281
1,1886823,2,19,0,127,1887968
0,1114,0,70,1,160,1860
0,580287,16,14,0,205,581117
0,385279,22,15,0,172,386514
0,598465,11,14,1,204,599280
1,744176,2,9,0,159,745129
0,1421220,16,20,0,55,1422032
1,1920505,2,19,1,125,1921338
1,12743,2,41,0,26,13702
0,1172566,19,15,0,230,1173402
0,209491,20,5,0,243,210588
1,16553,2,51,0,77,17599
0,1048619,16,14,0,132,1049347
0,357524,25,19,0,101,358168
1,1246121,2,18,0,177,1247221
0,877761,11,14,0,141,878597
0,17131,31,53,0,95,18090
0,1777443,14,19,0,129,1778534
0,1192936,1,15,0,231,1193619
1,4201,2,54,1,96,5205
0,2202343,25,20,1,64,2202990
0,152606,31,80,0,234,153559
0,3321,23,76,0,216,4472
0,974237,31,20,1,116,975187
0,1744339,17,20,0,191,1745136
0,18321,23,29,1,47,19523
0,37197,11,75,0,197,38006
0,1146423,7,18,1,174,1147481
0,226322,0,12,1,43,226729
1,76494,0,45,0,39,76658
0,982858,31,20,1,114,983808
0,913814,27,19,0,155,914563
0,399566,0,15,0,173,400728
0,978543,31,20,1,115,979496
1,492404,34,15,1,121,493669
1,3070,2,73,1,167,3831
1,2544,2,71,0,161,3587
0,9199,11,44,1,38,10011
0,1446237,26,20,1,54,1447013
0,35690,9,37,0,223,36547
0,530982,0,1,1,170,531335
0,461594,11,15,0,171,462427
0,1904309,11,20,1,67,1905082
0,1473666,28,20,0,53,1474427
0,1097515,9,15,0,232,1098330
0,14710,8,31,1,109,15525
