GeneType,GenomicStartPosition,EncodedProteinName,ChromosomeId,StrandOrientation,GeneDbId,GenomicEndPosition
0,319014,23,15,0,147,320234
0,80905,11,45,1,40,81801
1,14340,2,38,1,226,15410
0,2161639,11,19,0,66,2162466
0,749176,16,14,1,95,749937
0,1097833,3,18,1,239,1098996
1,432381,0,14,1,203,432941
0,1076451,11,15,0,227,1077230
0,32910,20,2,1,169,33929
0,1421220,15,19,0,55,1422032
1,651695,2,8,1,52,652441
0,401243,21,5,0,87,402463
0,16886,23,58,0,109,18040
0,394031,1,14,1,22,394684
0,1151997,22,18,0,240,1153229
0,750031,24,18,1,156,750678
0,8728,22,23,1,4,9906
0,11053,23,69,1,155,12258
0,2202343,24,19,1,65,2202990
0,1010715,1,18,0,159,1011398
0,375253,26,19,0,23,375897
0,991897,11,14,1,211,992655
0,3406,22,32,1,138,4632
1,561921,2,14,1,91,563168
1,492404,34,15,1,122,493669
0,748862,16,19,1,56,749602
0,591,22,47,0,61,1832
0,216641,12,5,0,244,217780
0,1087412,16,18,1,238,1088191
1,778437,2,14,0,96,779639
1,9531,2,78,0,218,10709
0,22262,18,74,0,193,23056
1,666610,2,14,1,94,667923
1,496306,2,4,0,34,497406
0,364310,23,4,1,36,365512
0,9303,0,66,0,151,9985
1,2966,2,42,0,29,4174
0,1069991,11,14,0,196,1070767
0,588062,23,14,0,206,589228
0,25351,11,42,1,27,26139
1,181743,2,12,1,42,182780
0,195561,14,5,0,242,196658
0,386064,23,14,0,11,387281
0,1897239,11,18,0,129,1897997
0,1114,0,70,1,163,1860
0,580287,15,14,0,205,581117
0,399566,0,15,0,176,400728
0,598465,11,14,1,204,599280
1,744176,2,9,0,162,745129
0,1428093,26,19,0,54,1428734
0,1967444,11,18,1,127,1968229
1,12743,2,41,0,26,13702
0,1192936,1,15,0,232,1193619
0,209491,20,5,0,243,210588
1,16553,2,51,0,79,17599
0,1056725,22,14,0,134,1057942
0,662936,11,18,1,106,663709
0,1470884,5,17,0,183,1471918
1,883339,2,14,1,141,884301
0,17131,30,53,0,98,18090
0,1782673,11,18,1,131,1783506
0,1193721,0,15,0,233,1194158
1,4201,2,54,1,99,5205
1,175745,2,20,0,107,177073
0,152606,30,80,0,235,153559
0,3321,23,76,0,216,4472
0,978543,30,19,1,117,979496
0,1904309,11,19,1,69,1905082
1,25858,2,28,1,45,27009
0,37197,11,75,0,197,38006
0,1220947,14,17,0,178,1221966
0,226322,0,12,1,43,226729
1,76494,0,45,0,39,76658
0,987176,0,19,1,115,987733
1,936387,2,18,1,158,937169
0,415021,23,15,1,123,416187
0,982858,30,19,1,116,983808
1,496932,34,15,1,121,497744
1,3070,2,73,1,170,3831
1,2544,2,71,0,164,3587
0,9199,11,44,1,38,10011
0,1473666,27,19,0,53,1474427
0,35690,9,37,0,223,36547
0,530982,0,1,1,174,531335
1,476525,2,15,1,120,477748
1,1925107,2,19,1,68,1925877
0,1564014,16,19,1,74,1564778
0,1105297,22,15,0,228,1106541
0,14710,8,31,1,111,15525
1,1101,2,59,1,113,2102
0,176870,21,16,1,112,178084
0,704769,18,14,0,93,705599
0,76523,20,8,1,8,77581
0,837087,0,14,0,210,837722
0,712,28,49,1,77,1677
0,300510,18,15,0,148,301271
1,10170,2,75,0,198,11639
0,2202237,24,18,1,185,2202884
0,1486264,14,17,1,181,1487286
0,2091,11,62,1,136,2879
0,11231,0,35,0,220,12102
1,550737,2,14,1,89,551759
0,11857,0,24,1,5,12897
0,877761,11,14,0,143,878597
1,1327,2,33,0,172,2640
0,2088630,24,18,1,126,2089274
0,383100,14,4,0,37,384191
0,323095,25,11,1,161,323886
0,570836,11,7,0,48,571633
0,683826,30,19,0,58,684782
0,913814,26,18,0,157,914563
0,29922,22,48,0,62,31139
1,1246121,2,17,0,180,1247221
0,1222181,16,19,1,108,1222996
1,289571,2,14,0,82,290434
0,1048619,15,14,0,135,1049347
0,35402,23,28,1,46,36628
1,1130438,2,19,1,171,1131697
0,31118,11,37,0,222,31870
1,293887,2,12,1,102,295086
0,945539,22,14,1,6,946792
1,1762,2,36,0,221,2901
0,1638709,19,17,0,125,1639752
0,643769,25,6,0,119,644758
0,16873,28,80,1,236,17814
0,825718,18,18,1,13,826530
0,3,0,25,0,10,335
1,5971,2,0,1,184,7239
1,39978,2,68,0,153,41030
0,18244,11,72,0,168,19059
0,1187623,31,14,0,194,1188618
0,1744339,16,19,0,192,1745136
1,1283,2,58,1,110,2521
0,249592,22,15,0,146,250812
0,730422,11,19,0,57,731234
0,1075195,1,14,1,3,1075329
1,136807,2,12,0,160,137805
0,460051,29,14,1,201,461022
0,1603254,17,18,0,189,1604402
0,10047,23,46,1,50,11189
1,13361,2,26,1,14,13960
0,38151,22,48,0,63,39296
0,374896,20,4,1,35,375903
0,10958,22,81,0,237,12268
0,2096334,11,19,1,191,2097143
0,11804,23,68,0,154,13009
0,549704,11,7,0,49,550504
0,10985,11,37,1,224,11743
1,555144,2,1,0,173,556235
0,1164663,11,15,0,230,1165493
1,380962,2,10,0,15,381597
0,8375,11,29,1,76,9178
0,2164835,24,18,1,186,2165485
1,40839,33,30,0,80,41345
1,28721,2,72,0,166,29968
0,357524,24,18,0,104,358168
0,491209,22,14,0,202,492438
