Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
1,0,1160395,348,1159709,0
1,0,18293,404,17649,0
0,0,7200,135,6637,0
0,0,55025,359,54438,0
0,0,1464254,88,1463646,0
0,0,494817,204,494134,1
0,0,2016292,330,2015537,0
0,0,9057,388,8128,0
0,0,4555,132,3962,0
0,0,683253,97,682675,0
1,0,844685,368,844098,0
1,0,112468,401,111971,0
0,0,4870,341,4217,0
0,0,2682,266,1954,0
0,0,163066,8,162521,1
0,0,1955674,333,1955171,0
0,0,756041,98,755460,1
0,0,1368555,310,1367977,1
0,0,1487064,92,1486369,1
0,0,36247,72,35642,1
0,0,265007,260,264339,0
0,0,120884,34,120498,0
0,0,1921473,107,1920904,1
0,0,438865,352,438233,0
0,0,308712,370,308044,0
0,0,1033564,300,1032920,0
0,0,1604078,115,1603452,0
0,0,85370,61,84681,0
0,0,17407,263,16820,0
0,0,497483,125,496893,0
1,0,1738968,27,1738420,0
0,0,6677,379,6162,1
0,0,278070,223,277438,1
0,0,1731530,337,1730895,0
0,0,477620,207,476973,0
0,0,567879,381,567310,0
0,0,10321,126,9749,0
0,0,1686468,111,1685914,0
0,0,7629,231,6979,0
0,0,1645,356,1004,0
0,0,376974,55,376393,1
1,0,807869,24,807330,1
0,0,426818,138,426186,1
0,0,39701,52,39237,1
0,0,307213,261,306524,0
0,0,782,46,129,1
0,0,1132814,318,1132212,1
0,0,30799,73,30158,1
0,0,159847,67,159101,1
0,0,717564,272,716974,1
0,0,1637787,113,1637185,1
0,0,487905,170,487330,0
1,0,356421,430,355831,1
0,0,1932015,106,1931470,0
0,0,2027,39,1341,0
0,0,1743790,336,1743146,0
0,0,515441,208,514617,0
0,0,1118634,320,1117975,1
1,0,347837,17,347313,0
0,0,250738,324,250097,0
0,0,1579,3,1004,1
0,0,570400,76,569783,0
0,0,552848,146,552180,1
0,0,52129,267,51491,0
1,0,19103,380,18480,1
0,0,4829,259,4128,0
0,0,599763,234,598996,1
0,0,430625,12,430509,0
0,0,1148872,410,1148204,0
0,0,339516,226,338926,0
0,0,1581481,216,1580900,1
0,0,1081012,406,1080440,1
0,0,15668,345,15015,0
0,0,6518,305,5874,1
0,0,26110,307,25487,1
1,0,504309,428,503911,1
0,0,668902,150,668282,1
0,0,1995197,218,1994529,0
0,0,216763,323,216122,0
1,0,588625,158,587969,1
0,0,416038,383,415541,0
1,0,463493,100,462885,1
0,0,14001,394,13402,1
1,0,385637,20,384969,0
0,0,602338,321,601643,1
0,0,1845,389,1489,1
0,0,314714,122,314181,0
0,0,1473130,87,1472456,0
0,0,1134002,408,1133424,1
