Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
1,0,38827,225,35924,1
0,0,3779,182,1517,0
0,0,9869,53,8244,1
1,0,825842,310,823350,0
0,0,502030,129,499289,0
1,0,79193,77,76656,1
1,0,2449,0,11,0
0,0,7010,291,4233,1
0,0,66235,247,64469,1
1,0,21822,317,18838,1
0,0,104384,71,101526,1
0,0,77950,17,74987,1
1,0,510295,141,507728,1
1,0,847503,311,845194,0
1,0,16574,222,14088,1
1,0,181574,314,180063,1
1,0,625252,228,622190,0
1,0,981807,277,979324,1
1,0,16715,185,14439,1
0,0,3108,210,115,0
1,0,2940,212,73,1
1,0,2351295,264,2348338,0
1,0,13435,271,10745,0
0,0,86361,187,83876,1
1,0,225780,78,223900,0
1,0,578138,98,576360,0
1,0,504140,268,500865,0
1,0,636457,213,635763,0
1,0,847195,162,845501,0
1,0,492362,27,490971,0
1,0,236472,223,233641,0
0,0,779582,202,776703,0
0,0,5320,123,4310,1
1,0,3857,103,1095,1
0,0,650247,100,648161,0
1,0,984,304,31,0
1,0,976,20,2,1
0,0,24358,272,21590,0
0,0,2274,50,1,0
1,0,628999,142,626735,0
1,0,13990,114,11384,1
0,0,14595,65,12280,1
1,0,11256,253,8914,1
1,0,2327020,263,2324351,0
1,0,5339,51,2904,1
0,0,65081,83,62292,1
0,0,1335,245,1,1
0,2,805554,313,804478,0
0,0,782600,203,781197,0
0,0,955,155,2,1
1,0,1573917,165,1571158,0
0,0,1995400,174,1993454,0
0,0,794113,241,793295,0
1,0,644271,96,641242,1
0,0,56433,248,54619,1
1,0,654938,252,652152,0
1,0,1032018,49,1029001,0
0,0,1140600,195,1138639,0
1,0,411506,57,408474,0
1,0,924785,236,922281,1
0,0,4734,122,2191,0
0,0,8397,15,5578,1
0,0,764760,201,762982,0
1,0,3210,22,616,1
1,0,587182,273,584897,1
0,0,4421,31,3684,1
0,0,9939,56,8926,0
0,0,606712,237,603989,0
1,0,21218,240,18921,1
0,0,2501,82,102,1
1,0,7457,214,4911,1
0,0,490870,45,489493,0
1,0,4073,5,1218,0
1,0,110366,249,107442,1
1,0,22430,44,19944,1
1,0,15107,262,12237,1
1,0,41742,307,39727,1
0,0,663320,258,660522,0
0,0,58458,113,55432,1
1,0,486237,24,483109,0
1,0,353345,138,350952,0
0,0,9141,220,8410,0
1,0,2693,280,396,0
1,0,44770,25,42977,1
0,0,18183,233,15433,0
1,0,5678,127,4257,1
0,1,655728,167,653962,0
0,0,33262,308,31331,1
0,0,791878,120,790079,0
1,0,760085,242,757590,0
0,0,1852491,173,1847980,0
1,0,130785,104,128263,0
1,0,122539,189,120197,1
0,0,594892,226,591674,0
0,0,571445,197,567813,0
1,0,690966,179,687994,0
1,0,18751,109,16475,1
1,0,582823,21,581135,0
0,0,67475,296,65139,1
1,0,25743,230,24748,1
1,0,71114,194,69705,1
0,0,103187,323,101616,0
0,0,702008,180,700188,0
1,0,585311,227,582390,0
1,0,2325261,42,2323705,0
1,0,491613,133,488857,1
1,0,12191,231,9909,1
1,0,7825,90,5795,0
1,0,59561,140,57681,1
0,0,4036,63,1289,1
1,0,3158,254,408,1
0,0,1434052,153,1432280,0
1,0,29749,160,26915,1
1,0,430057,184,427406,0
1,0,10910,88,8910,0
0,0,30562,278,28739,1
1,0,7313,235,4734,0
0,0,4216,132,1460,1
1,0,4679,183,1893,0
1,0,10460,76,8049,1
1,0,28755,102,25951,1
1,0,2892,67,97,0
1,0,912033,72,909235,0
1,0,15683,256,12888,0
1,0,30617,148,28410,1
0,0,75311,149,73533,1
1,0,14564,60,12819,1
1,0,706189,14,704129,0
0,0,120500,322,118605,0
1,0,26060,259,23298,1
