SportType,StageLabel,HostCountry,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,StageClassificationLeader,GeneralClassificationLeader,StageDescription
1,98,7,256633.0,97,18,53,22,158,92,100,21.0,55,20,24
1,67,3,256102.0,142,6,46,18,157,62,45,,52,15,15
1,46,3,247293.0,74,20,68,14,40,40,48,15.0,68,20,18
1,60,7,247322.0,98,19,37,16,53,46,56,2.0,36,20,24
1,57,7,247337.0,82,17,25,16,49,56,59,15.0,24,20,24
1,79,3,256322.0,72,21,71,17,70,63,80,3.0,71,11,10
1,33,3,210004.0,106,21,76,7,24,27,35,4.0,17,7,19
1,4,8,181397.0,91,17,65,3,1,6,11,3.0,65,29,21
1,149,3,279336.0,128,20,55,35,138,137,144,14.0,57,27,24
1,90,7,256623.0,58,17,36,22,81,84,92,12.0,35,19,24
1,8,8,181402.0,13,21,2,3,5,10,15,8.0,2,24,21
1,9,7,180851.0,148,11,53,5,29,148,4,,52,20,4
1,150,7,279337.0,98,19,60,35,139,138,145,15.0,61,27,24
1,56,7,247335.0,85,23,53,16,48,55,58,13.0,55,20,24
1,45,3,247291.0,33,20,7,14,39,39,47,13.0,11,20,18
1,51,3,247285.0,30,20,52,14,44,38,53,8.0,50,0,18
1,14,7,181862.0,86,16,64,5,35,148,5,,52,28,5
1,137,4,279092.0,94,17,53,30,126,126,137,6.0,55,20,14
1,70,3,256331.0,116,21,50,17,62,68,72,12.0,51,30,14
1,58,7,247339.0,118,17,36,16,50,57,60,16.0,35,20,24
1,119,7,269594.0,23,17,20,28,107,94,119,2.0,19,22,14
1,139,7,279116.0,46,19,29,31,129,127,138,3.0,28,6,14
1,78,3,256340.0,31,21,76,17,158,76,81,21.0,76,30,14
1,94,7,256628.0,64,21,20,22,85,88,96,16.0,19,19,24
1,147,7,279332.0,143,18,21,35,136,135,156,10.0,20,27,24
1,3,8,181404.0,49,9,57,5,26,148,3,,52,24,3
1,17,7,181854.0,126,18,58,6,12,16,23,16.0,59,28,25
1,24,4,210078.0,15,3,4,12,36,36,7,,52,18,15
