Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,Nationality,Birthplace,UciRiderId,Languages,WeightKg,Birthdate,SportsTeam,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,CyclingDiscipline
1,21,52529.0,19274.0,11,141312.0,0,3,73573.0,6,68.0,12,19,12,14,57052.0,9042.0,178.0,4
1,22,53435.0,19646.0,18,141166.0,5,14,454633.0,4,89.0,10,18,18,0,77139.0,9210.0,199.0,2
0,16,48143.0,21971.0,17,168754.0,8,8,79462.0,6,,17,0,17,14,64280.0,16672.0,184.0,1
1,12,,,21,240119.0,14,22,486724.0,0,,27,10,11,12,156117.0,114756.0,,2
1,26,6263.0,45.0,22,140855.0,0,23,24166.0,6,70.0,0,3,21,14,4177.0,174.0,179.0,2
1,14,27037.0,7834.0,14,140602.0,4,17,58422.0,3,,2,6,14,14,40034.0,964.0,176.0,2
1,0,,26409.0,24,193912.0,9,20,148777.0,6,,23,14,23,4,96575.0,44537.0,179.0,2
1,24,56386.0,21267.0,16,160236.0,4,24,72160.0,3,76.0,9,12,16,14,73209.0,17210.0,182.0,4
1,20,62218.0,22702.0,10,165607.0,4,0,98505.0,3,65.0,14,5,10,1,77824.0,32892.0,170.0,2
1,17,27794.0,12923.0,19,140821.0,11,5,58528.0,7,65.0,5,17,19,14,36053.0,2961.0,176.0,2
1,5,55192.0,19941.0,27,135398.0,0,7,86228.0,6,75.0,6,19,26,14,59790.0,10971.0,180.0,2
1,4,8760.0,4179.0,2,140749.0,10,18,32691.0,6,78.0,3,3,2,14,19407.0,406.0,181.0,2
1,6,62259.0,24110.0,3,181212.0,4,1,250807.0,3,,19,7,3,8,94988.0,27301.0,184.0,2
1,10,19345.0,4944.0,6,140318.0,6,10,30927.0,5,64.0,1,1,6,14,29565.0,532.0,175.0,2
1,23,92920.0,31654.0,13,240140.0,14,4,415141.0,10,,26,20,13,11,140379.0,114659.0,183.0,2
1,9,41890.0,17794.0,7,139904.0,8,25,68844.0,6,64.0,7,9,7,14,52412.0,7724.0,187.0,4
1,8,,29474.0,5,215760.0,3,2,638202.0,6,,25,8,5,10,149604.0,92666.0,184.0,2
1,7,74592.0,31263.0,4,241011.0,4,13,101278.0,3,,24,8,4,5,122630.0,72919.0,173.0,2
1,13,,26392.0,12,193131.0,0,12,148275.0,6,69.0,22,2,12,7,89152.0,45363.0,176.0,2
1,25,55907.0,20793.0,25,168755.0,7,19,461093.0,6,73.0,15,18,24,14,66627.0,16610.0,178.0,2
1,15,62729.0,23558.0,15,181257.0,2,9,97437.0,1,75.0,18,13,15,3,101407.0,27121.0,192.0,2
1,18,61866.0,23334.0,20,185156.0,1,15,97634.0,10,65.0,13,1,20,14,100717.0,35077.0,170.0,2
1,1,,25671.0,9,179909.0,14,11,140235.0,10,,16,4,9,6,81023.0,25690.0,177.0,0
0,11,47965.0,17988.0,26,138125.0,0,27,70962.0,2,74.0,8,15,25,13,64279.0,8377.0,1.85,1
1,27,49495.0,23426.0,8,177246.0,8,6,87061.0,6,,21,16,8,2,88470.0,37748.0,181.0,2
1,19,56041.0,20719.0,23,174582.0,13,21,88889.0,9,65.0,4,21,22,14,72449.0,18655.0,177.0,3
1,2,52038.0,20697.0,0,156131.0,6,16,86630.0,5,68.0,11,9,0,14,68186.0,20584.0,180.0,2
1,3,,24316.0,1,181239.0,12,26,97280.0,8,67.0,20,11,1,9,104872.0,37281.0,186.0,0
