Sport_Type,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Current_Team,Cyclist_Name,Nationality,Birthplace,Uci_Rider_Id,Languages,Weight_Kg,Birth_Date,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm
0,1,69634.0,26526.0,8,5000.0,194619,5,8,5,6,149727,4,66.0,7,6,8,8,115790,45992,5,176.0
0,2,65688.0,24926.0,0,465450.0,198937,2,0,2,9,95844,5,60.0,6,7,2,0,100412,58275,0,175.0
1,0,49682.0,17893.0,7,39580.0,134456,7,7,7,3,553301,1,58.0,1,5,9,7,65130,6242,8,172.0
0,3,46909.0,16707.0,2,57772.0,134924,0,2,4,8,62712,2,65.0,0,1,0,2,56765,10303,9,183.0
0,9,,,3,,262660,3,3,3,4,736811,3,,9,7,6,3,171102,159196,7,167.0
0,4,61866.0,23334.0,5,160840.0,185156,0,5,2,7,97634,5,65.0,2,0,5,5,100717,35077,1,170.0
0,5,66386.0,25289.0,4,1326.0,176318,7,4,0,1,94975,3,,5,2,4,4,98891,37445,3,
0,6,83295.0,28377.0,6,84000.0,212377,6,6,1,0,587366,3,62.0,8,3,3,6,141854,84019,6,171.0
0,8,57346.0,21244.0,9,17154.0,153344,1,9,1,5,77502,3,72.0,3,4,1,9,59352,16786,2,190.0
0,7,60759.0,22794.0,1,37069.0,168760,4,1,6,2,86857,0,61.0,4,7,7,1,81087,1527,4,177.0
