Sport_Type,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Current_Team,Cyclist_Name,Nationality,Birthplace,Uci_Rider_Id,Languages,Weight_Kg,Birth_Date,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm
3,13,,,11,123772.0,,8,3,5,9,,4,,15,10,10,11,,,10,
3,20,,,3,120333.0,,8,7,5,9,,4,,15,10,10,11,,,9,
4,9,56664.0,20678.0,19,20194.0,132382.0,0,21,8,3,72234.0,1,73.0,11,6,4,12,66001.0,,13,1.81
3,5,16289.0,5.0,4,470645.0,140924.0,7,8,7,7,14575.0,4,61.0,1,0,15,0,7005.0,38.0,11,177.0
3,18,39842.0,12843.0,18,1311517.0,140292.0,3,20,0,13,67388.0,5,58.0,6,8,12,10,57418.0,2276.0,0,166.0
3,10,68529.0,24255.0,8,29548.0,181748.0,4,12,1,5,112351.0,2,53.0,13,9,5,3,105237.0,37378.0,7,173.0
3,19,8783.0,4443.0,20,77385.0,140517.0,11,22,4,10,44439.0,4,64.0,4,7,7,13,19060.0,730.0,1,178.0
3,8,,22906.0,6,,179072.0,1,10,1,1,91626.0,2,71.0,12,10,1,1,92937.0,22272.0,10,190.0
1,3,46381.0,18610.0,13,77168.0,137427.0,9,15,1,11,71557.0,2,62.0,8,5,0,5,63999.0,12474.0,4,173.0
3,4,,,2,,,8,0,5,9,,4,,15,10,10,11,,,8,
3,22,11585.0,1994.0,23,569371.0,140778.0,2,23,2,6,28378.0,3,65.0,2,2,9,14,13069.0,133.0,12,181.0
3,0,7764.0,1237.0,7,41367.0,140800.0,10,11,6,4,29164.0,1,70.0,3,3,6,2,10911.0,706.0,11,183.0
3,7,,,10,286635.0,,8,13,5,9,,4,,15,10,10,11,,,9,
2,21,26755.0,13635.0,12,,140629.0,5,14,1,12,23382.0,2,62.0,0,1,11,4,18419.0,1151.0,12,172.0
3,14,,,21,,,8,1,5,9,,4,,15,10,10,11,,,8,
3,6,,,9,,,8,2,5,9,,4,,15,10,10,11,,,9,
3,17,,26962.0,5,,194248.0,6,9,1,2,149163.0,2,80.0,14,10,2,11,116298.0,45620.0,3,190.0
3,15,,,22,268211.0,,8,4,5,9,,4,,15,10,10,11,,,10,
3,2,,,1,,,8,6,5,9,,4,,15,10,10,11,,,5,
0,12,43388.0,14319.0,17,67673.0,140293.0,2,19,7,8,68367.0,0,63.0,5,10,8,9,58588.0,2278.0,12,173.0
3,1,47885.0,18123.0,15,21399.0,139801.0,12,17,3,15,68832.0,4,71.0,7,4,14,7,58401.0,6309.0,12,179.0
1,11,60237.0,21439.0,14,16255.0,137850.0,13,16,1,0,88951.0,2,69.0,10,10,3,6,92418.0,22268.0,6,184.0
3,14,,,0,,,8,5,5,9,,4,,15,10,10,11,,,2,
1,16,41892.0,19165.0,16,16935.0,137797.0,11,18,4,14,66315.0,4,73.0,9,10,13,8,43238.0,11313.0,6,184.0
