Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
1,15535592,26,0,15533634
1,13088041,23,1,13087050
1,2887522,5,0,2884196
0,8100373,12,0,8099708
1,2385948,3,0,2384263
0,1224915,2,1,1223366
1,18569916,32,0,18567811
1,9660409,20,4,9659774
0,20691680,37,0,20687577
0,20084058,36,0,20081842
0,22917396,41,0,22916293
0,7442496,10,3,7441054
0,3388596,6,0,3386035
1,7460551,11,0,7459967
0,8892434,18,0,8890575
0,14601803,24,0,14599311
0,22919345,42,1,22917489
0,21160683,38,1,21158294
1,9243759,19,3,9241420
1,5683900,8,0,5682041
0,14876341,25,0,14873024
0,21202044,39,3,21201277
1,16883348,28,1,16882523
1,12513680,22,1,12512236
1,17428676,31,3,17427897
0,767777,0,2,765565
1,8719393,15,1,8718089
1,996955,1,0,994757
1,19407046,34,0,19403750
1,17427877,30,0,17426891
0,16636077,27,3,16633784
1,8721067,17,1,8720480
1,19880381,35,0,19879143
0,4764197,7,0,4763523
1,8720335,16,1,8719457
0,8230637,13,3,8228810
1,24181479,43,1,24178167
1,8493706,14,1,8492307
0,2743380,4,3,2741554
0,18876950,33,1,18876013
1,7156671,9,0,7153471
1,9862316,21,3,9860879
1,21851320,40,0,21850049
1,17031788,29,3,17030570
