Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,Nationality,Birthplace,RepresentingCountry,UciRiderId,Languages,WeightKg,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
1,3,87842.0,30666.0,27,,216727.0,14,11,8,765724.0,5,72.0,32,25,150321.0,95151.0,14,182.0,24
1,8,70678.0,27025.0,11,,194068.0,13,20,11,101820.0,1,,14,11,120394.0,45349.0,9,178.0,24
1,34,46998.0,16666.0,33,22458.0,140492.0,6,9,5,64680.0,4,71.0,7,31,48356.0,2338.0,4,176.0,21
1,32,51744.0,19238.0,9,38200.0,138396.0,8,1,7,72932.0,5,70.0,13,9,66031.0,7720.0,8,177.0,4
2,19,39287.0,13240.0,10,66281.0,140835.0,6,15,5,55029.0,4,67.0,33,10,21075.0,1310.0,16,178.0,17
1,12,43344.0,16653.0,2,63128.0,140818.0,4,2,3,64670.0,2,78.0,10,3,52068.0,2337.0,1,181.0,19
1,14,46049.0,19242.0,5,,139823.0,8,31,7,69149.0,5,80.0,23,6,43239.0,7730.0,5,183.0,23
1,16,,22005.0,8,,135527.0,2,5,8,93662.0,5,,8,8,78283.0,28169.0,14,184.0,24
1,26,56345.0,20861.0,26,2247.0,155558.0,5,3,4,86624.0,3,71.0,3,24,80972.0,16816.0,14,184.0,6
1,2,56070.0,20777.0,13,203494.0,179769.0,3,19,8,86568.0,9,71.0,23,13,79781.0,18575.0,7,180.0,24
1,10,,24316.0,0,,181239.0,10,34,9,97280.0,6,67.0,34,0,104872.0,37281.0,14,186.0,24
1,1,46381.0,18610.0,17,77168.0,137427.0,4,25,8,71557.0,2,62.0,0,17,63999.0,12474.0,6,173.0,0
2,24,13512.0,3347.0,21,15367.0,140776.0,0,7,8,896277.0,5,68.0,28,2,16686.0,624.0,16,175.0,16
1,22,58428.0,21992.0,19,23650.0,168776.0,7,30,2,86895.0,5,,24,19,77835.0,16793.0,14,179.0,8
1,28,,16784.0,24,,139562.0,8,32,8,60649.0,5,,23,23,38446.0,7985.0,16,,7
1,18,,26392.0,15,,193131.0,2,23,0,148275.0,5,69.0,25,15,89152.0,45363.0,11,176.0,24
1,30,83295.0,28377.0,29,84000.0,212377.0,2,0,0,587366.0,5,62.0,11,27,141854.0,84019.0,14,171.0,24
1,15,55719.0,22020.0,6,2473.0,164213.0,6,8,5,86617.0,4,,1,7,77514.0,26504.0,14,183.0,9
1,37,49495.0,23426.0,12,29588.0,177246.0,8,12,7,87061.0,5,,15,12,88470.0,37748.0,14,181.0,24
2,31,23171.0,7724.0,1,64000.0,140382.0,13,22,11,48815.0,1,75.0,9,1,26590.0,1009.0,3,182.0,13
