Feature_Type,Feature_Id,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,52,12688657,52,4,12687579,0
0,8,2176074,8,3,2173822,0
0,18,3263510,18,3,3262518,1
0,33,8175499,33,3,8174561,1
0,86,22366722,86,3,22365805,1
0,71,18034173,71,8,18033193,0
0,58,14022240,58,4,14021446,0
0,49,11464520,49,4,11462589,0
0,11,2409527,11,3,2408865,1
0,90,22780026,90,8,22779001,0
0,16,2956426,16,6,2955563,1
0,30,6650810,30,6,6649504,1
0,63,16426637,63,3,16424412,1
0,67,16563937,67,3,16562831,1
0,22,4287060,22,3,4285357,1
0,74,20342521,74,3,20341259,1
0,41,9613514,41,3,9612390,0
0,7,1047729,7,6,1047100,0
0,24,4795291,24,6,4794295,1
0,47,11372104,47,4,11370677,1
0,19,3332030,19,3,3330351,1
0,95,23802860,95,4,23802345,0
1,20,4118166,20,7,4116199,0
0,51,11996370,51,4,11994619,0
0,98,24301722,98,3,24299593,1
1,3,505867,3,1,504683,0
0,50,11898553,50,3,11896367,0
0,55,13398519,55,3,13396177,1
0,29,6392825,29,3,6390597,0
0,36,8798973,36,8,8796721,1
0,26,5271180,26,3,5270266,0
1,12,2564774,12,5,2562631,0
0,53,12831055,53,3,12829310,1
0,25,4868024,25,3,4867473,0
0,92,23447838,92,8,23447218,1
0,5,1016782,5,3,1014533,1
1,94,23802012,94,7,23801011,0
0,32,7967108,32,3,7965165,1
0,75,20485261,75,3,20483000,1
0,54,12836026,54,3,12834782,1
0,79,21211189,79,3,21210206,0
1,83,21783921,83,7,21781632,0
0,6,1021038,6,3,1018726,0
0,9,2207377,9,3,2205470,0
0,87,22435858,87,3,22433813,1
0,2,459187,2,4,458294,0
1,13,2569869,13,0,2567808,0
0,28,6168822,28,4,6167727,0
0,57,13837817,57,3,13836696,0
0,76,20509228,76,8,20508290,1
1,4,625564,4,5,623563,0
0,62,15552221,62,3,15549750,0
0,85,22028199,85,4,22026512,0
0,88,22708989,88,3,22707574,1
0,40,9268739,40,3,9267837,1
0,37,8804662,37,8,8802437,1
0,65,16508468,65,3,16506867,1
0,34,8184305,34,3,8183049,1
0,66,16554165,66,3,16551901,1
1,46,11181620,46,7,11179739,0
0,97,23973217,97,3,23972078,1
0,61,15485527,61,3,15483887,0
0,77,20802281,77,4,20801291,0
0,31,6934931,31,4,6934113,1
0,43,10143236,43,3,10141842,0
0,72,18081210,72,3,18078931,1
0,35,8793365,35,8,8792052,1
0,70,17714007,70,3,17711731,1
0,96,23838762,96,3,23836501,1
0,42,10089839,42,3,10088451,0
1,60,14402075,60,5,14401099,0
0,23,4681588,23,3,4679333,0
0,93,23794678,93,4,23793193,1
1,44,10376605,44,5,10374419,0
0,48,11448216,48,3,11446408,1
0,82,21705992,82,4,21705274,0
0,27,5580562,27,3,5579401,0
0,21,4172542,21,3,4171208,0
0,89,22756821,89,3,22754536,0
0,0,49903,0,3,48200,0
0,39,9015817,39,6,9013593,0
0,15,2921001,15,3,2918737,1
0,1,239835,1,4,239235,0
0,17,2995357,17,3,2993120,0
0,81,21479783,81,3,21478365,0
0,78,21130236,78,3,21127996,1
0,69,17420742,69,3,17418463,0
0,91,22835806,91,4,22834331,1
0,59,14023398,59,4,14022418,0
1,68,17296111,68,5,17294360,0
0,64,16505641,64,3,16503965,1
0,99,24595701,99,2,24593912,0
0,14,2719577,14,3,2718561,0
0,45,10637386,45,3,10636079,1
0,56,13567233,56,4,13566216,0
0,84,21997160,84,8,21996177,0
0,10,2408736,10,4,2407756,1
0,73,19120773,73,3,19118842,0
0,38,9006166,38,6,9005404,0
0,80,21301605,80,8,21300769,0
