CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,MemoireDuCyclismeCyclistId,TeamAffiliation,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId,SportsReferencecomOlympicAthleteIdArchived
2,4,10573,1849.0,3,,140695,3,2,15403.0,8,11,28865,5,63.0,3,,13,3,5845,856.0,6,177,2,0
2,10,3104,2357.0,13,,140190,13,12,2394.0,4,12,25085,5,65.0,1,111600.0,4,13,1447,81.0,6,181,3,4
2,14,49154,16941.0,1,300070.0,140071,1,9,55236.0,9,3,75873,1,54.0,6,133264.0,3,1,39969,3213.0,6,164,11,3
2,13,6263,45.0,10,247878.0,140855,10,1,12393.0,2,14,24166,7,70.0,0,103635.0,8,10,4177,174.0,0,179,8,6
2,9,83295,28377.0,11,84000.0,212377,11,1,,8,0,587366,8,62.0,14,141007.0,7,11,141854,84019.0,3,171,13,0
2,5,55639,20535.0,2,,160352,2,5,,10,2,89125,5,,12,,12,2,73388,14791.0,3,181,13,0
1,1,46381,18610.0,5,77168.0,137427,5,4,56596.0,8,8,71557,2,62.0,11,133837.0,0,5,63999,12474.0,1,173,0,1
2,6,1661,2440.0,4,,140780,4,12,1272.0,1,5,28331,5,74.0,2,125750.0,1,4,10109,790.0,6,178,6,2
2,3,47066,16881.0,7,41605.0,140633,8,11,47478.0,3,15,59614,4,,9,,2,8,32178,2530.0,6,175,10,0
2,8,88231,20406.0,8,,219536,6,10,,11,6,175824,5,,15,,9,6,137465,82552.0,4,180,13,0
0,2,6978,4377.0,0,7658.0,140865,0,7,1203.0,7,7,198213,0,76.0,4,111607.0,10,0,18964,31.0,2,181,4,7
0,12,47214,16722.0,14,34792.0,140674,14,9,46202.0,6,9,64531,5,71.0,10,132670.0,15,14,52973,6228.0,7,183,12,10
0,15,12832,7751.0,15,75813.0,140343,15,3,17044.0,5,13,862522,5,65.0,5,135250.0,14,15,25301,929.0,6,183,7,9
2,7,27794,12923.0,6,156620.0,140821,7,8,28843.0,8,4,58528,3,65.0,8,120895.0,11,7,36053,2961.0,5,176,9,8
2,11,57500,21405.0,9,,170313,9,6,,0,10,86710,6,65.0,13,,6,9,82089,17252.0,6,180,1,0
3,0,28095,12823.0,12,,137337,12,0,45429.0,2,1,58891,9,71.0,7,123794.0,5,12,34412,2322.0,6,182,5,5
