EncodedProtein,OrthologId,GenomicEndPosition,GeneId,GeneDbId,ChromosomeId,GenomicStartPosition
1,8,4507129,158,158,0,4506258
1,11,58482,184,184,3,57650
1,8,4045564,146,146,0,4044548
1,8,809644,6,6,0,808668
2,2,1540684,198,198,5,1539719
1,8,3925106,133,133,0,3924162
2,3,3479864,114,114,0,3478912
1,8,2352377,59,59,0,2351473
1,8,2811870,80,80,0,2810993
1,8,3879177,130,130,0,3878232
1,8,2379851,66,66,0,2378994
1,8,1052365,20,20,0,1051429
1,13,1539502,220,220,8,1538500
1,7,2480301,68,68,0,2479394
2,3,3942505,136,136,0,3941590
1,8,2375390,65,65,0,2374390
1,8,1003686,16,16,0,1002743
1,8,826044,9,9,0,825257
1,8,3009797,97,97,0,3009183
1,8,2360029,61,61,0,2359047
1,8,3134531,100,100,0,3133584
1,8,1330950,36,36,0,1330142
1,8,1007599,17,17,0,1006603
1,8,2844528,88,88,0,2843538
1,8,3598785,118,118,0,3598376
2,3,702779,0,0,0,701800
1,8,2355855,60,60,0,2354884
1,1,883344,178,178,2,882190
1,8,3983006,143,143,0,3982127
1,8,3076129,98,98,0,3075227
1,8,3174298,101,101,0,3173391
1,10,59994,192,192,4,59019
1,8,2831118,84,84,0,2830191
1,8,1048548,19,19,0,1047554
1,8,4054409,148,148,0,4053370
1,8,2604167,75,75,0,2603329
1,2,1639490,207,207,5,1638522
1,5,949235,169,169,1,948584
1,8,4281472,153,153,0,4280290
1,8,2980375,96,96,0,2979374
1,8,4270736,152,152,0,4269712
1,5,1012849,171,171,1,1012217
1,8,2232853,52,52,0,2231880
1,8,4089689,150,150,0,4088784
1,0,3111097,227,227,10,3110193
1,3,1726768,212,212,6,1725811
1,8,1369830,37,37,0,1368947
1,8,4574073,160,160,0,4573255
1,11,128626,187,187,3,127746
1,8,2241711,53,53,0,2240825
1,8,4562145,159,159,0,4561270
1,8,3946818,137,137,0,3946348
1,8,2883682,91,91,0,2882695
1,10,1520249,195,195,4,1519281
1,8,3938451,135,135,0,3937813
1,8,1234293,31,31,0,1233356
2,3,1205691,27,27,0,1204738
1,8,2501037,69,69,0,2500057
1,11,121633,185,185,3,120728
1,8,3605579,120,120,0,3604775
1,3,1713820,209,209,6,1712806
