Languages,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,Nationality,TwitterHandle,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,LastName,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm
5,2,80654.0,,0,2,202483,0,7,4,1,9,157221.0,0,60.0,10,1,0,2,121401,65240,3,176.0
3,0,46381.0,18610.0,3,1,137427,3,4,2,5,7,71557.0,1,62.0,5,0,3,6,63999,12474,0,173.0
4,4,61536.0,23427.0,4,5,177662,4,6,3,7,11,97741.0,2,65.0,8,6,4,5,95079,27289,2,181.0
2,5,38259.0,13066.0,5,0,140384,5,0,0,6,1,62919.0,3,72.0,3,5,5,6,39964,2211,5,178.0
3,11,41885.0,13080.0,11,8,140628,11,5,2,3,5,64737.0,7,65.0,2,7,11,6,58535,860,4,180.0
2,1,,30630.0,1,3,216126,1,1,8,0,8,238270.0,3,,11,9,1,3,130903,94645,3,169.0
7,6,56041.0,20719.0,8,7,174582,8,9,6,8,10,88889.0,5,65.0,0,8,8,6,72449,18655,1,177.0
2,10,56672.0,22018.0,10,0,168758,10,2,8,9,4,86735.0,6,,7,3,10,6,74063,16639,6,183.0
6,7,,21974.0,9,0,162704,9,8,5,1,0,86919.0,3,,6,6,9,0,71627,16680,3,
1,3,69190.0,25740.0,2,4,196424,2,3,1,4,3,112082.0,3,,9,10,2,1,115868,38195,3,175.0
0,9,49272.0,17881.0,7,6,140294,7,10,7,2,2,76092.0,4,56.0,1,2,7,6,38092,4863,6,169.0
4,8,,18633.0,6,0,133660,6,6,3,1,6,66758.0,3,,4,4,6,4,62182,9347,3,
