Languages,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,Nationality,TwitterHandle,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,LastName,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm
2,4,,,2,0,178457,2,7,2,1,0,93915,2,61.0,6,1,2,2,88976,27265.0,6,180
5,6,61866.0,23334.0,5,4,185156,5,3,0,2,4,97634,2,65.0,2,5,5,5,100717,35077.0,2,170
0,8,56672.0,22018.0,9,0,168758,9,1,5,8,2,86735,4,,5,3,9,5,74063,16639.0,7,183
1,1,46381.0,18610.0,4,1,137427,4,5,1,4,7,71557,1,62.0,0,0,4,5,63999,12474.0,0,173
3,3,,24316.0,0,0,181239,0,8,3,5,9,97280,5,67.0,7,9,0,4,104872,37281.0,6,186
1,9,54848.0,20156.0,7,6,132359,7,6,1,7,6,86812,2,64.0,1,4,7,5,67163,15752.0,4,180
5,5,62573.0,23503.0,1,2,181270,1,2,0,6,8,92264,2,63.0,8,6,1,0,91205,27124.0,1,174
4,2,69634.0,26526.0,8,7,194619,8,9,4,3,3,149727,3,66.0,9,8,8,3,115790,45992.0,5,176
0,0,56942.0,21014.0,3,3,171846,3,0,5,1,5,518585,0,63.0,4,2,3,5,84392,18059.0,3,193
1,7,62142.0,22703.0,6,5,164943,6,4,1,0,1,88833,2,72.0,3,7,6,1,77956,20448.0,7,177
