Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Twitter_Username,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,First_Name,Race_Participation,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Sport_Country
0,0,57256.0,23463,11,17,,189196,6,17,89712.0,72.0,13,9,5,72654.0,34624,180.0,2
0,14,,5242,0,15,,138108,6,2,,,3,16,8,18977.0,8492,,7
1,11,2747.0,3448,0,10,1352523.0,140768,5,7,32923.0,70.0,1,12,11,16824.0,14,175.0,7
0,20,54395.0,20730,15,21,252749.0,168961,9,13,75859.0,70.0,12,21,7,74709.0,18258,187.0,0
0,13,,22472,0,12,,168796,6,18,86976.0,,16,14,10,70650.0,16943,176.0,7
0,0,57256.0,23463,11,17,,189196,6,17,89712.0,72.0,13,9,5,72654.0,34624,180.0,2
0,12,56938.0,20257,0,11,17205.0,167585,15,8,86480.0,64.0,5,13,7,81851.0,16569,175.0,1
0,17,49272.0,17881,9,14,13864.0,140294,7,11,76092.0,56.0,6,15,11,38092.0,4863,169.0,9
0,1,46381.0,18610,1,8,77168.0,137427,10,19,71557.0,62.0,9,10,2,63999.0,12474,173.0,7
1,3,,7450,0,7,,140113,6,16,30346.0,,2,8,6,17333.0,5389,,7
0,10,58428.0,21992,8,9,23650.0,168776,4,21,86895.0,,17,11,10,77835.0,16793,179.0,3
0,4,62255.0,24189,3,2,5751.0,187231,2,5,79522.0,64.0,15,2,7,82930.0,34011,176.0,7
0,5,52673.0,19070,0,3,13561.0,137769,1,4,79921.0,,8,3,11,71836.0,7639,178.0,7
0,8,19558.0,3828,6,6,65423.0,140870,14,10,34012.0,69.0,0,7,0,21215.0,264,182.0,3
0,9,65118.0,23940,2,0,,182127,11,9,422863.0,,14,0,11,84375.0,27307,178.0,9
0,2,69634.0,26526,13,19,5000.0,194619,8,15,149727.0,66.0,21,19,9,115790.0,45992,176.0,8
0,15,83295.0,28377,10,16,84000.0,212377,3,0,587366.0,62.0,22,17,10,141854.0,84019,171.0,0
0,7,50317.0,18455,7,1,2094.0,138294,0,3,68778.0,70.0,10,1,4,61900.0,6230,175.0,5
0,18,61537.0,24873,14,20,,185567,6,22,111336.0,,20,20,10,104450.0,37297,184.0,7
0,16,46998.0,16666,12,18,22458.0,140492,16,6,64680.0,71.0,7,18,1,48356.0,2338,176.0,4
0,6,62573.0,23503,4,4,54522.0,181270,12,20,92264.0,63.0,18,4,3,91205.0,27124,174.0,2
0,21,,24123,0,22,,185275,6,14,97648.0,,11,22,6,97121.0,22206,,7
0,13,,10234,0,13,,138160,6,1,60602.0,,4,6,10,,8956,,7
0,19,49495.0,23426,5,5,29588.0,177246,13,12,87061.0,,19,5,10,88470.0,37748,181.0,6
