profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,cyclist_name,birth_place,uci_rider_id,weight_kg,birth_date,olympedia_people_id,last_name,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,cycling_discipline
0,11,61537.0,24873.0,12,,185567,12,14,111336,,6,145692.0,2,11,104450,37297,184,0
0,7,,28521.0,7,704.0,206257,7,2,154218,,11,,12,7,118544,70377,174,1
0,10,49272.0,17881.0,9,13864.0,140294,8,6,76092,56.0,1,,0,8,38092,4863,169,1
0,13,83297.0,30649.0,0,,217290,0,5,308040,62.0,13,,11,0,150789,96981,182,1
0,3,89232.0,,4,,209985,4,11,301151,,12,144168.0,6,4,154036,80489,194,1
0,9,92920.0,31654.0,5,20671.0,240140,5,1,415141,,14,,7,5,140379,114659,183,1
0,12,12832.0,7751.0,14,75813.0,140343,14,12,862522,65.0,0,135250.0,9,12,25301,929,183,0
0,4,62259.0,24110.0,1,1447.0,181212,1,0,250807,,3,,8,1,94988,27301,184,1
0,14,,,13,,222121,13,4,798903,,10,145693.0,4,11,142691,87900,176,1
1,0,49682.0,17893.0,10,39580.0,134456,10,3,553301,58.0,2,143135.0,13,9,65130,6242,172,2
0,6,70041.0,27132.0,6,,198315,6,9,153513,,7,,5,6,138346,54660,170,1
0,5,66256.0,25157.0,3,22666.0,189438,3,10,96372,65.0,5,2103277.0,7,3,97448,41249,174,1
0,1,69634.0,26526.0,11,5000.0,194619,11,8,149727,66.0,9,146565.0,10,10,115790,45992,176,1
0,8,84444.0,,8,,209865,9,7,266691,,8,,1,9,140707,51252,182,1
0,2,61538.0,24057.0,2,,177672,2,13,91640,82.0,4,136635.0,3,2,79184,27099,193,2
