Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1097,12,12,7,0,55,1,0
0,30308,51,51,6,0,10,27168,1
1,56857,121,121,2,1,19,54575,1
0,763,9,9,1,0,25,5,0
0,703218,18,18,8,0,26,701626,0
1,5286,79,79,2,1,29,4336,1
1,93861,98,98,2,1,50,92599,1
0,716461,47,47,6,0,51,713525,0
0,581462,111,111,5,0,24,578019,0
0,212280,147,147,8,0,31,211864,0
1,38881,132,132,2,1,59,36347,0
0,297517,78,78,6,0,87,294389,0
1,81368,20,20,2,1,83,80808,1
0,720,140,140,8,0,27,1,1
1,742903,101,101,2,1,76,741965,0
1,28960,1,1,2,1,86,27503,1
0,429068,82,82,6,0,85,425925,0
1,118859,96,96,2,1,35,115842,1
0,9728,40,40,6,0,40,6585,0
0,12029,45,45,8,0,88,11478,0
0,315827,125,125,6,0,79,312663,0
1,4234,75,75,2,1,45,3116,1
1,99546,109,109,2,1,27,97369,0
1,32123,57,57,2,1,51,29739,1
1,929052,123,123,2,1,86,925927,0
0,4123,88,88,5,0,1,1628,1
0,116617,54,54,6,0,44,113450,0
1,8113,63,63,2,1,90,5945,0
0,4229,137,137,6,0,52,1371,1
0,33235,6,6,8,0,78,30782,1
0,1206,15,15,8,0,87,1,0
1,767496,94,94,2,1,10,766105,0
1,53098,126,126,2,1,24,49949,1
1,99066,112,112,2,1,82,97825,1
0,318588,152,152,6,0,43,315535,0
0,1289,10,10,8,0,91,3,0
0,546,142,142,8,0,63,1,1
1,383983,4,4,2,1,60,383429,1
1,213521,148,148,2,1,51,212382,0
1,57661,42,42,2,1,57,55166,1
1,74545,150,150,2,1,68,72053,1
1,8781,26,26,2,1,49,5653,0
0,599,0,0,7,0,32,3,0
0,81855,145,145,6,0,14,78709,1
1,341238,27,27,2,1,73,338959,1
0,227216,76,76,8,0,69,225387,0
1,5181,104,104,2,1,88,4192,0
1,99079,52,52,2,1,3,97820,1
0,35758,5,5,7,0,78,35156,1
1,46653,85,85,2,1,17,44743,1
0,521345,23,23,6,0,56,518232,0
0,54155,56,56,6,0,38,50976,1
0,48145,2,2,4,0,21,47690,1
0,1771,19,19,8,0,17,5,0
0,9252,127,127,8,0,80,7177,0
0,1005,17,17,8,0,64,1,1
1,573456,46,46,2,1,31,572590,0
0,632799,49,49,6,0,69,629461,0
1,1017672,48,48,2,1,11,1015075,0
0,1291,13,13,8,0,92,11,1
0,55385,129,129,6,0,54,52233,1
1,6751,105,105,2,1,90,5450,0
1,3425,118,118,2,1,67,855,1
0,765509,36,36,6,0,75,762384,0
0,750258,8,8,7,0,70,748432,0
0,153763,102,102,5,0,53,151067,1
0,307836,151,151,8,0,43,304756,0
0,13944,61,61,5,0,0,11467,1
0,43791,69,69,6,0,78,40663,1
1,100486,53,53,2,1,46,98009,0
0,1126783,131,131,5,0,13,1124243,1
0,4790,124,124,6,0,20,1644,1
0,304,128,128,7,0,81,2,0
0,30678,114,114,7,0,42,29548,1
0,642289,107,107,6,0,49,639173,0
0,40231,110,110,7,0,15,38468,1
0,704,14,14,3,0,16,18,1
1,694715,134,134,2,1,34,691713,0
0,33620,84,84,6,0,68,30504,1
1,5807,130,130,2,1,34,3882,1
1,762911,103,103,2,1,34,760413,0
0,100844,32,32,7,0,71,99663,0
1,506465,70,70,2,1,41,504186,1
0,559272,80,80,6,0,54,556483,0
0,4270,35,35,5,0,84,1799,1
1,824374,62,62,2,1,34,822413,0
1,672501,86,86,2,1,86,670264,0
0,484,139,139,8,0,60,2,1
1,7065,67,67,2,1,74,6076,1
0,506906,99,99,0,0,87,503742,0
1,96937,120,120,2,1,62,96035,1
1,1651,93,93,2,1,14,830,1
0,302755,59,59,8,0,43,301802,0
0,1330,11,11,8,0,65,2,0
1,492209,22,22,2,1,82,489726,0
0,704396,16,16,8,0,46,703461,0
1,7840,66,66,2,1,8,6842,1
0,24175,37,37,6,0,18,21059,1
1,1482,106,106,2,1,44,1,0
1,3560,30,30,2,1,5,861,0
0,40333,119,119,6,0,23,37199,1
0,6322,44,44,6,0,18,3197,1
1,673825,81,81,2,1,73,670661,0
1,201983,146,146,2,1,51,197949,0
1,232598,154,154,2,1,31,230508,0
0,52289,83,83,6,0,9,48939,1
1,789292,95,95,2,1,10,788021,0
1,714709,100,100,2,1,73,711560,0
1,1815,92,92,2,1,52,1,0
0,11460,143,143,7,0,71,9091,1
0,772874,149,149,6,0,81,769737,0
1,341160,155,155,2,1,86,338881,1
0,135805,156,156,6,0,28,132644,0
0,326955,31,31,6,0,10,323962,0
1,2735,77,77,2,1,60,246,1
1,4884,50,50,2,1,72,1753,1
0,562767,58,58,6,0,57,559651,0
1,676357,28,28,2,1,93,675068,0
0,11360,90,90,6,0,44,8184,1
0,1011,7,7,8,0,38,1,0
0,7732,64,64,6,0,37,4595,0
0,696,115,115,7,0,80,1,0
1,552643,117,117,2,1,28,550361,1
0,225838,91,91,6,0,33,222980,0
0,5115,55,55,5,0,37,2545,1
0,296392,24,24,6,0,51,293633,0
1,36371,141,141,2,1,58,34218,1
0,220362,116,116,5,0,10,217744,0
1,532553,153,153,2,1,6,531252,0
0,34862,87,87,1,0,7,34431,1
1,638513,71,71,2,1,42,636579,0
1,685611,68,68,2,1,30,683131,0
1,40751,41,41,2,1,66,38379,1
0,5438,138,138,7,0,71,3198,1
0,8449,122,122,6,0,75,5315,1
0,37772,135,135,6,0,61,34755,1
1,11809,38,38,2,1,77,9641,0
1,8362,133,133,2,1,89,5834,0
0,96112,113,113,6,0,13,92984,1
1,6579,65,65,2,1,8,5257,1
1,16287,34,34,2,1,12,13156,1
1,371763,3,3,9,1,39,371065,1
0,3141,89,89,7,0,32,982,1
1,5564,39,39,2,1,35,2433,1
0,567659,25,25,1,0,18,567123,0
0,634208,29,29,8,0,2,633441,0
1,673601,73,73,2,1,80,670680,0
1,741862,157,157,2,1,74,740972,0
1,11203,43,43,2,1,57,8075,1
1,12199,144,144,2,1,36,10430,0
1,631461,72,72,2,1,42,630235,0
0,2165,136,136,7,0,22,1,1
0,68231,97,97,6,0,74,65097,1
0,46094,74,74,5,0,61,43491,1
1,301337,21,21,2,1,4,298548,1
1,796646,60,60,2,1,10,794730,0
0,11508,108,108,5,0,47,8902,1
0,1015710,33,33,6,0,48,1014604,0
