Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
0,320234,148,148,23,319014
1,81801,40,40,11,80905
1,15410,226,226,2,14340
0,2162466,66,66,11,2161639
0,779639,96,96,2,778437
1,1098996,239,239,3,1097833
1,432941,204,204,0,432381
0,1077230,227,227,11,1076451
1,33929,170,170,20,32910
0,1422032,55,55,15,1421220
1,652441,52,52,2,651695
0,402463,87,87,21,401243
0,18040,109,109,23,16886
1,394684,22,22,1,394031
0,1153229,240,240,22,1151997
1,750678,157,157,24,750031
1,9906,4,4,22,8728
1,12258,156,156,23,11053
1,2202990,65,65,24,2202343
0,1011398,160,160,1,1010715
0,375897,23,23,26,375253
1,992655,211,211,11,991897
1,4632,138,138,22,3406
1,563168,91,91,2,561921
1,493669,122,122,34,492404
1,749602,56,56,16,748862
0,1832,61,61,22,591
0,217780,244,244,12,216641
1,1088191,238,238,16,1087412
0,822069,208,208,18,821287
0,10709,218,218,2,9531
0,23056,194,194,18,22262
0,691455,93,93,11,690643
0,497406,34,34,2,496306
1,365512,36,36,23,364310
0,9985,152,152,0,9303
0,4174,29,29,2,2966
0,1070767,197,197,11,1069991
1,599280,205,205,11,598465
1,26139,27,27,11,25351
1,182780,42,42,2,181743
0,196658,242,242,14,195561
0,387281,11,11,23,386064
0,1897997,129,129,11,1897239
1,1860,164,164,0,1114
0,581117,206,206,15,580287
0,400728,177,177,0,399566
0,617253,207,207,11,616495
0,745129,163,163,2,744176
0,1428734,54,54,26,1428093
1,1968229,127,127,11,1967444
0,13702,26,26,2,12743
0,1193619,232,232,1,1192936
0,210588,243,243,20,209491
0,17599,79,79,2,16553
0,1057942,134,134,22,1056725
1,663709,106,106,11,662936
0,1471918,184,184,5,1470884
1,884301,142,142,2,883339
0,18090,98,98,30,17131
1,1783506,131,131,11,1782673
0,1194158,233,233,0,1193721
1,5205,99,99,2,4201
0,177073,107,107,2,175745
0,153559,235,235,30,152606
0,4472,216,216,23,3321
1,979496,117,117,30,978543
1,1905082,69,69,11,1904309
1,27009,45,45,2,25858
0,38006,198,198,11,37197
0,1221966,179,179,14,1220947
1,226729,43,43,0,226322
0,76658,39,39,0,76494
1,987733,115,115,0,987176
1,937169,159,159,2,936387
1,416187,123,123,23,415021
1,983808,116,116,30,982858
1,497744,121,121,34,496932
1,3831,171,171,2,3070
0,3587,165,165,2,2544
1,10011,38,38,11,9199
0,1474427,53,53,27,1473666
0,36547,223,223,9,35690
1,531335,175,175,0,530982
1,477748,120,120,2,476525
1,1925877,68,68,2,1925107
1,1564778,74,74,16,1564014
0,1106541,228,228,22,1105297
1,15525,111,111,8,14710
1,2102,113,113,2,1101
1,178084,112,112,21,176870
1,712890,94,94,18,712129
1,77581,8,8,20,76523
0,855470,141,141,7,854496
1,1677,77,77,28,712
0,301271,149,149,18,300510
0,11639,199,199,2,10170
1,2202884,186,186,24,2202237
1,1487286,182,182,14,1486264
1,2879,136,136,11,2091
0,12102,220,220,0,11231
1,551759,89,89,2,550737
1,12897,5,5,0,11857
0,878597,144,144,11,877761
0,2640,173,173,2,1327
1,2089274,126,126,24,2088630
0,384191,37,37,14,383100
1,323886,162,162,25,323095
0,571633,48,48,11,570836
0,684782,58,58,30,683826
0,914563,158,158,26,913814
0,31139,62,62,22,29922
0,1247221,181,181,2,1246121
1,1222996,108,108,16,1222181
0,290434,82,82,2,289571
0,1049347,135,135,15,1048619
1,36628,46,46,23,35402
1,1131697,172,172,2,1130438
0,31870,222,222,11,31118
1,295086,102,102,2,293887
1,946792,6,6,22,945539
0,2901,221,221,2,1762
0,1639752,125,125,19,1638709
0,644758,119,119,25,643769
1,17814,236,236,28,16873
1,826530,13,13,18,825718
0,335,10,10,0,3
1,7239,185,185,2,5971
0,41030,154,154,2,39978
0,19059,169,169,11,18244
0,1188618,195,195,31,1187623
0,1745136,193,193,16,1744339
1,2521,110,110,2,1283
0,250812,147,147,22,249592
0,731234,57,57,11,730422
1,1075329,3,3,1,1075195
0,137805,161,161,2,136807
1,461022,202,202,29,460051
0,1604402,190,190,17,1603254
1,11189,50,50,23,10047
1,13960,14,14,2,13361
0,39296,63,63,22,38151
1,375903,35,35,20,374896
0,12268,237,237,22,10958
1,2097143,192,192,11,2096334
0,13009,155,155,23,11804
0,550504,49,49,11,549704
1,11743,224,224,11,10985
0,556235,174,174,2,555144
0,1165493,230,230,11,1164663
0,381597,15,15,2,380962
1,9178,76,76,11,8375
1,2165485,187,187,24,2164835
0,41345,80,80,33,40839
0,29968,167,167,2,28721
0,358168,104,104,24,357524
0,492438,203,203,22,491209
0,37518,31,31,11,36670
0,1588977,124,124,31,1588012
1,1147481,178,178,7,1146423
0,15379,219,219,11,14528
0,77977,41,41,11,77144
0,658646,92,92,11,657867
1,3650,151,151,6,2478
1,537352,90,90,22,536177
1,35179,44,44,2,34406
1,614,51,51,0,222
1,1921338,128,128,2,1920505
1,287088,101,101,2,285889
0,1173402,231,231,18,1172566
1,37248,168,168,23,35989
1,55904,32,32,2,55386
0,1887968,130,130,2,1886823
0,432927,247,247,14,431740
1,13082,114,114,0,12327
0,386514,176,176,22,385279
0,832741,210,210,22,831566
0,28969,25,25,1,28568
0,738,2,2,0,1
0,5008,9,9,11,4142
1,227094,19,19,1,226831
0,14090,64,64,22,12945
1,1026,225,225,0,841
0,1863,105,105,18,1015
1,2029082,20,20,22,2027874
0,445921,18,18,2,445157
0,247162,12,12,11,246347
1,1022329,213,213,18,1021526
0,23025,137,137,0,22318
1,1675,215,215,11,854
0,26635,166,166,34,25832
1,2151652,67,67,9,2150759
0,2155792,188,188,24,2155145
0,392050,88,88,0,391007
1,19523,47,47,23,18321
0,1687805,71,71,4,1687044
0,10624,97,97,32,9845
0,266241,145,145,11,265438
0,305564,86,86,8,304740
0,486743,59,59,14,485586
0,277578,84,84,11,276769
1,827468,209,209,2,826311
0,1047,1,1,25,259
1,265814,201,201,25,265029
0,18784,100,100,18,18002
1,997273,212,212,11,996476
0,297062,81,81,22,295851
1,13592,103,103,2,12324
1,30765,28,28,11,29968
0,422034,17,17,14,420934
1,941707,7,7,11,940901
0,12388,139,139,0,11468
1,269718,150,150,2,269074
1,65754,234,234,28,64810
1,1522877,183,183,25,1521903
1,17173,217,217,23,16040
0,13948,30,30,10,13148
0,313431,85,85,11,312547
0,285745,83,83,11,284939
1,975187,118,118,30,974237
0,1679298,73,73,25,1678525
0,6002,241,241,2,5043
1,1592913,75,75,34,1591840
0,663114,16,16,2,662260
1,407549,140,140,11,406749
0,251858,21,21,0,251211
1,4723,24,24,2,4340
1,23810,60,60,22,22572
0,231201,246,246,27,230431
0,2142542,189,189,25,2141583
0,13418,153,153,16,12669
0,1694274,70,70,24,1693627
0,25842,200,200,2,24370
0,9998,78,78,2,9753
0,1577124,191,191,12,1576114
0,1229889,180,180,20,1228786
0,1778534,132,132,13,1777443
1,1152958,196,196,2,1151783
0,907521,143,143,22,906301
0,23852,33,33,34,23046
0,1148502,229,229,11,1147669
1,655,0,0,2,2
0,223492,245,245,34,222386
0,1631767,72,72,24,1631120
1,667923,95,95,2,666610
0,272963,214,214,16,272211
0,11872,133,133,2,11348
0,247509,146,146,11,246700
