Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
1,419867,29,29,0,419010
1,1404526,44,44,0,1403861
0,25097,62,62,0,24648
0,1771495,45,45,0,1771046
1,334491,38,38,0,333733
1,2108845,49,49,0,2108303
0,106626,2,2,0,106183
0,1500372,21,21,0,1500022
1,1589372,24,24,0,1589025
0,187539,4,4,0,186739
0,249755,32,32,0,248955
0,18478,14,14,0,17702
0,455384,89,89,0,454782
1,582312,0,0,0,581629
1,2189977,81,81,0,2189303
0,249191,31,31,0,247920
0,192020,69,69,0,191304
1,360949,37,37,0,360191
1,5270,61,61,0,4815
1,1188592,75,75,0,1187834
1,541726,16,16,0,540743
1,260224,52,52,0,259535
1,1795788,48,48,0,1795339
0,1266329,79,79,0,1265664
0,229245,104,104,0,228751
0,439937,92,92,0,439305
0,47774,64,64,0,46746
0,215252,107,107,0,214692
0,2006097,83,83,0,2005645
0,241884,26,26,0,241294
1,374729,77,77,1,373830
0,187858,12,12,1,187097
1,1335494,34,34,0,1334871
0,407069,58,58,0,406629
0,190450,99,99,0,190100
1,1379076,73,73,0,1378327
0,19040,55,55,0,18594
1,1249825,36,36,0,1249373
0,873951,10,10,0,873346
1,491545,94,94,0,490745
1,447197,93,93,0,446745
0,1327169,35,35,0,1326369
0,311877,51,51,1,310678
1,508560,17,17,2,507559
1,1480543,80,80,0,1479323
1,1915099,47,47,0,1914353
1,2054734,8,8,0,2054069
0,24241,28,28,0,23690
1,369901,13,13,0,369557
1,533902,105,105,0,533237
0,1292754,33,33,0,1292116
1,17745,71,71,0,16912
0,509814,68,68,3,509014
0,58473,1,1,0,57784
0,1027295,100,100,0,1026840
1,2144974,23,23,1,2144312
0,258510,78,78,0,258202
1,976756,41,41,0,976091
0,3241,97,97,0,2789
1,2046738,9,9,0,2046013
0,469905,60,60,0,469240
0,293595,57,57,0,292942
0,21345,88,88,0,20596
1,533360,15,15,0,532377
1,1125325,76,76,0,1124525
1,1146722,87,87,0,1145835
1,30522,86,86,0,29761
1,1962152,46,46,0,1961658
1,2014286,50,50,0,2013333
1,985522,39,39,0,984710
1,535778,102,102,2,534804
0,574747,30,30,0,573722
1,981065,40,40,0,980400
1,548988,18,18,0,548008
1,972438,42,42,0,971773
1,1474,7,7,0,1025
1,522763,56,56,0,521789
1,1694721,6,6,1,1693825
0,434224,91,91,0,433772
0,25672,63,63,0,25139
0,835812,96,96,4,835600
0,1117094,98,98,0,1116687
1,404244,66,66,0,403621
1,614408,95,95,0,613791
1,213832,25,25,0,212933
0,1966887,84,84,0,1966264
1,3147,53,53,0,2389
0,121362,106,106,0,120919
0,386361,59,59,0,385708
1,166893,3,3,0,166510
1,16682,72,72,0,16377
0,203789,70,70,0,203085
0,1533448,19,19,0,1532690
1,1351182,74,74,0,1350433
1,6198,5,5,0,5503
1,430215,103,103,0,429457
1,26420,54,54,0,25257
1,1129040,101,101,0,1128585
1,390327,11,11,0,389875
1,2167272,82,82,0,2166841
0,4118,27,27,0,3549
0,45033,90,90,0,44497
1,576203,43,43,0,575301
1,930230,65,65,0,929781
0,1962116,85,85,0,1960989
1,561672,67,67,0,560914
1,989439,22,22,0,989029
1,1512529,20,20,0,1511897
