cycling_discipline,profile_image,birth_date,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,last_name,first_name,first_cycling_rider_id,height_cm,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,current_team,cyclist_name,birth_place,uci_rider_id,cycling_archives_cyclist_id
5,18,15,58495.0,22516.0,9,4,16783,181.0,3,11,168779,9,4,20,86813,78350
0,12,14,,23435.0,5,17,27076,,17,11,178858,11,17,14,97760,95088
0,19,9,,20575.0,1,16,25749,,15,11,141020,3,16,9,96978,67845
1,9,2,20120.0,2627.0,4,11,1982,182.0,10,9,140675,6,11,15,29860,12968
4,16,5,56041.0,20719.0,14,18,18655,177.0,18,1,174582,15,18,19,88889,72449
3,3,18,65955.0,26396.0,11,21,41293,186.0,21,0,189441,8,21,2,92304,110201
3,14,16,,26480.0,18,3,34339,,16,11,170934,1,3,16,81132,88471
1,13,13,48143.0,21971.0,19,14,16672,184.0,13,5,168754,2,14,8,79462,64280
2,20,6,,21472.0,15,20,25578,,20,11,179617,13,20,7,88267,89330
0,15,8,,16001.0,8,1,8207,181.0,1,11,135297,10,1,17,66688,59854
3,4,4,19630.0,10023.0,16,6,794,175.0,5,8,140233,17,6,6,54679,22431
3,5,3,40668.0,10220.0,12,2,3147,174.0,2,6,140476,0,2,3,71284,45724
3,17,12,,21974.0,11,19,16680,,19,11,162704,12,19,5,86919,71627
5,1,1,27036.0,7476.0,6,5,330,190.0,4,10,140033,7,5,4,30973,22545
2,20,6,,21472.0,15,20,25578,,20,11,179617,13,20,7,88267,89330
3,5,3,40668.0,10220.0,12,2,3147,174.0,2,6,140476,0,2,3,71284,45724
3,10,19,66256.0,25157.0,11,12,41249,174.0,11,7,189438,9,12,18,96372,97448
3,6,0,16313.0,3333.0,17,9,150,181.0,8,2,140752,6,9,10,44513,18746
3,21,17,73646.0,27126.0,10,15,37719,179.0,14,4,179562,18,15,11,91890,109608
4,16,5,56041.0,20719.0,14,18,18655,177.0,18,1,174582,15,18,19,88889,72449
1,2,10,54806.0,13803.0,7,7,14778,173.0,6,11,136241,14,7,21,68751,51395
3,0,21,,26965.0,2,0,71333,176.0,0,11,206730,19,0,0,162997,128820
3,8,20,,26392.0,13,10,45363,176.0,9,11,193131,4,10,12,148275,89152
0,7,7,,16654.0,3,8,7079,,7,11,139297,5,8,13,66338,56606
1,11,11,60237.0,21439.0,0,13,22268,184.0,12,3,137850,16,13,1,88951,92418
3,10,19,66256.0,25157.0,11,12,41249,174.0,11,7,189438,9,12,18,96372,97448
1,11,11,60237.0,21439.0,0,13,22268,184.0,12,3,137850,16,13,1,88951,92418
