StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GenomicStartPosition
1,0,1037760,369,1037092
0,0,18293,404,17649
0,0,7200,135,6637
0,0,55025,359,54438
0,0,1464254,87,1463646
1,0,487260,203,486679
0,0,2016292,330,2015537
0,0,9057,388,8128
0,0,4555,132,3962
0,0,683253,97,682675
1,0,807166,153,806492
0,0,112468,401,111971
0,0,4870,341,4217
0,0,2682,266,1954
1,0,163066,8,162521
0,0,1955674,333,1955171
1,0,756041,98,755460
1,0,1368555,310,1367977
1,0,1487064,91,1486369
1,0,36247,71,35642
0,0,1187163,347,1186465
0,0,120884,33,120498
1,0,1921473,107,1920904
0,0,438865,352,438233
0,0,308712,370,308044
0,0,1033564,300,1032920
0,0,1604078,115,1603452
0,0,85370,60,84681
0,0,17407,263,16820
0,0,497483,125,496893
0,0,1738968,27,1738420
1,0,6677,379,6162
1,0,278070,224,277438
0,0,1731530,337,1730895
0,0,477620,208,476973
0,0,565167,382,564760
0,0,10321,126,9749
0,0,1686468,111,1685914
0,0,7629,232,6979
0,0,1645,356,1004
1,0,376974,54,376393
0,0,767988,273,767290
1,0,426818,138,426186
1,0,39701,51,39237
0,0,265007,261,264339
1,0,782,45,129
1,0,1132814,318,1132212
1,0,30799,72,30158
1,0,159847,66,159101
0,0,694973,308,694383
1,0,1637787,113,1637185
0,0,487905,170,487330
1,0,356421,430,355831
0,0,1932015,106,1931470
0,0,2027,38,1341
0,0,1743790,336,1743146
0,0,515441,209,514617
1,0,1118634,320,1117975
0,0,347837,17,347313
0,0,250738,324,250097
1,0,1579,3,1004
0,0,570400,75,569783
0,0,544317,147,543658
0,0,52129,267,51491
1,0,19103,380,18480
0,0,4829,260,4128
1,0,599763,235,598996
0,0,430625,12,430509
1,0,1142859,409,1142287
0,0,339516,227,338926
1,0,1413348,212,1412725
1,0,1066542,405,1065931
0,0,15668,345,15015
1,0,6518,305,5874
1,0,26110,307,25487
1,0,504309,428,503911
1,0,610947,367,610288
0,0,1995197,219,1994529
0,0,216763,323,216122
1,0,588625,158,587969
0,0,416038,383,415541
1,0,463493,100,462885
1,0,14001,394,13402
0,0,276224,137,275592
1,0,602338,321,601643
1,0,1845,389,1489
0,0,314714,122,314181
0,0,1473130,86,1472456
1,0,1100102,407,1099440
0,0,444695,30,444042
0,0,42175,386,41594
0,0,9261,128,8539
0,0,382637,56,382086
1,0,35038,304,34388
0,0,410050,250,409331
1,0,13194,350,12661
1,0,641578,82,640880
1,0,320021,423,319437
0,0,70385,301,69732
