Gender,Biography,BirthDate,ViafId,FirstName,Citizenship,FullName,Birthplace,Profession
1,72,131,250524326.0,126,6,410,292,30
1,159,40,302763832.0,115,10,335,316,15
1,54,257,72294566.0,107,12,307,261,23
1,154,197,178994477.0,33,6,117,67,30
1,62,225,92060287.0,10,12,46,134,23
1,159,94,162438682.0,114,0,329,75,25
1,229,434,9833303.0,36,0,125,175,30
1,159,93,307299071.0,107,6,330,193,23
1,113,211,84281979.0,126,0,404,116,30
0,11,423,306292557.0,107,0,51,173,31
1,16,392,264169875.0,123,0,359,175,9
1,242,366,,107,6,371,273,31
1,159,122,,38,0,123,201,1
1,159,349,,98,0,273,299,31
1,96,308,117474818.0,64,12,181,58,15
1,159,263,,107,6,290,342,23
1,159,154,68772581.0,116,6,338,24,31
1,61,179,311312497.0,151,12,209,202,30
1,159,350,111811076.0,136,0,438,249,28
1,243,235,62346599.0,62,12,173,299,31
1,168,6,69066012.0,7,10,16,135,7
1,152,267,25009235.0,107,11,107,308,31
1,159,156,,27,10,112,245,23
1,178,103,,107,6,119,72,23
1,253,256,73733893.0,121,2,343,1,15
1,33,187,,107,10,487,73,31
1,159,358,1549379.0,107,12,257,322,30
1,115,238,94374097.0,107,0,221,314,31
1,160,285,84131731.0,11,7,363,133,31
0,54,463,58533480.0,107,0,425,175,31
0,115,433,1.8351518379832204e+21,102,0,301,88,31
0,25,303,,107,6,52,85,30
1,220,262,54946443.0,62,12,175,324,31
1,108,452,7.774154260667924e+21,123,0,360,309,30
1,95,186,25413344.0,28,10,113,15,15
1,49,210,3892069.0,23,12,104,309,22
1,104,41,3878616.0,107,10,192,193,30
1,112,157,311321526.0,99,10,276,175,30
1,215,35,311349730.0,107,12,383,80,31
1,206,254,84260190.0,47,12,150,123,15
1,181,9,52496338.0,111,10,320,129,23
1,159,142,165487144.0,107,10,328,259,23
0,159,479,300574637.0,8,0,22,309,30
1,159,476,,107,6,332,251,23
0,159,37,,50,10,149,268,31
0,137,164,6.8061583697741e+21,154,0,492,86,30
1,185,140,50618304.0,114,12,323,313,22
1,54,222,8.155464887802041e+18,107,6,172,289,23
1,115,439,265700693.0,10,0,42,185,19
1,159,184,296191142.0,14,6,81,339,23
1,159,126,,107,10,322,142,15
1,159,198,299976305.0,107,10,340,253,31
1,159,117,6.626152502898912e+21,136,10,444,51,30
1,159,123,250576105.0,10,6,43,117,31
0,82,435,307491252.0,107,0,8,175,30
1,213,215,84257595.0,98,12,306,216,30
1,19,221,71803277.0,98,12,296,159,19
1,8,191,154354032.0,22,12,106,248,31
1,159,268,6.810165750899454e+21,14,12,63,138,22
1,173,17,11680346.0,6,10,17,60,19
1,159,34,,107,6,214,55,19
0,254,202,301852891.0,95,2,265,193,15
1,207,277,165054973.0,134,12,413,167,15
1,115,205,101721616.0,150,11,185,199,31
1,123,236,,136,6,443,183,23
1,171,32,302098344.0,107,10,128,175,15
1,159,28,307489436.0,107,10,352,312,19
1,81,223,171425640.0,107,6,186,57,23
1,230,272,71265029.0,30,15,116,181,30
1,118,45,39385872.0,150,10,478,305,23
1,159,15,161563302.0,71,10,208,193,2
1,166,11,162210564.0,24,10,108,307,23
1,159,75,443364.0,107,6,246,207,19
1,32,419,,156,0,498,175,29
1,41,52,,139,6,110,4,19
1,159,320,6.146284518515333e+18,21,12,100,193,16
0,84,168,52497877.0,81,10,236,71,23
1,159,98,,107,6,429,169,22
1,111,457,17206650.0,107,0,260,33,30
1,163,5,20479767.0,64,10,180,156,22
1,143,105,45412773.0,1,10,1,262,31
1,115,404,59519814.0,139,0,449,175,31
1,54,390,,107,12,295,17,30
1,159,31,3.341447827223992e+20,140,10,400,175,19
1,73,298,161747221.0,126,12,391,325,30
0,159,478,1.403145857015023e+21,107,0,436,175,23
1,263,231,302892606.0,14,2,69,168,31
1,39,72,4.015426036992448e+19,123,10,351,32,19
1,159,107,303016245.0,107,10,6,121,12
1,115,149,,107,6,333,31,30
1,159,180,77727883.0,107,0,292,340,30
1,151,172,23920316.0,126,10,386,60,5
1,159,59,71240850.0,107,10,283,343,31
1,159,356,311336103.0,82,0,239,297,15
1,45,38,3.662154260823024e+21,68,0,195,267,22
1,248,113,46320188.0,107,2,272,315,22
1,158,58,5730112.0,86,5,249,307,23
1,196,258,62860209.0,14,12,68,62,22
1,255,445,161170172.0,26,0,47,175,31
1,115,90,109448884.0,80,10,229,191,22
1,159,200,261006288.0,142,10,459,72,0
1,159,121,311334090.0,125,6,382,208,30
1,6,139,5728613.0,114,10,325,225,30
0,70,381,307486259.0,60,12,167,147,23
0,202,294,46604312.0,107,12,120,29,23
1,172,14,,107,10,368,305,23
1,115,400,56465275.0,10,0,39,306,31
1,159,351,54556496.0,107,0,245,189,30
1,247,152,300922552.0,78,12,230,232,22
1,69,155,57021319.0,120,10,366,18,23
1,2,132,8788430.0,54,10,206,267,30
0,159,331,5336560.0,107,0,377,239,30
1,159,348,311309083.0,107,0,399,26,19
0,54,380,8.881542605937245e+20,107,0,97,335,23
1,228,127,55424610.0,10,12,33,344,31
1,225,212,79404310.0,74,12,231,82,31
1,159,159,7.610154260490925e+21,107,6,349,278,23
1,91,78,235392147.0,29,10,115,166,24
1,105,136,5.446154260437624e+21,107,10,211,267,30
1,159,344,162473915.0,14,0,74,193,19
1,134,443,2.6616290257857777e+20,107,0,13,175,30
1,159,174,311390217.0,107,6,324,11,31
1,156,181,,145,14,470,34,23
1,90,224,3.8149233327476515e+19,84,11,238,307,27
1,124,243,249543901.0,126,0,453,295,31
1,106,171,301389535.0,38,1,126,193,30
1,150,493,,107,0,365,317,31
1,159,336,4073822.0,136,6,439,157,30
1,159,54,,1,1,4,103,21
1,159,290,60483417.0,107,6,421,41,31
1,56,33,46001080.0,16,10,88,12,23
1,159,227,163684323.0,107,6,169,258,31
1,10,488,4.0361542604313246e+21,107,6,228,21,31
1,204,369,171556771.0,98,2,298,16,23
1,175,8,315536847.0,6,10,18,137,20
1,159,442,165653644.0,156,0,362,54,15
1,164,119,237786832.0,99,7,282,203,22
1,159,352,,107,6,250,132,31
1,159,252,5336404.0,107,6,398,172,15
1,165,12,3266409.0,148,10,474,271,13
1,159,484,1.9901542605986244e+21,107,2,397,247,31
1,256,167,163729878.0,107,10,28,221,31
1,159,403,,107,6,213,193,30
1,240,64,5.840154260483224e+21,14,10,80,293,17
1,131,391,6406906.0,68,12,207,233,31
0,174,91,,135,7,433,200,23
0,54,333,33872939.0,101,7,299,9,23
1,50,411,70591862.0,123,0,348,180,22
1,244,51,8.159154210011992e+18,69,10,200,175,15
1,176,7,84219054.0,147,10,472,206,13
0,142,465,306357165.0,2,0,7,69,31
1,54,161,46318186.0,130,0,416,175,30
1,159,249,2.6160725855610184e+19,137,12,435,265,23
1,128,25,3.6841542603427246e+21,7,10,19,341,31
0,22,241,,46,6,144,193,19
1,23,63,38948636.0,42,10,131,267,19
0,115,494,,87,0,252,193,31
0,159,475,,124,0,375,154,23
1,255,185,84258192.0,23,10,105,138,31
1,159,396,,107,0,269,193,31
1,12,16,167363574.0,147,10,473,256,30
0,51,468,121885961.0,124,0,379,175,22
1,159,95,,107,2,354,171,12
1,85,310,14619256.0,62,2,177,91,23
1,115,48,77757676.0,150,10,480,148,30
1,35,97,,75,10,222,228,19
1,115,313,,109,6,316,201,31
1,159,429,1.3081543810543303e+21,155,12,494,243,31
1,38,335,84214308.0,107,12,151,90,19
1,159,377,36360492.0,107,0,242,212,23
1,159,39,171451909.0,107,6,148,266,30
1,115,76,162918560.0,107,10,258,14,19
1,159,173,62564661.0,12,2,59,44,30
1,97,170,3.1155190008682127e+19,126,10,450,224,15
1,72,430,171635116.0,123,0,356,175,30
1,87,86,8.116151353547251e+21,107,10,378,204,12
1,122,176,4781632.0,110,0,315,275,31
0,115,483,,49,0,147,86,31
1,159,316,302008539.0,144,0,471,267,31
1,153,21,2.7714554257429663e+20,80,6,216,331,22
1,191,343,166566982.0,52,12,154,158,19
1,159,414,85626703.0,16,0,93,23,31
1,72,341,307167100.0,43,0,132,175,23
1,159,151,237176652.0,90,10,259,104,30
1,159,422,165219957.0,107,6,485,175,9
0,159,464,296864474.0,107,0,95,180,31
1,200,135,317157506.0,69,12,205,175,22
1,120,65,162295740.0,155,10,495,99,30
1,68,189,37759783.0,107,6,267,193,31
1,234,85,,150,10,187,21,23
1,136,367,44712397.0,126,12,385,218,31
1,53,246,60696986.0,9,2,56,161,22
1,101,384,32671447.0,84,0,251,218,30
1,141,261,18159692.0,1,11,5,235,31
1,231,101,10845667.0,107,10,178,332,23
0,115,357,,107,6,141,144,31
1,40,145,166532024.0,64,10,183,291,19
1,159,302,311499599.0,107,6,61,13,19
0,54,194,,20,0,96,10,23
1,210,143,,58,12,165,175,30
1,159,115,7.873154260492024e+21,107,6,293,118,31
0,29,375,242113324.0,46,12,142,49,15
0,159,359,162665874.0,107,6,384,238,6
1,44,432,,38,12,124,349,30
1,18,355,84640852.0,131,12,415,282,9
1,159,74,1.8591542605532244e+21,107,10,158,332,31
1,102,36,,43,0,133,351,30
0,159,239,315602984.0,46,12,143,119,31
1,43,388,75906618.0,126,12,2,65,20
1,159,288,29399220.0,10,6,40,52,31
1,4,178,27051931.0,15,10,72,230,31
1,115,100,43632884.0,107,12,254,301,30
1,211,299,65309156.0,14,12,70,347,30
1,159,62,,107,6,156,279,22
1,159,474,301215629.0,107,6,83,175,23
0,218,148,97134491.0,107,10,334,175,31
0,115,353,197175007.0,154,0,493,263,22
1,135,138,60122440.0,107,10,212,300,19
1,54,208,81284328.0,10,2,26,149,22
1,240,469,1.0154800247856191e+19,107,0,91,97,31
1,235,60,302471398.0,41,10,130,0,19
1,159,199,,131,2,419,175,31
0,54,491,,34,0,121,334,23
1,46,175,75239632.0,134,10,430,95,22
1,100,292,16025146.0,126,12,411,182,15
1,159,57,2.8315426067862448e+20,69,6,201,334,15
0,159,416,65864369.0,49,6,146,77,31
1,208,182,37759852.0,126,12,390,115,15
1,54,326,19287112.0,107,12,226,160,30
1,96,387,262206136.0,123,0,358,38,15
1,67,129,69739778.0,112,10,321,191,23
1,37,70,,107,10,188,350,19
1,186,242,45099450.0,10,12,24,98,31
1,159,204,,107,6,370,242,31
1,115,454,305315447.0,123,0,344,280,31
1,170,250,84147976.0,6,7,15,30,15
1,159,118,,107,10,341,345,23
0,187,229,25990629.0,8,12,23,150,30
1,54,323,197208850.0,126,0,408,45,23
1,57,106,159944690.0,107,10,278,254,22
1,115,19,27869394.0,45,10,137,281,19
1,115,408,172051009.0,39,6,129,304,30
1,159,124,,107,6,280,176,23
0,159,379,164416728.0,107,0,233,39,30
