GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,MIDDLE_NAME,DEATH_DATE,SIBLING_NAME,FULL_NAME,BIRTH_DATE
1,75,17,17,1,7,0,29,31
0,60,65,17,1,36,0,65,85
1,3,31,15,1,54,0,36,69
1,57,37,27,1,26,0,31,28
0,79,63,10,0,76,0,76,42
0,46,42,3,0,81,0,71,47
0,37,41,15,0,75,0,75,83
1,63,10,2,0,83,0,45,41
1,53,48,9,1,17,0,15,68
1,46,13,15,0,86,0,1,0
1,24,34,3,1,18,2,25,56
1,4,39,0,1,65,0,56,73
1,70,22,15,1,34,0,39,46
1,78,77,8,1,38,0,28,57
1,26,2,13,0,44,0,41,60
0,46,52,15,0,80,0,9,70
0,35,82,7,0,78,0,77,39
0,65,72,14,0,2,0,83,6
0,31,74,17,1,57,0,60,14
1,15,27,23,1,62,0,44,17
1,74,6,6,1,23,0,40,12
1,68,18,10,0,77,0,14,80
0,58,58,1,0,12,0,84,18
1,72,19,15,1,53,0,26,79
0,42,75,9,0,47,0,82,43
0,32,84,6,1,64,0,13,9
1,17,35,9,1,42,0,50,52
0,59,86,0,0,27,0,7,67
0,54,57,25,0,35,0,62,44
1,67,33,9,1,15,0,18,49
0,0,26,14,0,0,0,58,4
0,29,54,17,0,45,0,11,78
0,43,67,9,0,21,0,80,65
1,23,4,1,1,13,0,47,40
1,1,85,22,1,41,1,46,24
0,46,53,8,0,66,0,72,33
1,11,8,3,1,50,0,34,50
1,46,38,18,1,79,0,43,64
0,46,64,17,0,85,0,59,75
1,9,20,11,1,48,0,20,37
1,64,78,4,1,73,1,42,15
0,25,1,5,0,4,0,67,7
1,73,21,22,1,46,0,30,2
0,22,45,4,0,6,0,73,32
0,18,81,7,0,67,0,85,29
0,51,60,14,1,37,0,10,5
0,71,44,15,0,29,0,64,58
0,40,50,1,0,68,0,8,11
1,76,25,5,1,31,0,24,38
1,48,28,15,1,22,0,51,22
0,46,43,20,0,9,0,4,53
1,46,7,15,1,86,0,21,35
0,38,61,13,0,59,0,66,67
1,5,76,26,0,60,0,22,74
0,39,46,11,0,74,0,87,19
0,36,86,24,0,56,0,5,25
1,14,30,12,1,72,0,48,45
1,20,11,13,1,39,0,33,54
1,46,32,17,1,19,0,32,82
0,52,69,17,0,15,0,61,59
1,12,14,26,1,55,0,19,48
0,41,86,17,0,52,0,70,66
1,8,12,9,1,49,0,35,77
0,47,71,5,0,40,0,86,20
1,6,24,8,1,70,0,55,63
1,2,29,26,1,71,0,53,61
0,69,55,13,0,28,0,63,71
1,49,15,14,1,1,0,23,3
1,10,5,14,1,69,0,52,62
0,44,70,25,0,24,0,6,55
1,62,79,7,1,43,0,38,13
1,77,23,11,1,10,0,17,27
1,19,16,2,1,5,0,49,23
1,16,80,2,1,14,1,15,16
1,27,3,10,1,30,0,27,36
0,45,40,3,0,20,0,69,32
0,56,73,21,0,25,0,2,34
0,55,62,17,0,8,0,81,42
0,33,66,0,0,84,0,78,81
0,46,49,15,0,82,0,68,30
0,34,47,26,1,63,0,12,51
1,7,0,11,1,51,0,37,8
1,13,9,10,1,61,0,16,76
0,30,51,15,0,33,0,74,84
0,50,56,19,0,32,0,79,10
1,66,83,16,1,58,0,57,1
0,61,68,9,0,16,0,0,72
1,28,36,15,0,11,0,54,21
0,21,59,26,0,3,0,3,26
