GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,MIDDLE_NAME,DEATH_DATE,SIBLING_NAME,FULL_NAME,BIRTH_DATE
1,75,17,17,1,6,0,30,30
0,28,54,17,0,44,0,12,79
1,3,31,15,1,53,0,37,69
1,59,37,27,1,26,0,32,27
0,79,63,10,0,75,0,77,41
0,47,42,3,0,80,0,72,46
0,38,41,15,0,74,0,76,84
1,64,10,2,0,82,0,46,40
1,55,48,9,1,16,0,16,67
1,47,13,15,0,86,0,1,0
1,23,34,3,1,17,2,26,55
1,4,39,0,1,64,0,57,73
1,71,22,15,1,33,0,40,45
1,78,76,8,1,36,0,29,56
1,25,2,13,0,43,0,42,59
0,47,52,15,0,79,0,10,70
0,35,81,7,0,77,0,78,38
0,52,57,19,0,31,0,80,9
0,30,73,17,1,56,0,62,14
1,15,27,23,1,61,0,45,17
1,74,6,6,1,23,0,41,11
1,69,18,10,0,76,0,15,81
0,48,71,5,0,38,0,86,20
1,72,19,15,1,52,0,27,80
0,43,74,9,0,46,0,83,42
0,31,83,6,1,63,0,14,8
1,17,35,9,1,41,0,51,51
0,61,85,0,0,27,0,7,66
0,45,70,25,0,24,0,5,54
1,68,33,9,1,14,0,19,48
0,0,26,14,0,0,0,59,4
0,41,50,1,0,67,0,8,10
0,70,55,13,0,28,0,65,71
1,22,4,1,1,12,0,48,39
1,1,84,22,1,39,1,47,24
0,47,53,8,0,65,0,73,32
1,11,8,3,1,49,0,35,49
1,47,38,18,1,78,0,44,63
0,47,64,17,0,85,0,60,75
1,9,20,11,1,47,0,21,36
1,65,77,4,1,72,1,43,15
0,24,1,5,0,3,0,67,6
1,73,21,22,1,45,0,31,2
0,58,72,21,0,25,0,2,33
0,18,80,7,0,66,0,85,28
0,53,60,14,1,35,0,11,5
0,54,69,17,0,14,0,63,58
0,46,40,3,0,20,0,70,31
1,76,25,5,1,30,0,25,37
1,49,28,15,1,22,0,52,22
0,47,43,20,0,8,0,3,52
1,47,7,15,1,86,0,22,34
0,39,61,13,0,58,0,66,66
1,5,75,26,0,59,0,23,74
0,40,46,11,0,73,0,87,19
0,36,85,24,0,55,0,4,25
1,14,30,12,1,71,0,49,44
1,20,11,13,1,37,0,34,53
1,47,32,17,1,19,0,33,83
0,44,66,9,0,21,0,81,64
1,12,14,26,1,54,0,20,47
0,42,85,17,0,51,0,71,65
1,8,12,9,1,48,0,36,78
0,66,45,2,0,2,0,61,12
1,6,24,8,1,69,0,56,62
1,2,29,26,1,70,0,54,60
0,62,67,9,0,15,0,0,72
1,51,15,14,1,1,0,24,3
1,10,5,14,1,68,0,53,61
0,50,68,9,0,18,0,69,57
1,63,78,7,1,42,0,39,13
1,77,23,11,1,9,0,18,26
1,19,16,2,1,4,0,50,23
1,16,79,2,1,13,1,16,16
1,26,3,10,1,29,0,28,35
0,32,65,0,0,83,0,79,82
0,56,58,25,0,34,0,64,43
0,57,62,17,0,7,0,82,41
0,37,85,17,0,84,0,6,68
0,47,49,15,0,81,0,68,29
0,33,47,26,1,62,0,13,50
1,7,0,11,1,50,0,38,7
1,13,9,10,1,60,0,17,76
0,29,51,15,0,32,0,75,85
0,60,59,1,0,11,0,84,18
1,67,82,16,1,57,0,58,1
0,34,56,13,0,40,0,9,77
1,27,36,15,0,10,0,55,21
0,21,44,4,0,5,0,74,31
