Sport_Type,Profile_Image,Weight_Kg,Birth_Date,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Last_Name,First_Name,First_Cycling_Rider_Id,Height_Cm,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Birth_Place,Uci_Rider_Id,Freebase_Id,Cycling_Archives_Cyclist_Id
0,6,67.0,24,,24316,33,0,37281,186.0,0,181239,33,97280,19,104872
2,1,,14,67636.0,25790,20,12,55807,168.0,13,204366,19,68384,19,80872
3,19,59.0,18,,17940,23,15,6538,172.0,16,138871,12,507857,1,60701
3,29,73.0,21,55907.0,20793,1,30,16610,178.0,32,168755,27,461093,5,66627
3,20,52.0,16,47973.0,17762,8,18,4004,169.0,19,140496,13,75592,15,53958
3,12,61.0,9,19630.0,10023,30,7,794,175.0,8,140233,4,54679,7,22431
3,12,61.0,9,19630.0,10023,30,7,794,175.0,8,140233,4,54679,7,22431
3,32,67.0,26,65462.0,24902,24,22,37494,183.0,24,185580,24,88143,19,119310
3,28,,0,38086.0,5472,6,26,1905,,28,135803,22,31273,13,23206
2,11,65.0,8,52495.0,19900,26,7,14122,178.0,7,141005,5,58947,0,57565
3,2,66.0,32,69634.0,26526,22,31,45992,176.0,33,194619,11,149727,19,115790
0,9,,2,,9740,9,6,2141,,6,138149,17,61428,19,14214
3,16,72.0,7,46958.0,13863,16,10,2982,184.0,11,140739,16,58761,11,38022
1,0,62.0,19,46381.0,18610,0,17,12474,173.0,18,137427,25,71557,2,63999
3,3,,23,,22662,32,29,27277,170.0,31,170102,3,80188,19,79343
3,17,,25,66232.0,23948,13,13,37446,175.0,14,176305,20,109829,19,81941
3,5,54.0,29,,25026,12,28,58639,163.0,30,198985,15,109855,19,109700
3,10,60.0,17,51883.0,19078,19,1,10996,177.0,1,130946,30,66347,19,72799
3,10,60.0,17,51883.0,19078,19,1,10996,177.0,1,130946,30,66347,19,72799
3,15,58.0,12,40311.0,12254,2,9,3352,180.0,10,140150,18,64445,16,53220
3,2,66.0,32,69634.0,26526,22,31,45992,176.0,33,194619,11,149727,19,115790
3,13,60.0,28,65688.0,24926,3,8,58275,175.0,9,198937,35,95844,19,100412
3,24,,33,,27671,15,16,67824,,17,206811,23,155026,19,121990
3,25,66.0,22,63024.0,23763,18,3,42186,188.0,3,193292,28,97805,19,108136
3,14,67.0,3,20041.0,6807,7,27,114,182.0,29,140781,21,32596,8,21225
3,27,70.0,5,22870.0,1646,29,25,346,186.0,27,140614,29,32145,6,19086
3,28,,0,38086.0,5472,6,26,1905,,28,135803,22,31273,13,23206
3,14,67.0,3,20041.0,6807,7,27,114,182.0,29,140781,21,32596,8,21225
3,4,57.0,6,22930.0,7279,5,11,2741,170.0,12,140229,1,58181,12,30554
0,35,,35,70754.0,29492,28,5,82572,173.0,5,227948,10,236644,19,134569
3,7,65.0,30,73687.0,27198,31,2,69890,186.0,2,205784,6,98207,19,120019
3,30,68.0,20,61775.0,23299,27,20,25726,186.0,22,164709,32,89223,4,72207
4,26,65.0,10,56041.0,20719,25,24,18655,177.0,26,174582,31,88889,18,72449
3,31,56.0,11,49272.0,17881,4,23,4863,169.0,25,140294,9,76092,14,38092
3,23,64.0,4,56938.0,20257,35,21,16569,175.0,23,167585,7,86480,3,81851
2,11,65.0,8,52495.0,19900,26,7,14122,178.0,7,141005,5,58947,0,57565
0,6,67.0,24,,24316,33,0,37281,186.0,0,181239,33,97280,19,104872
3,21,65.0,27,61536.0,23427,17,19,27289,181.0,20,177662,34,97741,19,95079
2,18,69.0,1,19558.0,3828,10,14,264,182.0,15,140870,8,34012,9,21215
3,34,65.0,13,41885.0,13080,21,32,860,180.0,34,140628,14,64737,10,58535
0,33,71.0,15,47214.0,16722,34,33,6228,183.0,35,140674,26,64531,17,52973
3,13,60.0,28,65688.0,24926,3,8,58275,175.0,9,198937,35,95844,19,100412
3,22,57.0,31,65227.0,26509,14,20,46163,173.0,21,194909,2,111440,19,99609
3,8,,34,,29474,11,4,92666,184.0,4,215760,0,638202,19,149604
