StrandOrientation,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,GenomicStartPosition
0,8079661,106,106,4,8,8078567
0,11072966,143,143,4,8,11071767
1,399424,2,2,4,8,398357
0,7317315,95,95,4,8,7316389
0,13676580,185,185,4,3,13675672
1,12922778,167,167,4,1,12921741
1,10043962,124,124,4,8,10042970
1,1070261,10,10,4,7,1069203
1,650633,5,5,4,1,649602
0,15869900,219,219,4,8,15868737
0,2618113,26,26,4,1,2617085
1,1075153,11,11,4,3,1074146
0,10690268,135,135,4,1,10689213
1,14736174,194,194,4,2,14735137
1,3870901,50,50,4,8,3869591
1,12752736,164,164,4,8,12751600
0,6024898,81,81,4,3,6023867
1,6052501,82,82,4,8,6051458
0,11908845,156,156,4,3,11907763
1,11795184,151,151,4,3,11794162
0,11839496,153,153,4,1,11838489
1,1091068,13,13,4,1,1090040
1,6552221,87,87,4,1,6551190
0,12776244,166,166,4,1,12775180
1,4661896,60,60,4,1,4660850
0,12024392,159,159,3,1,12023694
1,5610557,71,71,4,8,5609394
0,10697961,136,136,4,3,10696900
0,3201152,41,41,4,1,3200130
1,11821242,152,152,4,8,11820139
0,12975701,169,169,4,2,12974564
0,2623678,27,27,4,2,2622551
0,14061641,188,188,4,3,14060619
0,5529268,67,67,4,1,5528171
0,3396906,42,42,4,1,3395821
1,6186983,84,84,1,1,6186102
1,8558806,109,109,4,8,8557664
1,11027091,139,139,0,1,11026060
1,9079565,115,115,4,1,9078525
0,2062955,21,21,4,8,2061858
0,15249720,203,203,4,1,15248707
0,4217830,57,57,4,3,4216805
1,11636458,150,150,4,2,11635427
0,7318448,96,96,4,2,7317402
1,14268702,191,191,9,2,14267807
1,6854082,88,88,4,8,6852934
0,15293907,206,206,4,2,15292789
1,6354597,85,85,0,1,6354109
0,11033475,140,140,4,8,11032478
1,6544562,86,86,4,3,6543552
1,10169864,127,127,4,2,10168681
1,3909879,51,51,4,3,3908887
1,10611003,131,131,4,3,10610206
0,7781,223,223,2,6,6699
1,5873017,77,77,4,3,5871956
0,4198138,56,56,7,3,4197374
1,6860436,89,89,9,2,6859351
1,13238507,175,175,4,3,13237458
1,9110101,117,117,4,1,9109139
0,5572292,70,70,7,1,5571425
1,7187489,94,94,4,3,7186437
1,15463627,210,210,4,8,15462293
0,11044403,142,142,0,3,11043360
1,13471047,179,179,4,1,13469977
0,6876412,90,90,4,3,6875396
1,15548039,214,214,4,3,15547005
0,4189414,55,55,4,1,4188470
0,8103004,107,107,4,3,8101955
1,1968691,20,20,4,3,1967645
1,13487826,180,180,4,1,13486831
0,12668918,163,163,4,1,12667941
1,14803568,195,195,4,1,14802528
1,9111286,118,118,3,1,9110645
1,10175978,128,128,4,2,10174812
1,10063828,125,125,4,1,10062812
1,11417113,149,149,4,1,11416202
1,3839108,49,49,0,3,3838143
0,15245981,202,202,4,3,15245001
0,4794170,62,62,4,3,4793112
0,11039441,141,141,0,1,11038383
1,996150,7,7,4,1,995096
1,2610589,24,24,3,1,2610110
1,1948983,19,19,4,1,1947973
0,12986117,170,170,6,8,12985017
1,8611154,110,110,3,1,8610666
0,3159817,37,37,3,1,3159308
0,5566967,69,69,4,1,5565966
0,10865512,137,137,4,2,10864281
1,15381893,207,207,4,3,15380895
0,2675101,30,30,4,1,2674088
1,13656596,182,182,1,1,13655969
1,15734997,217,217,4,3,15733954
1,7990190,104,104,1,1,7989512
0,1530030,17,17,4,1,1528990
0,15617770,215,215,9,2,15617138
1,8548650,108,108,3,1,8547976
0,13261045,176,176,5,2,13259773
0,6795,221,221,2,0,5740
0,14315393,193,193,4,8,14314118
1,5656284,74,74,4,1,5655262
0,13209191,174,174,4,3,13208058
1,13010781,171,171,4,3,13009759
1,5635227,72,72,4,1,5634100
1,2612985,25,25,4,3,2611942
1,3481477,45,45,4,2,3480417
1,9042467,113,113,4,3,9041418
0,11931847,158,158,4,8,11930744
1,10615448,132,132,4,1,10614405
1,12650587,162,162,0,1,12650045
1,972563,6,6,4,1,971490
1,15771876,218,218,4,3,15770842
1,14074478,190,190,4,5,14073441
1,1872491,18,18,4,1,1871409
1,12769646,165,165,4,3,12768564
0,361146,1,1,4,3,360103
0,6976684,92,92,3,1,6976217
0,2221558,22,22,4,3,2220551
0,10679542,134,134,4,1,10678550
1,9956399,122,122,4,2,9955395
1,10868784,138,138,4,8,10867744
0,13149864,172,172,4,3,13148833
0,8078463,105,105,4,3,8077390
1,3487364,46,46,4,1,3486321
0,7988125,103,103,4,1,7987085
0,7499541,97,97,4,2,7498552
0,15486768,212,212,4,1,15485722
1,15261276,204,204,4,3,15260260
0,4009957,52,52,4,3,4008911
0,13934901,186,186,4,3,13933864
0,3823268,48,48,4,3,3822219
0,2827664,32,32,4,1,2826519
0,12497012,161,161,3,1,12496449
1,9245357,119,119,4,8,9244299
0,2667781,29,29,4,1,2666693
1,7128584,93,93,4,1,7127547
0,14293891,192,192,3,1,14293424
1,9100845,116,116,4,1,9099808
0,1324875,16,16,4,1,1323609
1,13641800,181,181,4,1,13640808
0,13431354,178,178,4,1,13430320
1,4520224,59,59,1,3,4519742
1,2664952,28,28,4,2,2663984
1,13192541,173,173,7,1,13191587
1,11897827,155,155,4,3,11896778
0,1066919,9,9,3,1,1066278
1,2860949,33,33,4,3,2860035
1,5560013,68,68,4,1,5558991
0,13667314,184,184,4,1,13666319
1,14830154,197,197,4,2,14829021
0,11923602,157,157,4,8,11922572
1,9900372,121,121,4,3,9899356
1,2822219,31,31,4,1,2821179
1,8790106,111,111,4,1,8789078
1,11297800,147,147,4,2,11296739
0,15489415,213,213,4,3,15488432
1,59537,0,0,4,1,58254
0,5883590,78,78,4,1,5882568
0,3176182,39,39,4,3,3175151
0,7897630,101,101,4,1,7896578
0,1472,222,222,2,4,486
0,13936712,187,187,4,3,13935648
