StrandOrientation,GenomicEndPosition,GeneDbId,GeneType,GenomicStartPosition
1,391137,87,1,389704
1,267266,51,1,266289
1,273888,86,0,272725
0,220225,37,1,218687
1,208330,117,1,206801
1,2377,105,0,1157
1,1381990,69,0,1381346
1,360740,120,0,359730
1,368482,27,0,367493
1,3259,103,1,2075
0,2882,67,1,2106
0,514203,115,0,514066
0,431585,91,0,430644
1,604409,98,1,603339
1,14514,81,0,13402
0,762518,23,0,761364
0,218013,31,0,216889
1,587198,71,0,585768
0,2612,3,0,1824
0,690506,68,1,689499
0,245389,39,0,244757
1,86161,13,0,85631
1,547086,18,0,545914
1,1253659,43,0,1252076
0,705562,22,0,704282
0,307709,77,0,306750
1,546194,72,1,544968
0,449733,1,0,448939
0,626457,20,0,625132
1,373963,26,0,372953
1,507159,94,0,506107
1,575815,97,0,574721
1,531481,17,1,530381
1,669822,42,1,668569
0,316139,28,0,315237
1,272650,50,0,271751
0,976612,62,0,975470
1,502004,93,0,500910
0,29669,80,0,28731
1,20974,82,1,19538
1,625575,100,0,624448
1,1127958,108,0,1127086
0,1798125,76,0,1796725
0,463276,60,1,461756
0,437122,88,0,436220
0,2899,110,1,1952
1,1973004,47,0,1972075
1,514925,15,0,513729
0,400165,2,0,399113
1,1027129,102,0,1026155
1,315559,119,0,315128
0,514924,63,0,514307
1,747400,61,0,746270
1,1905561,48,1,1904098
1,229688,54,0,228501
1,450224,90,0,449385
0,263994,8,0,262717
0,283947,38,1,282400
1,444750,89,0,443839
1,1855873,25,0,1854422
0,622717,35,0,621833
1,549818,101,0,548385
0,347997,34,1,346477
1,28060,83,0,27086
1,714,40,1,1
0,924009,57,1,922486
1,14110,52,1,13145
0,21643,53,0,20600
1,1564652,0,0,1564452
0,479488,44,1,478163
1,197165,9,0,196203
1,16755,12,0,15559
0,17420,32,0,16842
1,441837,114,1,440959
0,232617,30,0,231541
1,496221,92,0,495283
0,427442,58,1,425919
1,1562,19,0,393
0,518865,116,0,517981
1,19265,78,0,18156
1,1080003,107,0,1078741
0,284733,113,0,283762
1,523271,16,0,522144
1,318674,64,0,317781
0,2003523,75,0,2002453
1,235050,55,0,234100
1,1862763,24,0,1861267
1,617521,99,0,616619
1,2058209,7,0,2056686
1,64367,65,1,62844
0,25674,104,0,24613
0,493306,85,0,491759
0,317984,109,0,317091
1,1698039,4,0,1696570
1,515623,95,0,514700
1,579257,41,0,578298
0,1593162,45,0,1591861
1,212824,56,0,211883
1,1556126,74,0,1554660
1,257891,49,0,256881
1,437723,33,0,436782
0,3154,84,0,2129
1,48657,10,0,47974
1,489099,96,0,488107
0,24337,79,0,23213
0,67859,14,0,66546
1,288343,118,0,287549
0,9331,11,0,7841
1,1706820,5,1,1705558
1,1056372,106,0,1055425
0,1505678,21,0,1504257
0,1263503,73,0,1262121
0,213667,36,0,212129
1,381686,70,1,380409
0,8433,111,0,7429
1,220328,29,0,219990
0,400752,59,1,399232
0,1977944,46,0,1976967
1,52701,66,0,51505
0,319749,112,0,318496
0,1679690,6,0,1678407
