Gender,PosthumousTitle,GoogleKnowledgeGraphId,MotherName,MiddleName,DeathDate,SiblingName,FullName,BirthDate
1,76,17,17,1,7,0,30,31
0,61,64,17,1,36,0,66,85
1,3,31,15,1,54,0,37,70
1,58,37,27,1,26,0,32,28
0,37,85,17,0,84,0,7,69
0,47,49,15,0,81,0,69,30
0,38,41,15,0,75,0,75,83
1,64,10,2,0,82,0,46,41
1,54,47,9,1,17,0,16,68
1,47,13,15,0,85,0,1,0
1,24,34,3,1,18,2,26,55
1,4,39,0,1,65,0,57,74
1,71,22,15,1,34,0,40,46
1,79,76,8,1,38,0,29,56
1,26,2,13,0,44,0,42,59
0,47,48,10,0,80,0,60,66
0,35,81,7,0,78,0,77,39
0,66,71,14,0,2,0,83,6
0,31,73,17,1,57,0,61,14
1,15,27,23,1,62,0,45,17
1,75,6,6,1,23,0,41,12
1,69,18,10,0,77,0,15,80
0,59,58,1,0,12,0,84,18
1,73,19,15,1,53,0,27,79
0,43,74,9,0,47,0,82,43
0,32,83,6,1,64,0,14,9
1,17,35,9,1,42,0,51,51
0,60,85,0,0,27,0,8,67
0,55,57,25,0,35,0,63,44
1,68,33,9,1,15,0,19,48
0,0,26,14,0,0,0,59,4
0,29,54,17,0,45,0,12,78
0,44,66,9,0,21,0,80,64
1,23,4,1,1,13,0,48,40
1,1,84,22,1,41,1,47,24
0,47,42,20,0,9,0,4,52
1,11,8,3,1,50,0,35,49
1,47,38,18,1,79,0,44,63
0,47,52,15,0,80,0,10,71
1,9,20,11,1,48,0,21,37
1,65,77,4,1,73,1,43,15
0,25,1,5,0,4,0,68,7
1,74,21,22,1,46,0,31,2
0,22,44,4,0,6,0,73,32
0,18,80,7,0,67,0,85,29
0,52,60,14,1,37,0,11,5
0,72,43,15,0,29,0,65,57
0,41,50,1,0,68,0,9,11
1,77,25,5,1,31,0,25,38
1,49,28,15,1,22,0,52,22
0,80,63,10,0,76,0,76,42
1,47,7,15,1,85,0,22,35
0,39,61,13,0,59,0,67,67
1,5,75,26,0,60,0,23,75
0,40,45,11,0,74,0,87,19
0,36,85,24,0,56,0,5,25
1,14,30,12,1,72,0,49,45
1,20,11,13,1,39,0,34,53
1,47,32,17,1,19,0,33,82
0,53,68,17,0,15,0,62,58
1,12,14,26,1,55,0,20,47
0,42,85,17,0,52,0,71,65
1,8,12,9,1,49,0,36,77
0,48,70,5,0,40,0,86,20
1,6,24,8,1,70,0,56,62
1,2,29,26,1,71,0,54,60
0,70,55,13,0,28,0,64,72
1,50,15,14,1,1,0,24,3
1,10,5,14,1,69,0,53,61
0,45,69,25,0,24,0,6,54
1,63,78,7,1,43,0,39,13
1,78,23,11,1,10,0,18,27
1,19,16,2,1,5,0,50,23
1,16,79,2,1,14,1,16,16
1,27,3,10,1,30,0,28,36
0,46,40,3,0,20,0,70,32
0,57,72,21,0,25,0,2,34
0,56,62,17,0,8,0,81,42
0,33,65,0,0,83,0,78,81
0,47,53,8,0,66,0,72,33
0,34,46,26,1,63,0,13,50
1,7,0,11,1,51,0,38,8
1,13,9,10,1,61,0,17,76
0,30,51,15,0,33,0,74,84
0,51,56,19,0,32,0,79,10
1,67,82,16,1,58,0,58,1
0,62,67,9,0,16,0,0,73
1,28,36,15,0,11,0,55,21
0,21,59,26,0,3,0,3,26
