StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition
0,5567621,51,0,5567016
1,5642661,52,0,5642119
1,3468388,23,2,3467699
0,1519859,11,2,1519314
0,4218471,33,0,4217947
0,12243877,98,0,12243353
1,9961406,79,0,9960861
0,15253792,126,0,15253268
0,12669560,104,0,12669036
1,8788748,72,2,8788197
0,4010697,30,3,4010075
1,15397487,134,0,15396939
1,11286043,92,0,11285495
1,15474105,136,0,15473503
0,14062385,122,2,14061681
0,555963,2,2,555415
1,15554539,139,0,15553991
1,4323777,36,0,4323232
0,7307544,67,2,7306810
1,13658501,119,0,13657851
0,6202402,64,0,6201854
1,13237342,115,0,13236818
0,2675752,20,0,2675228
0,13726558,121,1,13726003
0,9718829,77,0,9718305
0,11040079,89,0,11039555
0,5884253,59,2,5883645
1,3906779,28,0,3906234
0,15264829,129,0,15264215
0,2236902,17,2,2236378
1,10075055,83,2,10074534
0,5848533,58,0,5848009
0,13200524,114,0,13199979
1,1108875,10,2,1108330
1,1079542,6,2,1079000
0,2677766,21,0,2677218
0,11042089,90,0,11041541
1,1072032,4,2,1071487
1,3469131,24,2,3468505
1,9963408,80,0,9962884
0,12392456,100,2,12391851
1,9082221,76,0,9081676
1,1104660,9,2,1104136
0,11047050,91,0,11046451
1,12771443,105,0,12770898
0,363795,0,2,363142
0,12861970,108,0,12861368
1,5658158,53,0,5657613
0,5564205,50,0,5563657
0,4260095,35,0,4259571
0,12236058,97,0,12235513
1,2821138,22,0,2820536
1,4158856,32,0,4158272
1,12921025,110,0,12920501
0,12981600,111,2,12981121
0,2670757,19,0,2670212
1,2359424,18,2,2358849
0,13144597,113,0,13144052
0,6176417,63,2,6175869
0,6022084,61,2,6021581
1,7127422,66,0,7126859
1,4110322,31,2,4109777
0,10682696,87,0,10682172
0,7985027,68,0,7984503
1,12350510,99,0,12349986
1,15546879,138,0,15546334
1,15380776,131,0,15380252
1,4325838,37,0,4325239
0,9057054,75,2,9056404
1,12918978,109,2,12918490
1,15392891,133,0,15392367
0,5532160,47,2,5531612
0,5840905,56,2,5840381
1,3484203,25,0,3483658
0,4256525,34,0,4255980
0,12779103,107,0,12778507
1,13009635,112,0,13009111
1,5556873,48,0,5556331
0,15676036,141,0,15675494
1,11901069,94,0,11900470
1,11979014,96,0,11978469
1,10168003,84,3,10167446
0,5097929,42,2,5097345
1,1074030,5,2,1073506
0,15255813,127,0,15255256
1,649403,3,2,648906
1,15390903,132,0,15390355
1,4659951,39,0,4659406
1,3869418,27,2,3868927
0,6025539,62,0,6024937
0,5892382,60,2,5891552
1,3486199,26,0,3485675
1,1083604,7,2,1083056
1,10871742,88,0,10871260
1,8823208,73,0,8822660
0,6877671,65,0,6877150
0,14774014,124,0,14773451
1,15260144,128,0,15259620
1,8787748,71,0,8787149
1,1098862,8,2,1098338
0,1530670,12,2,1530071
1,5423251,46,0,5422688
0,13667975,120,0,13667430
1,12644303,103,2,12643803
1,1967518,14,2,1966994
1,5800034,55,0,5799510
0,15242272,125,0,15241727
0,12777092,106,0,12776568
0,13580649,117,0,13580101
1,15379026,130,0,15378481
1,5558870,49,2,5558346
0,5099426,43,0,5098902
0,10680210,86,0,10679581
1,4660732,40,0,4660208
1,15556538,140,0,15556014
1,5266420,45,0,5265896
0,4459283,38,0,4458735
1,8270652,70,0,8270107
0,2234015,16,2,2233470
1,5264428,44,0,5263883
0,15491808,137,0,15491263
0,12393179,101,0,12392631
1,3908762,29,0,3908238
1,14707079,123,0,14706534
1,15405766,135,0,15405221
1,407874,1,2,407416
0,5016649,41,2,5016104
1,13486715,116,0,13486167
0,12609288,102,0,12608614
1,13640691,118,0,13640128
1,10062695,82,0,10062171
1,9954674,78,0,9954150
1,11293473,93,0,11292949
0,7988790,69,0,7988245
0,5842929,57,0,5842279
0,11905053,95,0,11904505
1,15770724,143,0,15770200
0,2224208,15,2,2223660
1,5798057,54,2,5797500
0,10677370,85,0,10676825
0,1532691,13,2,1532146
1,8825205,74,0,8824681
1,15768839,142,0,15768186
1,10062067,81,0,10061372
