StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition
0,13781508,89,5,13780400
0,1062543,11,5,1061380
1,1378603,13,5,1377758
1,647958,7,5,646994
0,5408975,27,5,5407872
0,7491697,43,5,7490675
0,8363744,51,5,8362638
0,13778229,88,5,13777168
0,10982625,66,5,10981573
1,12749940,84,5,12748906
1,9824168,57,5,9823074
0,17019,111,2,15961
0,7627111,44,5,7625912
1,3418842,20,0,3418354
0,6301614,31,5,6300547
1,2772424,18,5,2771399
1,2926783,19,5,2925683
0,14650551,100,0,14649949
0,10136590,60,5,10135451
1,8552323,52,5,8551182
0,6875162,34,0,6874248
0,1061185,10,5,1060259
1,13363445,87,6,13362485
0,5943411,30,4,5942976
1,2579988,16,6,2578978
0,10813792,64,5,10812707
1,10596764,61,5,10595673
0,12357332,81,5,12356265
0,6902422,36,5,6901388
0,3929959,22,5,3928967
0,10985595,67,5,10984454
1,14834084,105,5,14832906
0,11934914,77,5,11933838
1,645172,6,5,644114
1,4991040,24,0,4990519
1,10647632,62,0,10646946
0,14300981,95,5,14299716
0,8262117,49,5,8261095
0,9322125,53,5,9321052
0,11080473,72,5,11079370
1,7344961,41,5,7343936
0,489573,2,5,488497
0,10853457,65,0,10852738
1,11024203,69,5,11023130
0,7022901,38,5,7021669
0,5138603,26,5,5137686
0,5093041,25,5,5091830
0,12084294,78,5,12083578
0,503198,4,5,502080
0,6761840,33,5,6760755
0,9597154,54,7,9596789
1,11020307,68,3,11019585
1,14082174,93,5,14081146
0,14408981,97,5,14407787
0,506280,5,0,505225
0,969285,8,5,968212
0,14653387,101,5,14652208
0,367095,1,5,366061
0,1326208,12,5,1325000
0,5888183,29,5,5887353
1,9785709,56,7,9784512
1,14069484,90,5,14068327
0,497169,3,5,496051
0,11927955,76,5,11926873
0,14649846,99,3,14649328
0,14078016,92,5,14076940
0,7488770,42,0,7487772
0,7239207,39,3,7238734
1,14794181,102,1,14793624
0,6897869,35,5,6896835
0,12280552,80,7,12279830
0,7822071,48,0,7821382
1,15894258,108,5,15893028
0,10803665,63,5,10802541
1,14819882,103,5,14818773
1,11389915,74,5,11388752
0,6335213,32,5,6334188
0,7655211,46,5,7654214
0,11304553,73,5,11303492
0,7021545,37,5,7020505
0,11077700,71,5,11076582
1,14836202,106,5,14835021
0,14413552,98,5,14412677
0,7631605,45,5,7630547
0,10128451,59,5,10127360
1,4165460,23,5,4164288
0,15518461,107,5,15517346
1,7700008,47,5,7699196
1,8281636,50,0,8280473
0,14386825,96,3,14386370
1,5428520,28,5,5427432
1,3881246,21,5,3880098
1,13218818,86,5,13217698
1,14823039,104,3,14822254
1,1252532,110,0,1251366
0,7310277,40,5,7309219
1,2026224,15,5,2025250
1,58194,0,7,57183
1,2683349,17,4,2682890
1,12747234,83,5,12746164
0,12229397,79,5,12228273
1,14075724,91,5,14074699
0,11034709,70,5,11033591
1,10036993,58,5,10035965
0,14298478,94,5,14297318
0,16050866,109,5,16049805
1,1552731,14,5,1551625
0,9712285,55,5,9711197
1,12925681,85,5,12924616
0,1003209,9,5,1002175
1,11632067,75,5,11631096
1,12516768,82,5,12515701
