EntityType,GenomicEndPosition,GeneDbId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,373963,26,372953,21,1
0,257891,49,256881,20,1
0,235050,55,234100,21,1
0,213667,37,212129,16,0
0,587198,70,585768,14,1
0,2377,104,1157,10,1
0,1381990,68,1381346,3,1
0,318674,65,317781,21,1
0,340298,28,339360,21,0
1,3259,102,2075,2,1
1,2882,67,2106,2,0
1,441837,113,440959,2,1
0,426250,88,425120,21,0
0,575815,95,574721,21,1
0,14514,80,13402,21,1
0,762518,22,761364,3,0
1,217615,120,216422,2,0
0,553985,23,552546,16,0
0,2612,2,1824,1,0
1,669822,43,668569,2,1
1,220225,38,218687,2,0
0,86161,13,85631,0,1
1,539819,17,538632,2,1
0,1253659,44,1252076,3,1
0,705562,21,704282,3,0
0,272650,50,271751,21,1
1,117411,119,116032,2,0
1,283947,39,282400,2,0
0,319749,111,318496,3,0
0,368482,27,367493,21,1
0,502004,91,500910,21,1
0,549818,100,548385,14,1
0,523271,16,522144,6,1
0,626457,19,625132,3,0
0,307709,76,306750,21,0
1,267266,51,266289,2,1
0,976612,63,975470,4,0
0,496221,90,495283,21,1
0,29669,79,28731,20,0
1,20974,81,19538,2,1
0,617521,98,616619,21,1
0,1127958,107,1127086,18,1
0,1798125,75,1796725,3,0
1,427442,59,425919,2,0
0,431585,89,430644,21,0
1,2899,109,1952,2,0
0,1973004,47,1972075,21,1
1,64367,66,62844,2,1
0,263994,7,262717,10,0
1,924009,57,922486,2,0
0,288343,117,287549,21,1
0,514203,114,514066,1,0
0,747400,62,746270,3,1
1,1905561,48,1904098,2,1
0,212824,56,211883,21,1
0,444750,87,443839,21,1
0,493306,84,491759,16,0
0,245389,40,244757,1,0
0,437122,86,436220,20,0
0,1855873,25,1854422,21,1
0,518865,115,517981,11,0
0,544003,97,543026,21,1
1,286679,58,285567,2,0
0,28060,82,27086,20,1
1,714,41,1,2,1
0,456889,101,455630,5,1
1,14110,52,13145,2,1
0,21643,53,20600,21,0
0,1556126,73,1554660,14,1
0,622717,36,621833,12,0
0,496985,116,495984,8,1
0,16755,12,15559,4,1
0,17420,32,16842,4,0
0,284733,112,283762,22,0
0,218013,31,216889,10,0
0,489099,94,488107,21,1
1,400752,60,399232,2,0
0,1562,18,393,20,1
0,514924,64,514307,0,0
0,19265,77,18156,21,1
0,1080003,106,1078741,7,1
0,67859,14,66546,3,0
0,514925,15,513729,6,1
0,315559,118,315128,0,1
0,2003523,74,2002453,21,0
0,229688,54,228501,20,1
0,1862763,24,1861267,3,1
1,604409,96,603339,2,1
0,2058209,6,2056686,24,1
0,541977,108,540886,10,1
0,25674,103,24613,1,0
0,449733,1,448939,1,0
0,579257,42,578298,20,1
0,1593162,45,1591861,13,0
0,507159,92,506107,21,1
0,437723,34,436782,21,1
0,1564652,0,1564452,1,1
0,625575,99,624448,21,1
0,1263503,72,1262121,17,0
0,220328,29,219990,0,1
0,418436,33,417618,21,0
0,3154,83,2129,21,0
0,48657,10,47974,5,1
0,481887,93,480445,16,1
0,24337,78,23213,19,0
1,546194,71,544968,2,1
0,273888,85,272725,21,1
0,9331,11,7841,15,0
1,1706820,4,1705558,23,1
0,1056372,105,1055425,9,1
0,1505678,20,1504257,21,0
0,190441,9,189542,21,0
1,463276,61,461756,2,0
1,381686,69,380409,2,1
0,8433,110,7429,21,0
0,212508,30,211570,21,1
1,347997,35,346477,2,0
0,1977944,46,1976967,21,0
0,197165,8,196203,7,1
0,1698039,3,1696570,16,1
0,1679690,5,1678407,3,0
