SportType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,MemoireDuCyclismeCyclistId,TwitterHandle,BirthPlace,UciRiderId,Languages,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
1,9,39897.0,12748.0,8,16,1741.0,138849,52489.0,3,8,64864,6,67.0,8,146564.0,13,9,54755,3050,173,0,7
3,15,58495.0,22516.0,2,0,,168779,,5,19,86813,2,72.0,15,,5,3,78350,16783,181,13,9
1,18,49272.0,17881.0,16,12,13864.0,140294,55349.0,6,5,76092,0,56.0,9,,1,16,38092,4863,169,10,8
1,10,,26392.0,9,7,,193131,,5,10,148275,4,69.0,17,,8,10,89152,45363,176,13,0
0,6,39941.0,10070.0,6,5,,140615,,5,12,33579,0,67.0,4,142501.0,3,7,14215,872,177,8,8
1,3,17747.0,1992.0,5,0,35988.0,140399,20484.0,11,17,31056,3,63.0,1,,17,6,11476,486,175,2,3
0,8,52110.0,19577.0,11,0,,150271,,5,14,75262,4,66.0,13,,18,12,65915,9073,183,1,4
1,16,57472.0,21342.0,18,14,317302.0,178184,,7,4,91656,4,62.0,12,142266.0,7,18,66785,23097,170,13,2
1,1,69634.0,26526.0,19,15,5000.0,194619,,8,6,149727,6,66.0,18,146565.0,9,19,115790,45992,176,13,7
1,4,16313.0,3333.0,7,6,134950.0,140752,19461.0,2,9,44513,1,74.0,2,126409.0,15,8,18746,150,181,4,0
1,11,55710.0,21145.0,12,9,20655.0,132339,69005.0,13,7,86863,6,70.0,14,135862.0,6,13,71405,16687,185,6,7
1,7,41199.0,8921.0,10,8,11850.0,140191,54415.0,12,1,69192,4,,5,,4,11,58138,920,185,7,4
1,4,16313.0,3333.0,7,6,134950.0,140752,19461.0,2,9,44513,1,74.0,2,126409.0,15,8,18746,150,181,4,0
1,0,16289.0,5.0,1,2,470645.0,140924,19443.0,9,11,14575,4,61.0,0,103634.0,14,1,7005,38,177,5,8
1,1,69634.0,26526.0,19,15,5000.0,194619,,8,6,149727,6,66.0,18,146565.0,9,19,115790,45992,176,13,7
3,5,19255.0,3891.0,4,0,508772.0,140196,19127.0,1,3,32532,2,71.0,3,113194.0,12,5,11292,716,183,3,9
1,2,62205.0,23765.0,3,4,9170.0,181466,,10,0,97939,4,,16,143896.0,2,4,94397,27283,170,13,6
0,6,39941.0,10070.0,6,5,,140615,,5,12,33579,0,67.0,4,142501.0,3,7,14215,872,177,8,8
2,14,56041.0,20719.0,17,13,127549.0,174582,66232.0,14,15,88889,6,65.0,6,135863.0,11,17,72449,18655,177,12,4
2,14,56041.0,20719.0,17,13,127549.0,174582,66232.0,14,15,88889,6,65.0,6,135863.0,11,17,72449,18655,177,12,4
1,12,75207.0,,13,10,,205970,,5,13,154227,4,,19,141006.0,16,14,104359,70034,175,13,0
1,2,62205.0,23765.0,3,4,9170.0,181466,,10,0,97939,4,,16,143896.0,2,4,94397,27283,170,13,6
1,17,39842.0,12843.0,14,11,1311517.0,140292,52504.0,4,16,67388,7,58.0,7,141955.0,10,15,57418,2276,166,9,1
0,13,,13313.0,15,3,,138189,,5,18,439866,5,70.0,10,,0,2,87421,8551,171,13,5
1,10,,26392.0,9,7,,193131,,5,10,148275,4,69.0,17,,8,10,89152,45363,176,13,0
1,17,39842.0,12843.0,14,11,1311517.0,140292,52504.0,4,16,67388,7,58.0,7,141955.0,10,15,57418,2276,166,9,1
3,19,56666.0,18975.0,0,1,32176.0,133024,64111.0,0,2,70590,2,58.0,11,133999.0,19,0,65132,20147,172,11,9
1,11,55710.0,21145.0,12,9,20655.0,132339,69005.0,13,7,86863,6,70.0,14,135862.0,6,13,71405,16687,185,6,7
