SportType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,MemoireDuCyclismeCyclistId,TwitterHandle,BirthPlace,UciRiderId,Languages,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
2,5,7522,2338,5,0,,140519,13332,4,8,24499.0,3,70,2,,1,5,10562,477,179,5,4
2,3,16313,3333,4,1,134950.0,140752,19461,3,5,44513.0,0,74,3,126409.0,8,4,18746,150,181,1,1
1,6,26009,12193,7,4,1940308.0,140797,9096,7,9,54603.0,4,78,7,125137.0,7,7,30229,784,184,6,5
2,4,50317,18455,1,3,2094.0,138294,58535,1,1,68778.0,3,70,9,1303548.0,2,1,61900,6230,175,9,3
2,8,38789,10148,6,2,19685.0,140664,10422,6,4,53516.0,3,71,6,,9,6,17951,2317,179,8,5
2,0,19479,8649,0,0,9972.0,140208,28893,0,6,54831.0,2,68,5,,3,0,22615,791,182,7,2
3,1,10506,32,2,0,,117828,14901,4,7,12922.0,1,72,0,15574.0,5,2,5814,469,182,4,0
0,2,19245,3460,3,0,135899.0,140790,7496,2,0,32248.0,3,62,4,123581.0,4,3,16377,51,176,3,5
3,7,28088,12276,9,0,130987.0,140886,29016,8,2,59339.0,3,82,8,113232.0,6,9,31595,800,197,2,7
3,9,3516,1303,8,0,31384.0,140584,2720,5,3,,1,75,1,106895.0,0,8,12756,271,190,0,6
