PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,INSTAGRAM_HANDLE,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_DESCRIPTION,NATIONALITY,TEAM_AFFILIATION,BIRTH_PLACE,UCI_RIDER_ID,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM
0,15,83295.0,28377.0,16,12,212377,3,1,16,0,587366.0,62.0,22,4,15,8,141854,84019,171.0
0,11,61536.0,23427.0,11,7,177662,11,7,17,21,97741.0,65.0,15,11,10,13,95079,27289,181.0
0,6,50317.0,18455.0,0,8,138294,13,9,1,3,68778.0,70.0,8,8,0,14,61900,6230,175.0
0,14,56041.0,20719.0,15,11,174582,17,12,21,20,88889.0,65.0,2,13,14,14,72449,18655,177.0
0,7,55639.0,20535.0,3,2,160352,12,8,20,1,89125.0,,10,9,3,1,73388,14791,181.0
0,5,50824.0,18498.0,2,0,138830,5,15,14,22,63841.0,72.0,5,10,2,14,58906,16154,187.0
0,13,,25335.0,12,9,184242,1,0,11,18,102035.0,,18,14,12,0,93791,37447,177.0
0,19,56672.0,22018.0,23,0,168758,5,15,9,13,86735.0,,13,5,22,14,74063,16639,183.0
0,21,68254.0,25653.0,19,15,195439,0,16,10,8,88346.0,64.0,12,6,18,4,105482,48008,180.0
0,8,39897.0,12748.0,6,18,138849,20,12,13,15,64864.0,67.0,3,15,6,14,54755,3050,173.0
0,17,49272.0,17881.0,14,10,140294,18,13,8,11,76092.0,56.0,4,1,13,14,38092,4863,169.0
0,20,63563.0,28569.0,4,3,135571,10,6,4,7,119427.0,64.0,6,2,4,7,80663,17215,177.0
0,18,19620.0,14295.0,5,19,138908,15,11,12,17,55014.0,68.0,1,20,5,14,36055,9128,187.0
0,22,70304.0,26482.0,10,5,196333,14,10,22,5,107840.0,63.0,19,0,9,6,108403,50303,178.0
0,1,89309.0,29699.0,18,14,211947,7,3,0,2,353375.0,,21,3,17,10,144923,81835,174.0
0,9,,23547.0,8,0,193742,20,3,7,16,96369.0,62.0,16,11,7,2,79784,43001,
0,4,,,1,1,242423,10,6,5,6,667300.0,,23,16,1,11,148733,112241,
0,2,69634.0,26526.0,22,17,194619,16,12,13,14,149727.0,66.0,20,12,21,5,115790,45992,176.0
0,3,47589.0,20960.0,21,16,158017,19,14,3,23,74994.0,83.0,11,7,20,14,65329,16724,193.0
0,16,57472.0,21342.0,17,13,178184,9,5,2,10,91656.0,62.0,9,11,16,12,66785,23097,170.0
0,12,56938.0,20257.0,13,0,167585,6,2,6,9,86480.0,64.0,0,18,12,14,81851,16569,175.0
0,23,86654.0,29568.0,7,4,235390,2,0,15,19,148689.0,,14,11,11,9,154976,88703,184.0
0,10,69190.0,25740.0,9,6,196424,8,4,18,12,112082.0,,17,17,8,3,115868,38195,175.0
1,0,49682.0,17893.0,20,0,134456,4,15,19,4,553301.0,58.0,7,19,19,14,65130,6242,172.0
