ViafId,OfficialWebsite,MuseumDigitalPlaceId,TimeZone,CapitalCity,GettyThesaurusOfGeographicNamesId,CommonsCategory,GeoNamesId,CountryName,ArchInformLocationId,Country,AssociatedPeopleCategory,FlagImage,WhosOnFirstId,BirthCategory,MainCategory,OfficialName,NationalLibraryOfIsraelJ9uId,FreebaseId,LibraryOfCongressAuthorityId,OpenStreetMapRelationId,INaturalistPlaceId,GndId,DeathCategory,MusicBrainzAreaId,CoatOfArmsImage,MapsCategory
151419297.0,131,11814.0,27,184,1058551.0,338,623317.0,9,,202,246,320,421178993.0,328,338,225,9.870075309272051e+17,88,393,1749243.0,,279,249,160,104,205
168830626.0,24,2178.0,26,169,7002435.0,380,2017370.0,54,3034.0,175,372,223,85632685.0,221,368,230,9.870075309815052e+17,276,382,60189.0,7161.0,175,270,49,132,219
159626481.0,161,,21,126,,145,7532045.0,51,,31,390,350,1125400209.0,328,142,91,,176,415,3101237.0,,348,368,219,289,302
143849075.0,118,,10,184,7015717.0,119,4138106.0,69,,272,325,286,85688741.0,281,115,39,9.870075502493052e+17,512,79,162069.0,5.0,241,6,219,322,282
123964709.0,70,40033.0,26,184,1060581.0,464,690548.0,67,14971.0,277,314,276,101752807.0,270,455,251,9.870075668443052e+17,138,269,2692232.0,47297.0,214,329,210,227,302
130118559.0,117,2392.0,26,183,1000112.0,106,146669.0,18,3403.0,175,17,90,85632437.0,69,102,65,9.870075618024051e+17,64,131,3263726.0,10289.0,187,82,224,158,66
138983708.0,205,6438.0,25,11,,323,2988430.0,24,1335.0,88,237,379,85683255.0,195,321,100,9.870075552867052e+17,351,302,7394.0,99558.0,221,235,278,350,196
237038518.0,457,100424.0,26,184,,492,688455.0,67,,164,375,291,101859937.0,285,484,91,,415,0,2822414.0,46939.0,343,368,219,415,302
154758959.0,345,2180.0,25,239,7003692.0,28,2953481.0,27,2695.0,79,49,43,85682567.0,15,28,9,9.870075502952051e+17,438,167,62611.0,12870.0,33,25,109,282,19
141914082.0,0,32979.0,38,146,1000882.0,241,2267056.0,52,2830.0,206,177,350,85687367.0,319,238,91,9.870075645386052e+17,233,0,2897141.0,13203.0,301,173,115,322,142
3.228155648124718e+21,185,,21,170,,275,624891.0,9,,158,208,169,,328,274,91,9.870075671287052e+17,349,391,70616.0,15156.0,348,202,219,88,169
123297145.0,254,64540.0,27,184,,449,480060.0,54,14977.0,266,305,268,102002789.0,259,440,246,9.870075309543052e+17,84,385,930950.0,43515.0,206,319,215,215,258
127566385.0,167,6396.0,21,49,,222,3337500.0,51,8486.0,203,167,361,85687319.0,131,221,91,9.870074893178052e+17,462,3,223407.0,11615.0,320,162,28,343,130
127913055.0,189,,21,181,1003394.0,287,1527590.0,36,,124,216,347,85672987.0,328,288,215,9.870075624787052e+17,251,0,1251542.0,10965.0,328,211,98,314,302
