RaceCategory,HostCountry,RaceDate,ParticipantName,GeneralClassificationWinner,OfficialWebsite,ProCyclingStatsRaceId,NextEdition,EditionNumber,StartLocation,PreviousEdition,RaceWinner,RaceSeries,RaceName
5,2,15,6,5,11,210084.0,19,3,2,11,5,13,10
1,1,0,7,1,0,172973.0,0,59,10,0,1,6,0
5,0,15,9,11,12,247353.0,12,16,5,14,11,0,13
2,0,3,8,18,8,209899.0,8,74,11,9,18,10,19
2,0,2,13,13,9,180844.0,2,102,1,2,13,12,2
5,0,15,12,10,2,210041.0,3,15,4,3,10,0,3
1,0,4,2,2,6,219068.0,6,71,13,7,2,7,7
1,1,1,3,9,0,180736.0,1,60,10,1,9,6,1
5,3,15,0,16,7,210068.0,10,74,16,12,16,15,11
2,0,14,9,17,10,247154.0,14,44,7,17,17,3,17
1,0,5,16,3,16,219106.0,7,73,9,8,3,9,8
2,1,13,14,12,4,247313.0,13,84,14,15,12,2,14
1,0,6,16,14,5,219104.0,4,9,6,6,14,1,4
0,0,12,4,6,15,247626.0,16,52,15,16,6,8,15
4,3,10,5,7,1,247590.0,18,66,0,18,7,14,18
2,0,8,11,0,3,209928.0,5,81,9,5,0,5,6
2,1,9,11,15,17,209938.0,9,117,8,10,15,11,9
3,1,15,1,4,14,218479.0,11,49,3,13,4,16,12
2,0,11,15,8,8,247131.0,17,75,11,19,8,10,16
2,0,7,10,18,13,209927.0,15,62,12,4,18,4,5
