EventsParticipated,ProfileImage,OfficialWebsite,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,CurrentTeam,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Nationality,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportsReferencecomOlympicAthleteIdArchived
4,4,7,1183,1216.0,3,40183.0,9,140550,3,900,2,0,14815,76.0,4,,0,3,1921,129,184.0,11,0
0,5,0,3279,,4,,2,117850,4,2527,2,5,11469,,2,,7,3,1584,620,,2,0
2,9,0,6978,4377.0,6,7658.0,6,140865,6,1203,4,8,198213,76.0,11,111607.0,3,5,18964,31,181.0,0,4
4,7,0,19527,5123.0,5,,5,139895,5,5649,5,12,54750,75.0,10,,7,4,30897,824,182.0,10,0
4,8,6,6679,2086.0,2,170534.0,0,140786,2,12728,1,7,22143,82.0,7,125460.0,2,2,9414,377,184.0,12,3
1,1,0,8760,4179.0,1,42225.0,1,140749,1,6915,4,10,32691,78.0,12,121169.0,4,1,19407,406,181.0,5,5
4,2,5,3935,1015.0,10,,7,140117,10,3073,3,1,93403,68.0,8,,7,9,10543,1029,182.0,1,0
4,11,2,2747,3448.0,11,1352523.0,4,140768,11,2120,7,4,32923,70.0,9,113223.0,1,10,16824,14,175.0,8,2
4,12,0,10504,15.0,12,110416.0,8,140121,12,14899,0,2,11070,68.0,0,15573.0,6,11,5810,173,171.0,4,7
4,6,1,12976,151.0,8,,10,140101,8,17153,2,9,16611,73.0,6,103641.0,9,7,4004,67,183.0,9,8
4,10,4,8779,142.0,9,,7,140532,9,14116,3,3,11938,66.0,3,103636.0,5,8,8520,248,180.0,7,6
4,3,3,2453,73.0,7,475000.0,3,140846,7,1844,6,11,15924,81.0,5,103662.0,7,6,703,12,186.0,6,1
3,0,0,12542,10.0,0,,10,140365,0,16805,2,6,11372,73.0,1,,8,0,3676,179,184.0,3,0
