Maintaining_Authority,Administrative_Area,Google_Knowledge_Graph_Id
0,3,5
0,10,141
0,14,48
0,3,124
0,0,2
0,2,10
0,13,50
0,3,72
0,14,91
0,0,31
0,0,46
0,3,30
0,0,158
0,1,66
0,3,75
0,3,127
0,14,73
0,3,86
0,0,115
0,11,114
0,14,94
0,11,99
0,5,95
0,1,16
0,3,28
0,14,122
0,17,153
0,0,107
0,9,49
0,3,130
0,1,138
0,15,17
0,10,67
0,16,88
0,1,116
0,12,117
0,9,142
0,16,112
0,3,26
0,3,143
0,0,70
0,10,7
0,1,148
0,15,58
1,7,60
0,3,100
0,16,119
0,10,106
0,9,63
0,1,40
0,3,152
0,14,11
0,6,74
0,8,154
0,14,128
0,14,137
0,14,125
0,6,71
0,1,52
0,14,105
0,3,13
0,6,146
0,3,133
0,0,38
0,13,19
0,11,15
0,3,54
0,14,23
0,3,101
0,3,160
0,14,103
0,8,56
0,2,144
0,16,79
0,14,64
0,10,82
0,17,118
0,17,59
0,11,139
0,10,65
0,13,47
0,2,78
0,15,121
0,14,37
0,2,27
0,16,93
0,9,8
0,1,9
0,17,45
0,8,136
0,14,81
0,1,97
0,6,36
0,6,43
0,3,76
0,17,61
0,13,87
0,11,35
0,8,90
0,12,55
0,4,162
0,1,18
0,14,135
0,3,150
0,16,80
0,0,83
0,10,157
0,0,92
0,3,25
0,3,147
0,13,42
0,9,68
0,1,39
0,3,1
0,0,109
0,1,57
0,13,69
0,13,51
0,3,111
0,3,20
0,1,162
0,3,3
0,3,14
0,12,6
0,5,12
0,17,145
0,10,161
0,3,132
0,14,151
0,15,156
0,9,62
0,10,134
0,12,32
0,3,0
0,1,98
0,3,149
0,17,22
0,13,159
0,3,123
0,0,53
0,2,41
0,10,102
0,11,131
0,6,29
0,3,24
0,0,33
0,8,120
0,15,34
0,1,110
0,14,162
0,9,129
0,1,4
0,1,84
0,1,104
0,13,140
0,12,113
0,17,89
0,16,162
0,1,96
0,3,108
0,6,85
0,9,126
0,3,21
0,13,77
0,3,155
0,1,44
