StrandOrientation,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription
1,10,407549,143,143,0,15,406749,11
1,82,643595,19,19,0,20,642765,11
0,51,316903,136,136,0,4,315689,29
0,79,190939,254,254,0,5,189335,0
1,26,2173429,195,195,0,19,2172779,24
0,101,1188618,206,206,0,15,1187623,37
1,74,13960,17,17,1,28,13361,2
1,5,432941,216,216,1,15,432381,0
1,10,992655,224,224,0,15,991897,11
0,55,1745136,203,203,0,20,1744339,16
0,75,462427,183,183,0,16,461594,11
0,65,1049347,138,138,0,15,1048619,15
1,60,25566,239,239,0,81,24859,0
0,75,313057,152,152,0,16,312338,16
0,95,4472,229,229,0,77,3321,22
0,10,1057942,137,137,0,15,1056725,21
1,88,15410,240,240,1,43,14340,2
0,49,265338,260,260,0,5,264103,28
0,3,1047,2,2,0,21,259,25
1,82,1222996,114,114,0,20,1222181,16
0,49,1588977,129,129,0,18,1588012,37
1,73,12897,8,8,0,25,11857,0
1,10,997273,225,225,0,15,996476,11
0,50,1062126,210,210,0,17,1060936,23
1,91,363876,163,163,0,13,363610,0
1,7,1075329,5,5,0,15,1075195,1
0,51,261357,61,61,0,4,260583,0
1,90,33929,176,176,0,2,32910,20
1,34,1564778,76,76,0,20,1564014,16
1,10,724125,98,98,0,15,723133,37
0,79,231201,259,259,0,5,230431,32
0,9,445921,22,22,1,4,445157,2
1,104,5205,105,105,1,58,4201,2
0,97,13702,29,29,1,45,12743,2
1,29,227094,23,23,0,13,226831,1
1,55,2202990,67,67,0,20,2202343,24
0,84,77977,43,43,0,3,77144,11
1,34,1905082,71,71,0,20,1904309,11
0,62,2162466,68,68,0,20,2161639,11
1,10,537352,91,91,0,15,536177,21
1,0,11189,50,50,0,50,10047,22
0,79,603523,101,101,0,5,602549,33
1,44,1790,11,11,1,26,1116,2
1,67,884301,144,144,1,15,883339,2
0,103,1639752,130,130,0,18,1638709,19
0,98,153559,247,247,0,82,152606,36
1,0,26139,30,30,0,46,25351,11
0,15,1604402,198,198,0,19,1603254,17
1,99,750678,159,159,0,19,750031,24
0,7,277578,85,85,0,15,276769,11
1,13,1592913,77,77,1,20,1591840,40
1,37,365512,38,38,0,4,364310,22
0,16,25842,212,212,1,75,24370,2
