LanguagesSpoken,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Nationality,TwitterUsername,Birthplace,UciRiderId,ProfileDescription,WeightKg,Birthdate,LastName,FirstName,CyclingArchivesCyclistId,PrabookId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
1,4,,19953,4,9081.0,137740,4,56690.0,2,3,7,81980,2,76.0,8,6,4,77405,5,14737,2,189.0,0
5,3,52673.0,19070,3,13561.0,137769,3,,6,1,3,79921,9,,5,0,3,71836,5,7639,7,178.0,8
3,5,39238.0,13078,5,10240.0,140385,5,4591.0,4,7,9,284170,8,66.0,3,1,5,22432,1,780,7,182.0,7
3,8,48135.0,17635,8,,140634,8,29008.0,4,5,4,53903,6,74.0,1,7,8,38067,5,3118,7,182.0,3
1,1,43344.0,16653,0,63128.0,140818,0,45469.0,2,0,1,64670,3,78.0,6,3,0,52068,4,2337,0,181.0,4
5,9,,26538,10,1853.0,185254,10,,1,9,0,748933,1,,10,10,10,106065,5,38229,3,,8
5,6,49271.0,17944,7,,140513,7,55922.0,6,5,8,62805,10,64.0,4,8,7,38091,5,2980,5,171.0,6
1,0,47767.0,18714,1,33298.0,137724,1,55992.0,2,6,10,68950,3,58.0,7,2,1,38737,2,16752,6,169.0,5
0,2,53630.0,19651,2,40766.0,168753,2,,0,2,11,78094,0,61.0,11,4,2,71432,3,16573,1,165.0,1
2,11,52044.0,20798,9,9184.0,132438,9,66541.0,3,4,2,86938,4,70.0,9,9,9,71789,0,16643,4,183.0,8
4,10,,9984,11,,135897,11,,5,5,6,33917,7,,0,5,11,33661,5,3190,5,165.0,8
3,7,39287.0,13240,6,66281.0,140835,6,10495.0,4,8,5,55029,5,67.0,2,11,6,21075,5,1310,7,178.0,2
