Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,11996370,52,52,1,4,0,11994619,0
0,2176074,8,8,1,3,0,2173822,0
0,3263510,18,18,1,3,0,3262518,1
0,8175499,33,33,1,3,0,8174561,1
0,22366722,86,86,3,3,0,22365805,1
0,18034173,71,71,3,8,0,18033193,0
0,13837817,58,58,2,3,0,13836696,0
0,11464520,49,49,1,4,0,11462589,0
0,2409527,11,11,2,3,0,2408865,1
0,22780026,90,90,3,8,0,22779001,0
0,2956426,16,16,2,6,0,2955563,1
0,6650810,30,30,2,6,0,6649504,1
0,15552221,63,63,1,3,0,15549750,0
0,16554165,67,67,3,3,0,16551901,1
0,4287060,22,22,2,3,0,4285357,1
0,20342521,74,74,3,3,0,20341259,1
0,9613514,41,41,2,3,0,9612390,0
0,1047729,7,7,1,6,0,1047100,0
0,4795291,24,24,1,6,0,4794295,1
0,11372104,47,47,1,4,0,11370677,1
0,3332030,19,19,2,3,0,3330351,1
0,23802860,95,95,2,4,0,23802345,0
1,4118166,20,20,4,7,1,4116199,0
0,11898553,51,51,1,3,0,11896367,0
0,24301722,98,98,3,3,0,24299593,1
1,505867,3,3,0,1,1,504683,0
0,11725924,50,50,2,4,0,11723685,1
0,12836026,55,55,1,3,0,12834782,1
0,6392825,29,29,2,3,0,6390597,0
0,8798973,36,36,2,8,0,8796721,1
0,5271180,26,26,1,3,0,5270266,0
1,2564774,12,12,4,5,1,2562631,0
0,12688657,53,53,2,4,0,12687579,0
0,4868024,25,25,1,3,0,4867473,0
0,23447838,92,92,2,8,0,23447218,1
0,1016782,5,5,2,3,0,1014533,1
1,23802012,94,94,0,7,1,23801011,0
0,7967108,32,32,1,3,0,7965165,1
0,20485261,75,75,2,3,0,20483000,1
0,12831055,54,54,2,3,0,12829310,1
0,21211189,79,79,2,3,0,21210206,0
1,21783921,83,83,4,7,1,21781632,0
0,1021038,6,6,1,3,0,1018726,0
0,2207377,9,9,1,3,0,2205470,0
0,22435858,87,87,5,3,0,22433813,1
0,459187,2,2,1,4,0,458294,0
1,2569869,13,13,0,0,1,2567808,0
0,6168822,28,28,2,4,0,6167727,0
0,13567233,57,57,1,4,0,13566216,0
0,20509228,76,76,3,8,0,20508290,1
1,625564,4,4,0,5,1,623563,0
0,15485527,62,62,2,3,0,15483887,0
0,22028199,85,85,3,4,0,22026512,0
0,22708989,88,88,2,3,0,22707574,1
0,9268739,40,40,1,3,0,9267837,1
0,8804662,37,37,1,8,0,8802437,1
0,16505641,65,65,2,3,0,16503965,1
0,8184305,34,34,1,3,0,8183049,1
0,16508468,66,66,2,3,0,16506867,1
1,11181620,46,46,4,7,1,11179739,0
0,23973217,97,97,3,3,0,23972078,1
0,14857487,61,61,2,3,0,14855931,1
0,20802281,77,77,3,4,0,20801291,0
0,6934931,31,31,2,4,0,6934113,1
0,10143236,43,43,2,3,0,10141842,0
0,18081210,72,72,2,3,0,18078931,1
0,8793365,35,35,2,8,0,8792052,1
0,17714007,70,70,3,3,0,17711731,1
0,23838762,96,96,3,3,0,23836501,1
0,10089839,42,42,2,3,0,10088451,0
0,14023398,60,60,2,4,0,14022418,0
0,4681588,23,23,1,3,0,4679333,0
0,23794678,93,93,3,4,0,23793193,1
1,10376605,44,44,0,5,1,10374419,0
0,11448216,48,48,1,3,0,11446408,1
0,21705992,82,82,2,4,0,21705274,0
0,5580562,27,27,2,3,0,5579401,0
0,4172542,21,21,1,3,0,4171208,0
0,22756821,89,89,3,3,0,22754536,0
0,49903,0,0,2,3,0,48200,0
0,9015817,39,39,2,6,0,9013593,0
0,2921001,15,15,2,3,0,2918737,1
0,239835,1,1,1,4,0,239235,0
0,2995357,17,17,2,3,0,2993120,0
0,21479783,81,81,3,3,0,21478365,0
0,21130236,78,78,2,3,0,21127996,1
0,17420742,69,69,3,3,0,17418463,0
0,22835806,91,91,3,4,0,22834331,1
0,14022240,59,59,1,4,0,14021446,0
1,17296111,68,68,4,5,1,17294360,0
0,16426637,64,64,2,3,0,16424412,1
0,24595701,99,99,2,2,0,24593912,0
0,2719577,14,14,1,3,0,2718561,0
0,10637386,45,45,1,3,0,10636079,1
0,13398519,56,56,1,3,0,13396177,1
0,21997160,84,84,2,8,0,21996177,0
0,2408736,10,10,1,4,0,2407756,1
0,19120773,73,73,3,3,0,19118842,0
0,9006166,38,38,2,6,0,9005404,0
0,21301605,80,80,3,8,0,21300769,0
