Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1160395,347,347,3,56,1159709,0
1,18293,404,404,3,156,17649,0
0,7200,135,135,4,24,6637,0
0,55025,359,359,4,100,54438,0
0,1464254,88,88,4,96,1463646,0
0,494817,204,204,4,14,494134,1
0,2016292,329,329,4,62,2015537,0
0,9057,388,388,4,90,8128,0
0,4555,132,132,4,130,3962,0
0,683253,98,98,4,58,682675,0
1,844685,368,368,3,112,844098,0
1,112468,401,401,1,37,111971,0
0,4870,340,340,4,139,4217,0
0,2682,265,265,4,130,1954,0
0,163066,8,8,4,142,162521,1
0,1955674,332,332,4,160,1955171,0
0,756041,99,99,4,96,755460,1
0,1368555,309,309,4,75,1367977,1
0,1487064,92,92,4,28,1486369,1
0,36247,72,72,4,63,35642,1
0,265007,259,259,4,5,264339,0
0,120884,34,34,2,106,120498,0
0,1921473,108,108,4,58,1920904,1
0,458814,352,352,4,99,458125,0
0,308712,370,370,4,26,308044,0
0,548591,227,227,2,41,548190,0
0,1604078,116,116,4,75,1603452,0
0,85370,61,61,4,76,84681,0
0,17407,262,262,4,42,16820,0
0,1033564,299,299,4,167,1032920,0
1,1738968,27,27,3,41,1738420,0
0,6677,379,379,4,89,6162,1
0,278070,223,223,4,157,277438,1
0,1731530,336,336,4,58,1730895,0
0,477620,207,207,4,112,476973,0
0,567879,381,381,2,88,567310,0
0,10321,126,126,4,42,9749,0
0,1686468,112,112,4,96,1685914,0
0,7629,231,231,4,42,6979,0
0,1645,356,356,4,104,1004,0
0,376974,55,55,4,150,376393,1
1,807869,24,24,3,117,807330,1
0,426818,138,138,4,128,426186,1
0,39701,52,52,4,42,39237,1
0,307213,260,260,4,14,306524,0
0,782,46,46,4,126,129,1
0,1132814,317,317,4,58,1132212,1
0,30799,73,73,4,67,30158,1
0,159847,67,67,4,98,159101,1
0,717564,271,271,4,122,716974,1
0,1637787,114,114,4,58,1637185,1
0,487905,171,171,4,150,487330,0
1,356421,430,430,3,137,355831,1
0,1932015,107,107,4,96,1931470,0
0,2027,39,39,4,71,1341,0
0,1743790,335,335,4,58,1743146,0
0,515441,208,208,4,65,514617,0
0,1118634,319,319,4,152,1117975,1
1,347837,17,17,3,9,347313,0
0,250738,323,323,4,157,250097,0
0,1579,3,3,4,166,1004,1
0,570400,76,76,4,114,569783,0
0,552848,146,146,4,163,552180,1
0,52129,266,266,4,130,51491,0
1,19103,380,380,3,31,18480,1
0,4829,258,258,4,38,4128,0
0,599763,234,234,4,6,598996,1
0,430625,12,12,4,133,430509,0
0,1148872,410,410,4,34,1148204,0
0,339516,226,226,4,82,338926,0
0,1581481,216,216,4,84,1580900,1
0,1081012,406,406,4,169,1080440,1
0,15668,344,344,4,20,15015,0
0,6518,304,304,4,150,5874,1
0,26110,306,306,4,31,25487,1
1,504309,428,428,3,145,503911,1
0,668902,150,150,4,77,668282,1
0,1995197,218,218,4,149,1994529,0
0,216763,322,322,4,143,216122,0
1,588625,158,158,3,108,587969,1
0,416038,383,383,4,64,415541,0
1,463493,101,101,3,79,462885,1
0,14001,394,394,4,153,13402,1
1,385637,20,20,3,56,384969,0
0,602338,320,320,4,92,601643,1
0,1845,389,389,2,87,1489,1
0,314714,123,123,4,25,314181,0
0,1473130,87,87,4,27,1472456,0
0,1134002,408,408,4,48,1133424,1
0,444695,31,31,4,110,444042,0
0,42175,386,386,4,149,41594,0
0,9261,128,128,4,42,8539,0
0,382637,57,57,4,157,382086,0
0,35038,303,303,4,120,34388,1
0,410050,249,249,4,23,409331,0
1,13194,349,349,3,105,12661,1
0,641578,83,83,4,55,640880,1
0,320021,423,423,4,97,319437,1
0,70385,300,300,4,158,69732,0
0,2893,384,384,4,147,2228,0
0,36160,19,19,4,54,35462,1
1,628319,185,185,3,65,627354,1
0,1066542,405,405,4,69,1065931,1
0,438865,351,351,4,21,438233,0
0,331967,154,154,4,133,331098,0
1,499409,366,366,3,56,498789,0
0,262228,37,37,4,168,261515,0
0,340144,413,413,4,98,339536,0
0,224418,168,168,4,21,223792,0
0,17055,48,48,4,42,16375,0
0,1049,286,286,4,68,204,1
0,807166,153,153,4,116,806492,1
1,874302,276,276,3,117,873739,1
0,281,10,10,5,73,3,1
0,16035,342,342,4,53,15472,0
0,301818,280,280,4,31,301183,1
0,6125,11,11,4,73,5631,1
0,578960,77,77,4,114,578253,0
0,1670681,28,28,4,122,1670067,0
1,544317,148,148,1,112,543658,0
0,278450,245,245,4,46,277617,0
0,473006,254,254,4,133,472107,0
0,16573,166,166,4,126,15977,0
0,1236,125,125,4,0,691,0
0,2152710,106,106,4,160,2152117,1
0,218124,167,167,4,21,217234,0
0,497850,296,296,4,42,497083,1
0,653543,84,84,4,55,652923,1
0,729959,96,96,4,17,729363,0
0,350824,414,414,2,98,350453,1
0,584282,133,133,4,6,583626,1
0,425782,142,142,2,47,425384,0
1,1261581,324,324,3,129,1260970,0
0,160801,403,403,4,49,160181,0
1,10872,104,104,3,102,10210,0
0,412598,282,282,4,45,411981,1
0,514088,295,295,4,42,513441,1
0,667099,4,4,4,6,666332,1
0,244449,290,290,4,119,243556,0
0,223254,291,291,4,23,222562,0
0,266589,177,177,4,21,265723,0
0,1078119,194,194,4,160,1077559,0
0,198335,42,42,4,6,197730,1
0,1243238,188,188,4,160,1242540,1
0,1176204,399,399,4,5,1175530,0
0,6197,387,387,4,154,5628,0
0,38888,79,79,4,57,38181,1
0,374682,41,41,4,17,374062,0
0,1420673,91,91,4,160,1420101,0
0,388432,196,196,2,74,388043,1
0,70633,59,59,4,126,70109,0
0,11230,374,374,4,125,10535,0
0,694973,307,307,4,70,694383,0
0,1677970,118,118,4,136,1677395,0
0,5761,375,375,4,22,5141,0
0,1886263,219,219,4,101,1885670,0
0,311313,422,422,4,135,310645,1
0,274287,174,174,4,98,273715,1
0,456160,321,321,4,118,455483,0
0,36542,385,385,4,149,35961,1
0,541203,103,103,4,65,540331,0
0,375081,122,122,4,25,374536,1
0,1142859,409,409,4,48,1142287,1
0,1481322,93,93,4,75,1480762,1
0,1306828,210,210,4,91,1306226,1
0,1739,6,6,4,34,1236,1
0,405277,141,141,4,31,404699,0
0,1587490,213,213,4,91,1586741,0
0,2442,287,287,4,29,1612,1
0,327963,424,424,4,97,327337,1
0,1411596,21,21,4,17,1410949,0
0,260483,178,178,4,99,259935,0
0,917604,275,275,4,101,916954,0
0,358436,279,279,2,57,358038,1
0,11470,47,47,2,126,11081,1
0,371048,278,278,4,98,370350,1
0,1943209,9,9,4,58,1942577,0
0,7470,270,270,4,126,6853,1
0,76266,281,281,4,47,75574,1
0,21243,14,14,4,16,20602,1
0,605996,240,240,4,6,605367,1
0,332148,411,411,4,98,331510,0
