Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,493953,87,1,493609,0
1,9446,81,1,7647,0
0,5255,73,0,2763,0
0,287968,34,0,286817,0
1,2113129,4,1,2112008,1
1,456990,37,1,456034,0
1,524283,28,1,523744,0
1,446968,55,1,445976,0
1,389254,84,1,388238,1
0,415,77,0,74,0
1,34900,83,1,34403,0
0,1568049,32,0,1567459,1
1,806760,70,1,805210,0
1,752839,23,1,752246,1
1,1050401,92,1,1050087,1
1,435956,9,1,435030,1
1,796791,67,1,795304,0
1,57693,62,1,56791,1
1,1786875,46,1,1786159,1
1,776048,25,1,775092,0
1,155295,90,1,154171,0
0,14817,16,0,14209,0
0,69017,91,0,68592,1
1,1037381,93,1,1036476,1
1,1751697,6,1,1751281,0
1,318778,35,1,318386,0
1,1078009,0,1,1077569,1
1,994934,13,1,993237,0
0,556441,27,0,555500,0
1,1575106,47,1,1574483,0
1,810033,66,1,808633,0
1,1226536,42,1,1225625,1
0,415202,8,0,414870,0
1,520133,88,1,519183,1
0,579,44,0,1,1
1,1605890,79,1,1605162,0
1,1285729,41,1,1284860,1
1,767190,26,1,766081,0
1,145136,58,1,143469,1
0,6256,14,0,4343,1
1,3678,40,1,1996,1
0,434997,7,0,434554,1
0,457660,38,0,457121,0
1,26464,53,1,24623,1
1,60707,63,1,60483,0
0,623355,24,0,622414,1
1,310242,36,1,309811,0
0,409340,95,0,408633,0
0,14261,89,0,11517,1
0,292232,48,0,291777,0
1,1643722,30,1,1642802,1
1,84542,20,1,84111,1
0,2665,12,0,1541,1
1,1180888,78,1,1179752,1
0,309976,51,0,309383,0
0,598,59,0,2,1
0,876723,50,0,875551,0
1,1445532,21,1,1444765,1
1,829655,3,1,828978,1
1,1493,82,1,471,1
1,1115404,69,1,1114712,1
1,2418,11,1,715,1
1,447558,86,1,447142,1
0,1735953,72,0,1735636,0
1,1067748,80,1,1067248,0
0,2026309,10,0,2025506,1
1,483,19,1,1,1
0,1735532,71,0,1734645,0
1,647282,5,1,646296,1
1,787501,68,1,786539,0
0,18905,61,0,17574,1
1,703062,65,1,702091,0
1,1021876,54,1,1021316,0
1,3924,60,1,2239,1
1,302448,33,1,301999,0
1,796821,75,1,795886,0
1,15756,43,1,14755,1
1,156954,97,1,155782,0
0,459577,76,0,458618,0
0,747945,57,0,745645,0
0,43740,64,0,43105,0
1,479784,85,1,478387,1
0,12112,18,0,11726,0
0,3821,15,0,1521,1
1,1680779,31,1,1680060,0
0,11816,45,0,9516,1
1,571767,74,1,570709,1
1,1658775,29,1,1658077,1
1,1430208,22,1,1429318,0
1,1217,96,1,24,0
1,75990,1,1,74263,1
0,828817,2,0,828224,1
1,408301,94,1,407363,0
1,1000,39,1,2,0
1,571876,56,1,570902,0
1,2307,49,1,1621,1
1,322283,52,1,321357,0
0,11716,17,0,11321,0
