Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,TwitterUsername,Birthplace,UciRiderId,NativeName,WeightKg,BirthDate,SportsTeam,OlympediaPeopleId,LastName,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,SportCountry
0,4,69978.0,26420.0,1,1,,198040,1,5,1,500320.0,0,,19,12,,4,1,6,70760,53723,10,177.0,8
0,13,57092.0,21128.0,7,7,3162.0,162969,7,14,10,76315.0,2,64.0,12,3,140884.0,8,7,12,76333,16578,7,180.0,1
0,8,50317.0,18455.0,11,0,2094.0,138294,0,0,4,68778.0,8,70.0,8,1,1303548.0,5,0,14,61900,6230,3,175.0,7
1,10,39287.0,13240.0,6,6,66281.0,140835,6,12,13,55029.0,8,67.0,0,8,122451.0,20,6,14,21075,1310,13,178.0,6
0,12,,21504.0,15,15,2276.0,132346,15,4,22,86696.0,7,71.0,11,6,,10,15,14,72663,16817,13,183.0,8
0,17,46998.0,16666.0,21,21,22458.0,140492,21,18,8,64680.0,8,71.0,4,20,,3,21,14,48356,2338,1,176.0,6
0,19,57472.0,21342.0,18,18,317302.0,178184,18,7,9,91656.0,8,62.0,10,2,142266.0,10,18,11,66785,23097,12,170.0,5
0,14,58116.0,22910.0,17,19,15237.0,170625,19,16,7,99713.0,11,78.0,14,10,142862.0,10,19,13,81488,27111,2,186.0,8
0,22,66570.0,27708.0,23,23,,202331,23,8,15,109775.0,8,58.0,20,21,143137.0,12,23,3,119805,65025,10,170.0,10
0,20,39842.0,12843.0,14,13,1311517.0,140292,13,3,20,67388.0,5,58.0,3,4,141955.0,14,13,14,57418,2276,0,166.0,3
0,6,38255.0,16936.0,0,12,,133702,12,5,2,58398.0,8,,5,19,,2,12,14,52226,6227,10,184.0,6
0,1,89309.0,29699.0,19,20,,211947,20,5,3,353375.0,12,,21,0,,0,20,9,144923,81835,9,174.0,3
0,11,49621.0,18313.0,10,10,3871.0,133720,10,6,21,70623.0,4,70.0,7,3,,13,10,14,57216,8388,7,182.0,1
0,9,69190.0,25740.0,9,9,,196424,9,9,11,112082.0,8,,17,15,,19,9,4,115868,38195,10,175.0,4
0,0,83296.0,29828.0,8,8,,208539,8,5,14,165041.0,3,63.0,23,16,,21,8,8,113260,76474,10,171.0,2
0,7,65453.0,26508.0,4,4,,195739,4,5,16,150923.0,1,69.0,18,7,147406.0,7,4,2,113772,48539,10,183.0,11
0,18,,24346.0,22,22,,179111,22,5,0,100931.0,8,,16,9,,22,22,5,107949,37376,8,183.0,8
0,5,,,2,2,,242423,2,1,6,667300.0,8,,24,6,,18,2,10,148733,112241,11,,8
0,21,,22744.0,20,14,1543.0,132419,14,15,5,747569.0,6,68.0,13,5,,16,14,0,70980,16576,13,180.0,0
0,16,56041.0,20719.0,16,16,127549.0,174582,16,17,19,88889.0,9,65.0,2,18,135863.0,15,16,14,72449,18655,6,177.0,8
0,3,52879.0,19448.0,12,11,15757.0,132428,11,2,17,73817.0,8,,9,17,1303134.0,9,11,14,71390,7695,5,184.0,8
0,24,58050.0,20184.0,0,24,,135591,24,5,23,89133.0,13,72.5,6,18,,1,24,14,71225,19274,13,173.0,2
0,23,70754.0,29492.0,5,5,,227948,5,11,12,236644.0,8,,22,13,145783.0,17,5,7,134569,82572,10,173.0,8
0,15,63024.0,23763.0,3,3,2760.0,193292,3,10,18,97805.0,8,66.0,15,14,,11,3,1,108136,42186,4,188.0,8
0,2,43386.0,14310.0,13,17,35954.0,140509,17,13,24,53804.0,10,62.0,1,11,135495.0,6,17,14,36343,3991,0,173.0,9
