Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Ortholog_Gene
0,0,1713823,10,10,2,1711409,87
1,0,32772,100,100,1,29866,117
1,0,373899,31,31,2,371611,26
1,0,721934,78,78,2,719244,34
0,0,428427,91,91,3,425755,84
1,0,1516533,46,46,2,1514173,62
0,0,465591,163,163,2,462814,113
1,0,54199,34,34,2,51578,46
1,0,952113,118,118,1,949273,39
0,0,1024944,233,233,2,1022305,86
1,0,199898,38,38,1,197364,94
0,0,404584,120,120,2,402206,93
0,0,473501,202,202,3,470631,122
0,0,246580,90,90,2,243767,4
0,0,33755,29,29,2,30969,56
0,0,355891,244,244,2,353552,117
0,0,602339,47,47,2,600009,62
1,0,1100880,194,194,1,1098211,39
0,0,1123469,221,221,1,1120611,95
1,0,1147282,168,168,2,1144757,62
1,0,32977,216,216,1,30248,115
1,0,33431,28,28,2,30843,99
0,0,184674,7,7,2,182293,96
1,0,1757922,188,188,2,1755496,33
0,0,553480,173,173,3,550610,66
0,0,16153,32,32,2,13502,46
1,0,292921,245,245,2,290183,119
0,0,256062,178,178,2,253732,121
0,0,25495,53,53,2,22811,99
1,0,8691,195,195,2,6085,29
1,0,180436,213,213,2,177890,44
1,0,15222,212,212,2,12538,6
0,0,849988,205,205,2,847319,80
1,0,1919214,106,106,2,1916677,74
0,0,546874,144,144,2,544250,106
0,0,1014233,136,136,1,1011738,28
0,0,519004,251,251,2,516413,75
0,0,1176004,167,167,2,1173581,105
1,0,82609,139,139,3,79808,42
0,0,316755,121,121,1,314314,95
0,0,622377,44,44,2,620053,8
1,0,483376,99,99,2,480707,108
0,0,1314205,93,93,2,1311887,112
1,0,1015945,209,209,2,1013150,72
1,0,204433,66,66,2,201761,45
0,0,1745786,15,15,2,1743231,74
1,0,125132,84,84,2,122370,47
0,0,17633,24,24,1,14982,65
0,0,4209,123,123,2,1423,68
0,0,187941,232,232,2,185287,37
0,0,1035713,61,61,2,1032837,50
0,0,425184,137,137,2,422410,54
0,0,513629,257,257,3,510834,83
1,0,565358,86,86,2,563163,112
0,0,1115182,220,220,2,1112378,78
0,0,432436,160,160,1,429818,62
1,0,218715,58,58,2,215884,71
1,0,86749,154,154,1,84020,69
0,0,396102,73,73,1,393418,94
0,0,107074,254,254,1,104540,73
0,0,602587,45,45,2,600077,86
0,0,389747,165,165,1,387120,126
0,0,422008,200,200,2,419294,32
0,0,1065877,198,198,2,1063010,111
0,0,378614,164,164,2,375975,88
0,0,309384,112,112,2,306937,121
1,0,585607,85,85,2,583331,119
0,0,7162,22,22,2,4697,46
1,0,650434,42,42,3,647633,38
1,0,23290,218,218,2,20606,74
0,0,9867,64,64,2,7462,99
1,0,442799,201,201,1,439932,48
1,0,1695278,9,9,2,1692543,41
0,0,700388,17,17,2,697620,107
0,0,14845,50,50,3,11996,51
0,0,8092,214,214,2,5759,43
1,0,13979,197,197,1,11352,0
0,0,1045611,208,208,3,1042786,72
0,0,15062,89,89,2,12438,46
0,0,1061168,114,114,4,1059124,72
1,0,8115,172,172,3,5269,45
1,0,379418,170,170,2,376740,52
1,0,1966199,105,105,2,1963551,40
0,0,585177,204,204,3,582301,22
0,0,475012,143,143,2,472298,114
0,0,1324430,92,92,2,1322082,62
1,0,1096585,235,235,2,1093946,102
1,0,9580,196,196,1,6749,38
1,0,50888,153,153,2,48174,52
1,0,1062895,234,234,2,1060310,86
0,0,758419,48,48,2,756089,21
0,0,12594,152,152,2,9967,46
1,0,9089,217,217,2,6579,23
0,0,45075,126,126,1,42286,25
1,0,1578209,102,102,1,1575672,110
0,0,1818146,110,110,2,1815771,102
0,0,466038,176,176,2,463714,65
0,0,1851640,108,108,2,1848668,81
0,0,139709,253,253,2,138117,91
0,0,290907,119,119,1,288478,17
1,0,1171520,41,41,2,1169280,7
1,0,2047179,184,184,2,2044399,81
0,0,800723,166,166,2,798375,3
1,0,12158,13,13,2,9363,55
0,0,21771,87,87,2,19363,46
0,0,488327,203,203,3,485541,22
0,0,454333,159,159,2,451748,107
0,0,262330,243,243,2,259847,84
0,0,568854,259,259,2,566233,106
1,0,16377,146,146,2,13513,46
1,0,180486,37,37,2,177754,42
0,0,1596686,185,185,2,1594209,40
0,0,301826,242,242,2,299487,90
0,0,736453,82,82,3,733583,72
0,0,1006971,1,1,5,1005142,82
0,0,20976,60,60,2,18310,8
0,0,5331,151,151,2,2932,99
1,0,629809,115,115,3,627020,5
0,0,1825289,187,187,2,1822929,62
0,0,590672,258,258,1,588504,62
1,0,6553,122,122,2,4166,63
0,0,1152306,222,222,2,1149583,116
1,0,13678,157,157,2,10931,15
0,0,468388,71,71,3,465485,80
0,0,476059,150,150,1,473501,104
1,0,1152001,179,179,1,1149578,110
1,0,1007699,206,206,2,1005114,72
1,0,1129346,169,169,2,1126764,62
0,0,696919,76,76,2,694046,22
0,0,1156973,236,236,2,1154469,30
1,0,221070,142,142,2,218443,86
0,0,463778,83,83,2,460986,35
0,0,11062,6,6,2,8450,36
1,0,1553361,181,181,2,1550629,41
0,0,280853,67,67,2,278046,127
0,0,546370,49,49,2,543824,96
0,0,399549,238,238,2,396772,54
0,0,57145,59,59,3,54284,92
0,0,817323,81,81,2,814468,72
0,0,408107,19,19,1,405750,23
1,0,60414,227,227,2,57859,12
1,0,988200,207,207,2,985546,34
1,0,7898,12,12,2,5274,64
0,0,245264,51,51,2,242583,2
0,0,4732,125,125,2,2051,99
0,0,21506,62,62,2,18858,99
1,0,23129,128,128,3,20358,99
0,0,428401,72,72,2,425663,76
1,0,950785,134,134,2,948302,40
0,0,34218,63,63,2,31414,99
0,0,2065088,103,103,1,2062416,28
0,0,15093,158,158,3,12226,128
0,0,1251196,180,180,2,1248512,120
1,0,352788,249,249,2,350182,111
1,0,565683,141,141,2,563344,117
1,0,10603,8,8,3,7772,1
1,0,212927,0,0,5,211077,24
0,0,1200167,193,193,2,1197396,34
0,0,652210,98,98,2,649424,11
1,0,10893,94,94,2,8359,60
1,0,4709,33,33,2,2067,51
0,0,119436,255,255,2,116878,13
1,0,14331,230,230,2,11776,24
0,0,1633076,186,186,1,1630521,28
0,0,7054,124,124,2,4541,51
1,0,456596,18,18,2,453903,37
1,0,3590,211,211,2,942,29
0,0,1816759,189,189,2,1814429,112
1,0,2010450,111,111,2,2008033,113
1,0,529696,175,175,2,526820,66
0,0,272153,68,68,2,269451,72
1,0,423886,69,69,2,421607,117
1,0,408724,140,140,1,406415,31
0,0,1189938,225,225,2,1187140,109
0,0,25731,11,11,3,22858,58
0,0,35248,54,54,2,32438,99
1,0,2099,4,4,5,3,124
0,0,867065,117,117,2,864531,72
1,0,460231,149,149,2,457457,24
0,0,2113696,55,55,1,2111357,28
0,0,783613,80,80,2,780839,34
1,0,35322,191,191,2,32611,63
0,0,506933,21,21,3,504105,72
1,0,41459,219,219,3,38613,108
0,0,584285,174,174,0,581721,21
0,0,404953,162,162,2,402317,88
0,0,16042,113,113,3,13142,51
1,0,574686,148,148,1,571897,93
1,0,596823,97,97,2,594229,118
0,0,71558,155,155,1,69066,77
0,0,1102343,226,226,2,1099539,78
0,0,556640,252,252,2,553878,98
0,0,22835,147,147,2,20457,99
0,0,65602,27,27,2,62846,46
1,0,2171498,182,182,2,2169063,102
1,0,3099,88,88,2,313,51
1,0,2201057,57,57,2,2198634,112
0,0,1865809,107,107,2,1862957,74
1,0,2060220,183,183,2,2057611,102
1,0,8030,145,145,2,5538,51
1,0,54570,30,30,3,51787,56
1,0,12466,229,229,2,9926,103
1,0,1650945,14,14,2,1648582,125
0,0,1181628,224,224,2,1179322,78
1,0,580806,96,96,5,578836,85
0,0,321121,171,171,2,318503,97
1,0,880730,135,135,2,877992,40
1,0,7331,95,95,3,4482,61
1,0,156435,36,36,3,153649,86
1,0,249052,75,75,2,246272,3
1,0,344245,16,16,2,341906,100
1,0,194602,248,248,3,191840,86
0,0,536061,256,256,2,533287,88
0,0,1828534,109,109,2,1825916,86
1,0,450835,70,70,2,448496,117
0,0,14547,23,23,2,12235,46
0,0,417885,138,138,2,415123,53
1,0,237391,74,74,2,234584,20
0,0,7271,25,25,2,4884,99
0,0,3982,3,3,2,1541,70
1,0,21057,156,156,2,18763,43
0,0,388287,239,239,2,385492,116
0,0,11601,43,43,2,9187,51
0,0,185153,26,26,2,182502,128
0,0,110238,228,228,3,107374,101
0,0,768058,79,79,2,765323,72
1,0,8573,215,215,2,6039,65
1,0,7513,5,5,2,4757,123
1,0,191757,116,116,2,188965,59
1,0,205713,246,246,2,202903,19
1,0,1409461,101,101,3,1406588,34
1,0,775880,132,132,2,773208,81
1,0,12861,240,240,2,10087,109
0,0,735391,130,130,2,733043,74
0,0,1731005,190,190,3,1728183,7
0,0,171302,231,231,4,169443,11
1,0,187696,247,247,2,185057,14
1,0,2180588,56,56,2,2178147,57
1,0,17047,40,40,2,14579,105
0,0,222070,177,177,2,219359,67
0,0,1169591,223,223,3,1166769,108
1,0,2776,52,52,1,113,10
1,0,935144,133,133,2,932427,86
0,0,8596,127,127,2,5819,51
0,0,24923,65,65,2,22032,18
0,0,42017,199,199,1,39222,49
1,0,1150558,192,192,1,1147775,89
1,0,665447,77,77,3,662586,22
0,0,276688,210,210,1,274223,97
1,0,396615,250,250,1,394090,9
0,0,381075,237,237,2,378301,16
1,0,2102129,104,104,2,2099463,102
0,0,255561,20,20,1,253126,39
1,0,22052,241,241,2,19278,7
0,0,198843,129,129,2,196225,79
0,0,763632,131,131,2,761305,74
0,0,421319,161,161,2,418704,126
1,0,167573,39,39,3,164778,27
1,0,11536,35,35,2,9554,51
1,0,597333,2,2,1,595705,9
