Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Ortholog_Gene
0,0,301826,242,242,2,299487,90
1,0,32772,98,98,1,29866,117
1,0,373899,29,29,2,371611,26
1,0,721934,76,76,2,719244,34
0,0,428427,89,89,3,425755,84
1,0,1516533,44,44,2,1514173,62
0,0,465591,161,161,2,462814,113
1,0,54199,32,32,2,51578,46
1,0,952113,116,116,1,949273,39
1,0,1062895,234,234,2,1060310,86
1,0,199898,36,36,1,197364,94
0,0,404584,118,118,2,402206,93
0,0,473501,202,202,3,470631,123
0,0,246580,88,88,2,243767,4
0,0,33755,27,27,2,30969,56
0,0,355891,244,244,2,353552,117
1,0,993191,45,45,2,990858,62
1,0,1100880,194,194,1,1098211,39
0,0,1123469,221,221,1,1120611,95
0,0,1161129,166,166,2,1158613,112
1,0,32977,216,216,1,30248,115
1,0,33431,26,26,2,30843,99
0,0,184674,6,6,2,182293,96
1,0,1757922,188,188,2,1755496,33
0,0,553480,173,173,3,550610,66
0,0,16153,30,30,2,13502,46
1,0,292921,245,245,2,290183,120
0,0,256062,178,178,2,253732,122
0,0,25495,51,51,2,22811,99
1,0,8691,195,195,2,6085,29
1,0,180436,213,213,2,177890,44
1,0,15222,212,212,2,12538,6
0,0,849988,205,205,2,847319,80
1,0,1966199,103,103,2,1963551,40
0,0,546874,142,142,2,544250,106
0,0,1024944,233,233,2,1022305,86
0,0,519004,251,251,2,516413,75
0,0,1176004,165,165,2,1173581,105
1,0,82609,137,137,3,79808,42
0,0,316755,119,119,1,314314,95
0,0,735391,128,128,2,733043,74
1,0,483376,97,97,2,480707,108
0,0,1314205,91,91,2,1311887,112
1,0,1015945,209,209,2,1013150,72
1,0,204433,64,64,2,201761,45
1,0,1800605,108,108,2,1797939,74
1,0,125132,82,82,2,122370,47
0,0,17633,22,22,1,14982,65
0,0,4209,121,121,2,1423,68
0,0,187941,232,232,2,185287,37
0,0,1035713,59,59,2,1032837,50
0,0,425184,135,135,2,422410,54
0,0,513629,257,257,3,510834,83
1,0,568671,172,172,2,566338,2
0,0,1115182,220,220,2,1112378,78
0,0,432436,158,158,1,429818,62
1,0,218715,56,56,2,215884,71
1,0,86749,152,152,1,84020,69
0,0,396102,71,71,1,393418,94
0,0,107074,254,254,1,104540,73
0,0,622377,42,42,2,620053,8
0,0,389747,163,163,1,387120,127
0,0,422008,200,200,2,419294,32
0,0,1065877,198,198,2,1063010,111
0,0,378614,162,162,2,375975,88
0,0,309384,110,110,2,306937,122
1,0,585607,83,83,2,583331,120
0,0,7162,20,20,2,4697,46
1,0,650434,40,40,3,647633,38
1,0,23290,218,218,2,20606,74
0,0,9867,62,62,2,7462,99
1,0,442799,201,201,1,439932,48
0,0,1713823,8,8,2,1711409,87
0,0,700388,15,15,2,697620,107
0,0,14845,48,48,3,11996,51
0,0,8092,214,214,2,5759,43
1,0,13979,197,197,1,11352,0
0,0,1045611,208,208,3,1042786,72
0,0,15062,87,87,2,12438,46
0,0,1061168,112,112,4,1059124,72
1,0,8115,171,171,3,5269,45
1,0,379418,169,169,2,376740,52
1,0,2047179,184,184,2,2044399,81
0,0,585177,204,204,3,582301,22
0,0,475012,141,141,2,472298,114
0,0,1324430,90,90,2,1322082,62
0,0,1156973,236,236,2,1154469,30
1,0,9580,196,196,1,6749,38
1,0,50888,151,151,2,48174,52
1,0,1096585,235,235,2,1093946,102
0,0,758419,46,46,2,756089,21
0,0,12594,150,150,2,9967,46
1,0,9089,217,217,2,6579,23
0,0,45075,124,124,1,42286,25
1,0,1611964,100,100,1,1609262,82
0,0,1828534,107,107,2,1825916,86
0,0,466038,176,176,2,463714,65
0,0,1865809,105,105,2,1862957,74
0,0,139709,253,253,2,138117,91
0,0,290907,117,117,1,288478,17
1,0,1171520,39,39,2,1169280,7
1,0,2060220,183,183,2,2057611,102
0,0,800723,164,164,2,798375,3
1,0,12158,11,11,2,9363,55
0,0,21771,85,85,2,19363,46
0,0,488327,203,203,3,485541,22
0,0,454333,157,157,2,451748,107
0,0,262330,243,243,2,259847,84
0,0,568854,259,259,2,566233,106
1,0,16377,144,144,2,13513,46
1,0,180486,35,35,2,177754,42
0,0,1633076,186,186,1,1630521,28
0,0,602587,43,43,2,600077,86
0,0,736453,80,80,3,733583,72
1,0,1129346,168,168,2,1126764,62
0,0,20976,58,58,2,18310,8
0,0,5331,149,149,2,2932,99
1,0,629809,113,113,3,627020,5
0,0,1825289,187,187,2,1822929,62
0,0,590672,258,258,1,588504,62
1,0,6553,120,120,2,4166,63
0,0,1152306,222,222,2,1149583,116
1,0,13678,155,155,2,10931,15
0,0,468388,69,69,3,465485,80
0,0,476059,148,148,1,473501,104
1,0,1152001,179,179,1,1149578,110
1,0,1007699,206,206,2,1005114,72
1,0,1147282,167,167,2,1144757,62
