Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,LastName,FirstName,CitizenshipCountry,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
0,3,69634.0,26526,6,9,4,194619,9,2,5,149727,66.0,10,5,7,9,5,115790,45992,176.0,6,6
0,10,51513.0,17627,7,10,6,135523,10,3,3,78566,60.0,4,1,1,10,1,60103,6104,183.0,5,1
0,0,57256.0,23463,5,8,7,189196,5,1,6,89712,72.0,7,2,6,5,0,72654,34624,180.0,2,0
1,6,41102.0,13411,0,2,7,140510,2,1,8,65478,,2,9,3,2,3,37695,6223,,1,4
0,8,17747.0,1992,0,3,3,140399,3,4,7,31056,63.0,0,7,9,3,3,11476,486,175.0,3,3
0,1,58206.0,20196,0,1,7,161575,1,1,0,77425,63.0,5,0,4,1,3,73120,20466,172.0,6,3
0,4,19249.0,4898,0,0,7,140156,0,1,9,30344,63.0,1,2,8,0,0,17293,7760,178.0,0,0
0,9,58116.0,22910,4,7,1,170625,8,7,2,99713,78.0,9,3,6,8,1,81488,27111,186.0,6,4
0,5,61640.0,21812,2,4,0,170183,4,5,1,97091,58.0,8,4,2,4,3,91127,20384,176.0,6,3
0,2,43386.0,14310,3,6,2,140509,7,6,10,53804,62.0,3,6,5,7,4,36343,3991,173.0,4,5
0,7,56436.0,20917,1,5,5,156570,6,0,4,77380,78.0,6,8,0,6,2,71706,9746,180.0,6,2
