Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Nationality,Birthplace,UciRiderId,Languages,ProfileDescription,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
0,14,54395.0,20730.0,14,252749.0,168961,14,1,6,75859.0,0,4,70.0,6,13,14,74709,18258.0,6,187.0,1
0,13,70304.0,26482.0,4,,196333,5,8,3,107840.0,6,10,63.0,12,0,5,108403,50303.0,8,178.0,6
0,10,16186.0,4099.0,11,1475104.0,140787,11,2,11,46418.0,7,13,63.0,1,12,11,17284,117.0,2,173.0,2
0,1,64374.0,24293.0,7,,181230,8,10,5,100965.0,5,12,64.0,7,7,8,102060,27043.0,10,182.0,6
0,5,69878.0,26378.0,3,,206876,3,2,7,162777.0,5,5,,10,9,3,118440,61639.0,3,168.0,6
0,8,72506.0,26775.0,10,,207051,4,3,10,,5,6,56.0,11,2,4,132960,68868.0,8,164.0,6
0,11,6162.0,2364.0,12,131674.0,140923,12,7,12,484564.0,5,13,,0,4,12,15061,41.0,1,189.0,3
0,6,61536.0,23427.0,5,10153.0,177662,6,5,13,97741.0,3,8,65.0,8,7,6,95079,27289.0,5,181.0,6
0,2,,,0,,242423,0,4,4,667300.0,2,7,,14,11,0,148733,112241.0,9,,6
1,0,28095.0,12823.0,13,,137337,13,0,0,58891.0,1,2,71.0,3,3,13,34412,2322.0,10,182.0,4
0,12,,22744.0,9,1543.0,132419,10,0,2,747569.0,5,1,68.0,5,8,10,70980,16576.0,10,180.0,6
0,4,,18239.0,2,6233.0,137576,2,0,0,67201.0,1,3,,4,6,2,66614,6410.0,4,188.0,0
0,9,,25335.0,8,,184242,9,0,8,102035.0,5,0,,9,10,9,93791,37447.0,10,177.0,6
0,7,65227.0,26509.0,6,,194909,7,9,1,111440.0,5,11,57.0,13,5,7,99609,46163.0,7,173.0,6
0,3,22917.0,6177.0,1,25109.0,140232,1,6,9,45643.0,4,9,65.0,2,1,1,20659,1006.0,0,179.0,5
