SPORT_TYPE,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,INSTAGRAM_HANDLE,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,NATIONALITY,TWITTER_HANDLE,BIRTH_PLACE,UCI_RIDER_ID,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID
3,25,,,14,0,142330.0,,4,,9,15,20,,,35,22,24,,,,40
0,12,,2481.0,16,0,,140073.0,22,,7,9,7,30009.0,,10,22,6,10591.0,1842.0,,39
3,25,,,2,0,,,9,,9,9,20,,,35,22,24,,,,19
3,6,14464.0,2022.0,12,0,,140242.0,19,18192.0,8,9,14,28862.0,68.0,14,25,3,9556.0,7.0,186.0,18
3,27,56345.0,20861.0,37,11,2247.0,155558.0,43,67077.0,3,11,2,86624.0,71.0,33,2,27,80972.0,16816.0,184.0,7
3,30,4616.0,1668.0,40,0,,139290.0,45,3625.0,2,9,10,22103.0,65.0,2,8,29,10105.0,591.0,178.0,10
3,25,,,34,0,,,31,,9,9,20,,,35,22,24,,,,40
3,17,43387.0,14321.0,23,5,,140505.0,27,54516.0,13,9,21,422366.0,60.0,21,16,13,24864.0,2977.0,173.0,35
3,10,59981.0,22676.0,18,3,,170164.0,24,69592.0,4,9,27,95753.0,69.0,32,20,8,81741.0,28781.0,182.0,40
3,26,54668.0,21392.0,35,9,18425.0,135315.0,41,,1,10,22,93654.0,71.0,25,21,25,77634.0,22682.0,184.0,8
3,24,27794.0,12923.0,31,8,156620.0,140821.0,38,28843.0,10,21,6,58528.0,65.0,23,18,21,36053.0,2961.0,176.0,29
3,25,,,0,0,,,15,,9,9,20,,,35,22,24,,,,40
3,5,785.0,989.0,10,0,,140417.0,17,593.0,4,9,5,26797.0,73.0,5,1,1,9898.0,45.0,190.0,25
3,25,,,47,0,,,0,,9,9,20,,,35,22,24,,,,40
1,19,20120.0,2627.0,22,0,4177.0,140675.0,29,3735.0,8,19,23,29860.0,75.0,16,9,12,12968.0,1982.0,182.0,1
3,15,16313.0,3333.0,19,4,134950.0,140752.0,25,19461.0,1,4,13,44513.0,74.0,12,32,9,18746.0,150.0,181.0,11
3,1,47885.0,18123.0,30,16,21399.0,139801.0,37,55661.0,6,7,32,68832.0,71.0,28,31,20,58401.0,6309.0,179.0,0
3,38,6263.0,45.0,38,12,247878.0,140855.0,44,12393.0,1,12,28,24166.0,70.0,7,13,28,4177.0,174.0,179.0,23
3,25,,,1,0,,,8,,9,9,20,,,35,22,24,,,,40
3,36,1761.0,11.0,49,0,226940.0,140750.0,51,1363.0,1,26,17,13978.0,82.0,6,3,34,2452.0,33.0,192.0,16
3,29,,,46,7,268211.0,,7,,9,5,20,,,35,22,24,,,,40
3,25,,,45,13,212951.0,,6,,9,1,20,,,35,22,24,,,,40
3,11,4461.0,336.0,43,0,,140687.0,48,3514.0,1,9,12,13540.0,72.0,4,7,32,8996.0,28.0,182.0,36
1,31,41892.0,19165.0,32,0,16935.0,137797.0,39,,7,8,30,66315.0,73.0,29,29,22,43238.0,11313.0,184.0,3
3,14,47066.0,16881.0,33,0,41605.0,140633.0,40,47478.0,2,3,31,59614.0,,24,5,23,32178.0,2530.0,175.0,31
0,8,43344.0,16653.0,13,0,63128.0,140818.0,20,45469.0,2,0,0,64670.0,78.0,27,10,4,52068.0,2337.0,181.0,33
