SPORT_TYPE,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,INSTAGRAM_HANDLE,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,NATIONALITY,TWITTER_HANDLE,BIRTH_PLACE,UCI_RIDER_ID,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID
3,6,40974.0,13220,6,0,11731.0,140657,6,4948.0,1,8,4,48194,78.0,5,2,6,18001,1966,183.0,5
3,7,39287.0,13240,5,1,66281.0,140835,5,10495.0,3,7,1,55029,67.0,3,8,5,21075,1310,178.0,3
2,1,8760.0,4179,0,2,42225.0,140749,0,6915.0,5,2,7,32691,78.0,1,4,0,19407,406,181.0,2
0,5,6978.0,4377,4,0,7658.0,140865,4,1203.0,5,1,5,198213,76.0,0,3,4,18964,31,181.0,1
2,4,,21930,3,0,2272.0,171075,3,,4,6,9,94033,,9,0,3,89029,31208,194.0,9
0,9,49569.0,16438,9,0,,137352,9,55736.0,0,4,8,67841,70.0,2,9,9,67531,7900,180.0,6
3,0,47767.0,18714,2,0,33298.0,137724,2,55992.0,2,5,6,68950,58.0,7,1,2,38737,16752,169.0,4
1,3,,21238,8,0,,132431,8,,6,4,2,79514,,8,5,8,80578,16811,178.0,0
3,2,47153.0,16853,1,0,8553.0,140094,1,54907.0,2,0,3,64665,64.0,6,7,1,49227,6515,,8
1,8,29396.0,13270,7,3,44990.0,140415,7,10061.0,3,3,0,47742,74.0,4,6,7,24871,3933,179.0,7
