Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,5471,136,136,0,3207,1,1
0,5583,97,98,0,3223,1,0
1,457048,88,89,1,454787,0,0
0,478833,231,231,0,476677,1,0
1,2336,147,147,1,3,0,1
1,552888,219,219,1,550654,0,0
0,835809,95,96,0,833647,1,0
0,4603,49,50,0,2336,1,0
1,1069200,209,209,1,1067095,0,0
0,2907,36,37,0,667,1,0
0,6046,152,152,0,3683,1,0
1,76342,177,177,1,73994,0,1
1,1167843,143,143,1,1165567,0,0
0,1026,4,5,0,22,3,1
0,692573,69,70,0,690150,1,0
0,27924,7,8,0,26149,3,1
0,754574,173,173,0,752403,1,0
1,1157625,116,116,1,1155433,0,0
1,12933,112,112,1,10912,0,1
1,96434,222,222,1,94266,0,1
1,45480,195,195,1,43330,0,1
0,604953,80,81,0,602554,1,0
0,2152,10,11,0,38,1,0
1,763015,83,84,1,760970,0,0
0,4215,71,72,0,1969,1,1
0,480713,38,39,0,478230,1,0
1,114439,9,10,1,112868,0,1
0,3201,59,60,0,2560,2,1
1,61722,221,221,1,61057,0,1
0,45278,100,101,0,42840,1,0
1,13918,121,121,1,11750,0,1
1,562476,171,171,1,560179,0,0
0,56175,84,85,0,53914,1,1
0,1518,58,59,0,1,3,1
0,1009290,45,46,0,1006993,1,0
1,50723,120,120,1,48507,0,1
0,487264,93,94,0,485114,1,0
0,47037,175,175,0,44773,1,1
0,371476,170,170,0,369323,1,0
0,477337,11,12,0,476408,3,0
0,1835184,67,68,0,1832923,1,0
1,53359,114,114,1,52601,0,1
1,1287,19,20,1,1,0,0
1,441740,91,92,1,439797,0,1
1,81519,12,13,1,79698,0,1
0,71686,213,213,0,69566,1,1
0,707127,48,49,0,704929,1,0
0,65232,218,218,0,62692,1,1
1,777368,224,224,1,775140,0,0
0,3230,127,127,0,921,1,1
0,1669,47,48,0,2,3,1
0,5540,44,45,0,3963,2,1
1,372955,230,230,1,370655,0,1
0,2191081,87,88,0,2188577,1,1
1,11060,140,140,1,8994,0,1
0,4184,235,235,0,1923,1,1
0,43304,156,156,0,40902,1,1
1,113111,165,165,1,111105,0,1
0,59089,41,42,0,56687,1,1
1,1189025,188,188,1,1186812,0,0
1,805063,178,178,1,803291,0,0
1,1835456,204,204,1,1833030,0,0
0,7454,52,53,0,5259,1,1
