Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,7608,43,43,1,6745,5,1
1,391707,126,126,1,391090,5,1
1,476915,38,38,1,476025,5,0
0,346408,208,208,0,346178,4,1
1,216862,127,127,1,214952,5,0
1,80177,231,231,1,78453,5,1
1,8014,87,87,1,5234,5,1
1,557,94,94,1,3,5,1
0,12665,71,71,0,11931,1,1
0,346850,207,207,0,346512,2,1
1,890682,193,193,1,889150,5,0
0,1130987,148,148,0,1130442,1,0
1,2216,42,42,1,1884,5,0
1,56787,224,224,1,55507,5,1
0,45867,21,21,0,45670,2,1
1,929,176,176,1,3,5,0
1,25397,153,153,1,23602,5,1
1,36817,151,151,1,35931,5,1
1,578507,188,188,1,577500,5,0
1,30441,199,199,1,27628,5,1
1,1839347,133,133,1,1836461,5,0
0,71748,34,34,0,71398,0,1
1,122795,35,35,1,121053,5,0
1,1122061,146,146,1,1121249,5,0
1,752571,48,48,1,750136,5,0
1,33312,82,82,1,32212,5,1
1,17807,29,29,1,16818,5,1
1,17424,192,192,1,14611,5,1
1,543960,138,138,1,542011,5,0
1,23503,235,235,1,21764,5,1
1,57738,225,225,1,56893,5,1
0,870832,54,54,0,869711,2,0
1,12423,129,129,1,10753,5,1
1,3521,177,177,1,564,5,0
1,640889,124,124,1,638082,5,0
1,119855,183,183,1,118959,5,1
1,351059,66,66,1,348930,5,0
1,4441,72,72,1,1115,5,1
0,218,156,156,0,3,1,0
1,615828,187,187,1,612868,5,0
1,835,4,4,1,1,5,0
1,71222,130,130,1,69540,5,1
1,100170,26,26,1,98553,5,1
1,76293,27,27,1,74227,5,1
1,17384,125,125,1,15111,5,1
1,395,204,204,1,3,5,1
1,1444050,22,22,1,1442287,5,0
1,229154,239,239,1,227562,5,0
1,64517,123,123,1,64071,5,1
0,747484,169,169,0,746714,0,0
1,58454,116,116,1,55821,5,1
1,10805,109,109,1,10074,5,0
1,805101,144,144,1,802591,5,0
0,4265,68,68,0,3411,2,0
1,8105,61,61,1,5802,5,1
1,42976,229,229,1,42014,5,1
0,157631,186,186,0,157230,2,0
1,7838,217,217,1,7741,5,1
1,794,8,8,1,3,5,0
0,1231,13,13,0,899,1,1
1,74182,14,14,1,73355,5,1
1,2332647,202,202,1,2330257,5,0
1,114401,65,65,1,112584,5,1
1,41471,158,158,1,39177,5,1
0,1415811,19,19,0,1415230,1,0
1,6985,85,85,1,4031,5,1
1,46358,95,95,1,44298,5,1
1,1129891,147,147,1,1128836,5,0
1,535,6,6,1,1,5,0
1,11717,178,178,1,11061,5,0
1,1338938,196,196,1,1337487,5,0
0,36096,30,30,0,35452,1,1
1,56420,159,159,1,55923,5,1
1,20561,121,121,1,20007,5,1
1,2400,168,168,1,211,5,0
1,3058,140,140,1,647,5,0
1,33980,166,166,1,31590,5,1
1,358301,174,174,1,355485,5,0
0,202126,79,79,0,201683,2,0
1,83691,200,200,1,83233,5,1
1,1034156,76,76,1,1031220,5,0
1,393196,84,84,1,390821,5,1
1,368350,51,51,1,367493,5,0
1,66037,97,97,1,63011,5,1
1,877,16,16,1,2,5,0
1,1381,106,106,1,2,5,0
1,1153652,149,149,1,1152030,5,0
1,45746,31,31,1,45168,5,1
1,47107,232,232,1,46339,5,1
1,35665,152,152,1,33647,5,1
1,2035,131,131,1,1445,5,0
1,921959,67,67,1,919047,5,0
0,282,119,119,0,1,2,1
1,903359,162,162,1,902475,5,0
1,3364,172,172,1,1112,5,0
1,8634,62,62,1,6310,5,0
1,6051,113,113,1,3256,5,0
1,223303,157,157,1,221369,5,0
1,147,10,10,1,1,5,0
1,706956,36,36,1,704473,5,0
1,15156,24,24,1,14362,5,1
1,944659,163,163,1,941918,5,1
1,513917,237,237,1,513297,5,0
1,24472,189,189,1,23342,5,1
1,46075,233,233,1,44094,5,1
1,1050263,160,160,1,1049748,5,0
