StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
1,435022,85,85,1,14,434327
0,905931,43,43,1,8,905182
0,570089,27,27,1,8,569511
0,435780,39,39,1,9,435106
1,1654501,41,41,1,12,1653854
0,755,54,54,1,18,93
1,605502,68,68,1,5,604933
1,1565614,1,1,1,12,1565111
0,37689,21,21,1,24,37021
1,4852,24,24,1,25,4175
0,509037,87,87,1,2,508240
0,1091842,80,80,1,9,1091081
0,624606,14,14,1,13,623983
0,1204819,53,53,0,14,1204091
0,1064488,67,67,1,8,1063814
0,1153891,10,10,1,11,1153361
0,226568,59,59,0,1,225903
0,1728460,2,2,0,12,1728161
1,2105453,22,22,1,13,2104848
1,179239,37,37,1,10,178622
0,1142124,78,78,1,9,1141357
0,430900,26,26,1,6,430274
1,23414,75,75,1,36,22770
0,1104782,82,82,1,9,1104102
1,743660,16,16,1,14,742947
0,487905,31,31,0,1,487330
1,1560119,61,61,1,12,1559271
0,674303,17,17,1,14,673725
0,59496,23,23,1,15,58780
1,947466,44,44,1,8,947014
1,458055,69,69,1,8,457426
0,17347,20,20,1,23,16595
0,16318,35,35,1,28,15653
0,829209,73,73,1,8,828511
1,388745,86,86,0,2,388080
0,28212,64,64,1,34,27637
1,1690792,3,3,1,12,1690151
1,547641,33,33,1,3,547144
0,9043,55,55,1,18,8369
0,738855,28,28,1,8,738181
1,590414,57,57,1,0,589821
0,136301,83,83,1,7,135930
0,1192387,81,81,1,9,1191707
1,8575,11,11,1,21,7376
1,430064,7,7,0,1,429414
1,18257,76,76,1,37,17595
0,7133,46,46,1,30,6462
0,17466,30,30,1,26,16792
0,1732531,56,56,1,12,1731896
1,1702393,4,4,1,12,1701380
0,7796,51,51,1,32,7137
1,1607447,40,40,1,12,1606965
0,71817,9,9,1,20,71311
0,1682099,6,6,1,13,1681482
0,11162,77,77,1,38,10509
1,20358,63,63,1,34,19783
1,1507852,60,60,1,12,1507205
1,840636,5,5,1,13,840031
1,1661430,19,19,1,12,1660327
0,9429,45,45,1,29,8836
0,696859,34,34,1,13,696377
1,2529,29,29,1,17,1873
1,478865,38,38,1,9,478194
1,4297,74,74,1,35,3704
0,974933,47,47,1,13,974307
0,2154696,62,62,1,13,2154196
1,5579,84,84,1,39,4953
0,1172053,79,79,1,9,1171373
1,1154177,66,66,1,8,1153497
0,25270,49,49,1,31,24593
0,468982,18,18,1,0,468374
0,1728056,36,36,1,12,1727928
0,490761,71,71,1,8,490084
1,524975,58,58,1,0,524382
0,587573,72,72,1,8,586902
0,3403,13,13,1,22,2810
1,5600,52,52,1,33,4947
0,40393,25,25,1,16,39713
1,17274,12,12,1,21,16765
0,10604,8,8,1,19,9996
0,1266,0,0,1,40,595
0,475933,70,70,1,8,475256
0,989314,48,48,1,13,988862
0,1528548,15,15,1,14,1527883
1,472195,50,50,1,4,471323
0,4574,32,32,1,27,3870
0,1721960,42,42,0,12,1721430
1,68829,65,65,1,34,68515
