GeneSubclass,GenomicEndPosition,GeneDbId,ChromosomeLocation,GeneType,GenomicStartPosition,StrandOrientation
0,12245091,117,13,0,12243976,0
0,21664027,170,13,0,21662360,1
0,14417657,126,13,0,14416290,0
1,24261916,182,13,1,24259394,0
0,16932900,143,13,0,16931788,0
0,22507853,175,13,0,22506750,0
0,5694837,86,13,0,5693386,0
1,4347332,75,13,1,4345470,0
0,19098062,156,13,0,19092804,1
0,189059,56,13,0,186996,1
0,7321944,29,1,0,7320766,1
0,5535594,82,13,0,5533789,1
0,16125431,136,13,0,16124496,0
0,16086668,135,13,0,16085061,1
0,6407978,88,13,0,6406782,1
0,22866651,177,13,0,22865183,1
1,6962,185,10,1,4240,1
0,22420594,174,13,0,22418891,0
0,6622485,89,13,0,6621288,0
0,517377,186,11,0,516034,0
0,740910,58,13,0,739147,1
0,4478317,21,1,0,4476602,1
0,6623857,90,13,0,6622859,0
0,8304208,99,13,0,8302604,1
0,1163943,62,13,0,1162260,1
1,166610,3,2,1,159343,0
0,12044915,45,1,0,12043926,0
0,7085743,95,13,0,7084628,1
0,11411332,113,13,0,11410333,0
0,14082326,121,13,0,14081394,1
0,15525233,53,1,0,15523344,0
0,9950434,108,13,0,9949362,1
0,19111241,157,13,0,19109871,1
0,11141122,111,13,0,11139777,0
0,4821949,22,1,0,4818629,0
0,802447,11,7,0,797690,1
0,6404545,26,1,0,6402818,0
0,3890743,20,1,0,3888761,1
0,7536063,33,1,0,7534078,1
0,4110404,74,13,0,4109244,0
0,6917763,94,13,0,6916226,1
0,14313028,125,13,0,14311819,0
0,10471813,41,1,0,10470053,1
0,17025788,145,13,0,17024394,0
0,17169188,146,13,0,17167599,1
0,901193,59,13,0,900303,0
0,7485958,32,1,0,7483058,0
0,4986283,79,13,0,4984864,1
1,11814846,114,13,1,11812601,0
0,1138017,61,13,0,1136944,0
0,10863636,110,13,0,10862464,0
0,3552202,18,1,0,3549812,0
0,14246569,122,13,0,14244689,0
0,16194865,138,13,0,16193285,1
0,19092299,155,13,0,19091385,1
0,1488889,8,3,0,1488146,1
0,720767,1,0,0,720270,1
1,954065,60,13,1,950709,1
0,8446783,36,1,0,8444390,0
0,4961093,78,13,0,4960051,0
1,6731177,91,13,1,6730012,0
0,11409218,112,13,0,11407419,1
0,15575248,132,13,0,15573908,0
1,2395872,70,13,1,2393881,0
0,1946524,66,13,0,1945502,1
0,15205645,129,13,0,15204587,1
0,14297622,123,13,0,14294152,1
1,4686426,76,13,1,4684330,0
0,7223642,27,1,0,7222040,1
0,10367781,109,13,0,10366297,1
0,13110183,49,1,0,13108690,0
0,1537359,16,1,0,1535937,0
0,6873317,93,13,0,6870258,1
1,13800591,120,13,1,13799374,1
1,9534947,104,13,1,9531795,0
0,5758988,24,1,0,5757861,1
0,81654,9,6,0,80512,1
0,23853903,180,13,0,23852545,1
0,16959828,144,13,0,16958119,1
1,174089,4,2,1,167799,1
0,3888303,19,1,0,3887290,1
0,11930294,115,13,0,11928846,1
1,99081,2,2,1,91365,1
1,7436601,97,13,1,7431780,0
0,4822884,23,1,0,4821965,0
0,15572469,131,13,0,15571309,1
0,13113318,50,1,0,13110727,0
1,9897110,107,13,1,9895189,0
0,8346935,100,13,0,8345610,0
0,21338975,167,13,0,21337707,1
0,16271105,139,13,0,16270171,1
0,8749,187,12,0,7319,1
0,24325727,183,13,0,24324600,1
0,14737741,52,1,0,14736827,1
1,8123260,35,1,1,8119900,0
0,22034406,172,13,0,22033199,0
0,7470439,31,1,0,7468958,0
0,7438734,98,13,0,7437391,1
0,1555909,17,1,0,1553879,1
0,18624824,151,13,0,18623627,0
0,15718387,134,13,0,15717122,1
0,1377494,64,13,0,1376007,1
0,7409936,30,1,0,7408131,1
0,19068634,154,13,0,19067516,1
0,8477276,37,1,0,8475756,0
0,3748838,73,13,0,3747495,1
1,16290323,140,13,1,16287284,1
0,7726763,34,1,0,7725846,1
0,12055523,116,13,0,12054483,1
0,20344451,161,13,0,20343384,0
0,3991758,6,4,0,3988690,0
0,5564839,83,13,0,5563799,0
0,11526257,43,1,0,11525184,1
0,9633706,105,13,0,9632528,0
0,21494170,168,13,0,21492995,0
0,16629275,142,13,0,16628019,1
0,22370663,173,13,0,22368995,0
0,9818594,39,1,0,9817575,1
0,14962588,128,13,0,14961311,1
0,1190069,63,13,0,1189272,0
0,6206204,25,1,0,6205003,1
1,196430,5,2,1,190759,0
0,6273200,87,13,0,6272185,1
0,3320883,71,13,0,3319447,0
0,1394797,65,13,0,1393953,1
0,20921047,165,13,0,20919837,0
0,23094018,178,13,0,23092635,0
1,2196289,69,13,1,2194207,1
1,5133342,7,5,1,5130638,1
0,1681418,12,8,0,1679283,0
0,13085487,48,1,0,13081270,0
0,19457623,158,13,0,19455338,0
0,9395484,103,13,0,9394522,1
0,1115867,10,9,0,1114074,1
0,15555713,130,13,0,15554583,0
0,157156,55,13,0,156131,1
0,20629260,162,13,0,20624929,0
0,9713721,106,13,0,9711766,1
0,20644984,164,13,0,20643740,0
0,21910490,171,13,0,21909174,0
1,13184258,51,1,1,13181388,1
0,11528056,44,1,0,11526539,1
1,5654798,85,13,1,5652840,1
0,10166666,40,1,0,10162488,1
0,18805214,152,13,0,18803756,0
0,16126477,137,13,0,16125630,0
0,18902845,153,13,0,18901746,1
0,17430624,149,13,0,17429500,1
0,24166126,181,13,0,24164795,1
1,20643501,163,13,1,20641411,1
0,15699505,133,13,0,15698438,1
1,12991286,47,1,1,12990102,0
1,9281160,38,1,1,9279771,1
0,2148612,68,13,0,2147431,0
0,1535813,15,1,0,1533903,0
0,12080076,46,1,0,12076498,1
0,19933346,160,13,0,19929547,0
1,14716347,127,13,1,14714348,1
0,23555821,179,13,0,23554982,1
0,17204565,147,13,0,17202847,1
0,17856906,150,13,0,17855965,1
0,8353309,101,13,0,8351207,1
1,7252507,28,1,1,7251456,0
1,14311528,124,13,1,14310041,0
1,22703905,176,13,1,22702368,1
0,690524,0,0,0,690027,1
0,10473550,42,1,0,10471814,1
0,12909233,118,13,0,12907977,1
0,8501731,102,13,0,8500823,1
0,13635433,119,13,0,13634168,0
0,5418484,81,13,0,5417666,1
0,4787700,77,13,0,4786735,1
0,6830368,92,13,0,6828929,0
0,1983400,67,13,0,1981871,1
1,19533804,159,13,1,19532201,0
0,578294,57,13,0,576495,0
0,21500635,169,13,0,21499448,1
0,21207146,166,13,0,21206232,0
0,7308392,96,13,0,7307190,1
0,24417944,184,13,0,24416316,1
0,990467,14,1,0,986793,1
0,17302256,148,13,0,17300595,0
0,39504,54,13,0,38457,0
0,5631591,84,13,0,5630353,0
0,1988897,13,8,0,1987326,0
1,3668916,72,13,1,3665455,0
0,16333622,141,13,0,16332588,0
0,5310760,80,13,0,5309435,1
