GeneType,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,ChromosomeId,GenomicStartPosition,StrandOrientation
0,155219,154,154,7,58,2,154221,0
1,434666,127,127,2,24,16,433053,0
0,1494962,35,35,5,37,22,1493559,1
0,831522,12,12,17,38,21,830434,1
0,10687,112,112,17,58,33,9590,0
0,1086604,111,111,12,21,22,1085297,1
0,33930,48,48,17,65,30,32737,0
0,340376,73,73,1,10,4,339975,0
0,566165,33,33,20,16,8,564966,0
1,6500,30,30,2,25,28,5433,0
1,496522,95,95,2,58,10,495068,1
0,447552,1,1,0,68,16,446896,0
1,1459767,36,36,2,44,22,1458433,0
0,405983,7,7,1,76,18,405798,0
0,423600,145,145,19,19,22,422017,0
0,1108489,110,110,25,53,22,1107152,1
0,617159,56,56,25,73,5,615924,0
0,1398991,107,107,16,15,22,1398122,0
1,3182,21,21,2,36,34,2247,0
1,553803,92,92,2,54,12,552229,0
0,1359,82,82,0,8,31,532,1
1,492874,55,55,2,22,9,492284,0
0,512575,152,152,21,2,6,511070,0
0,1689293,40,40,24,82,20,1687962,1
0,7259,6,6,0,29,25,6249,0
1,452810,96,96,2,58,10,452175,0
0,68405,136,136,19,77,48,67296,1
0,1002291,88,88,17,4,21,1001194,0
0,526360,149,149,25,78,5,525035,1
0,1880588,43,43,16,53,22,1879185,1
0,1944921,122,122,0,15,22,1944244,0
0,2480,74,74,19,4,44,1071,1
0,437973,97,97,0,77,1,437293,1
0,209311,49,49,4,17,11,208193,1
1,1071422,143,143,2,61,21,1070148,1
1,1778404,124,124,27,27,22,1777100,1
0,15753,10,10,19,66,26,14641,0
0,580857,34,34,25,47,8,579490,0
1,10644,94,94,2,38,46,9307,1
0,367224,148,148,0,46,5,366097,0
0,1248251,61,61,15,5,22,1246854,1
0,1499180,117,117,21,33,20,1497708,0
0,626028,38,38,17,34,7,624868,1
0,290343,72,72,23,57,4,289018,0
0,1117420,109,109,12,21,22,1116176,1
1,411413,90,90,2,71,23,410007,1
0,42426,101,101,17,13,3,41221,0
0,532332,150,150,25,60,5,531106,1
0,1741983,15,15,11,84,21,1740772,0
0,523945,115,115,25,77,1,522770,1
0,601068,114,114,17,79,7,599905,1
0,151073,138,138,19,77,48,149964,0
0,1651899,44,44,17,5,22,1651012,1
0,919364,85,85,12,56,21,918156,0
0,1605950,45,45,12,5,22,1604628,0
0,228042,116,116,17,30,4,226948,0
0,432268,5,5,19,72,15,431189,0
0,987463,87,87,0,84,21,986558,0
0,1733432,126,126,23,53,22,1732098,0
0,211061,153,153,5,1,0,209817,0
1,18783,26,26,2,74,38,17596,0
1,65502,29,29,2,28,40,63997,0
0,754771,52,52,26,59,17,753767,1
1,1804221,70,70,2,20,21,1803316,1
0,207419,57,57,0,84,16,207000,0
0,598434,75,75,0,44,10,597786,1
0,1172370,108,108,12,15,22,1171051,0
0,559992,91,91,25,0,5,558766,1
0,231983,83,83,8,70,10,230514,1
0,383794,23,23,19,15,22,382214,0
1,9275,46,46,2,3,42,7716,1
0,2090497,20,20,5,18,22,2089121,1
0,472615,51,51,9,66,5,471425,0
0,412929,50,50,25,60,5,411703,0
0,1933792,4,4,1,15,22,1933010,0
0,1751668,125,125,5,21,22,1750310,0
0,1093548,134,134,18,78,18,1092211,0
0,1683736,13,13,17,37,21,1682645,0
0,437003,64,64,1,16,18,436320,0
0,155993,113,113,22,38,19,154689,1
0,146779,93,93,6,44,10,145715,1
1,379854,79,79,2,11,15,379126,0
